,Teaching Activities
0,NUR612 - Advanced Pathophysiology (Summer Term 2021)  2021
1,NUR612 - Advanced Pathophysiology (Summer Term 2021)  2021
2,NUR613 - Pharmacology and Therapeutics (Spring Term 2021)  2021
3,NUR612 - Advanced Pathophysiology (Fall Term 2020)  2020
4,NUR612 - Advanced Pathophysiology (Fall Term 2020)  2020
5,NUR612 - Advanced Pathophysiology (Summer Term 2020)  2020
6,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2020)  2020
7,NUR612 - Advanced Pathophysiology (Fall Term 2019)  2019
8,NUR612 - Advanced Pathophysiology (Fall Term 2019)  2019
9,NUR612 - Advanced Pathophysiology (Summer Term 2019)  2019
10,NUR612 - Advanced Pathophysiology (Summer Term 2019)  2019
11,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2019)  2019
12,NUR612 - Advanced Pathophysiology (Fall Term 2018)  2018
13,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2018)  2018
