,Teaching Activities
0,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021 - 2022
1,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2021)  2021
2,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
3,STP299GS - OPHTHALMOLOGY SPECIAL TOPIC (Spring Term 2021)  2021
4,91-983 - GENERAL SURGERY (Spring Term 2021)  2021
5,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020 - 2021
6,91-982 - PLASTIC SURGERY (Spring Term 2021)  2021
7,91-986 - ORTHOPEDICS (Spring Term 2021)  2021
8,91-987 - OTOLARYNGOLOGY (Spring Term 2021)  2021
9,02-802C - SURGERY CLERKSHIP COMPLETION (Spring Term 2021)  2021
10,02-802C - SURGERY CLERKSHIP COMPLETION (Spring Term 2021)  2021
11,STP2084 - GENERAL SURGERY (Fall Term 2020)  2020
12,02-802C - SURGERY CLERKSHIP COMPLETION (Fall Term 2020)  2020
13,91-983 - GENERAL SURGERY (Fall Term 2020)  2020
14,02-802C - SURGERY CLERKSHIP COMPLETION (Fall Term 2020)  2020
15,91-987 - OTOLARYNGOLOGY (Fall Term 2020)  2020
16,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2020)  2020
17,91-987 - OTOLARYNGOLOGY (Fall Term 2020)  2020
18,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019 - 2020
19,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
20,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019 - 2020
21,91-981 - ANESTHESIOLOGY (Spring Term 2020)  2020
22,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2019)  2019
23,STP2230 - ORTHOPAEDIC SURGERY (Fall Term 2019)  2019
24,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2019)  2019
25,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
26,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
27,91-983 - GENERAL SURGERY (Spring Term 2019)  2019
28,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
29,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
30,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
31,STP10206 - NUTRITION SUPPORT (Spring Term 2019)  2019
32,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Fall Term 2018)  2018 - 2019
33,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
34,02-802TLC - SURGERY LONGITUDINAL CLERKSHIP (Spring Term 2018)  2018 - 2019
35,91-981 - ANESTHESIOLOGY (Spring Term 2019)  2019
36,91-985 - OPHTHALMOLOGY (Spring Term 2019)  2019
37,91-983 - GENERAL SURGERY (Fall Term 2018)  2018 - 2019
