,Teaching Activities
0,NUR427L - Concepts of Complex Nur Pract (Spring Term 2020)  2020
1,NUR427L - Concepts of Complex Nur Pract (Fall Term 2019)  2019
2,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2019)  2019
3,NUR378 - Nursing of Older Adults for RN (Spring Term 2017)  2017
4,NUR378 - Nursing of Older Adults for RN (Spring Term 2017)  2017
5,NUR427L - Concepts of Complex Nur Pract (Spring Term 2017)  2017
6,NUR431L - Nursing Skills Development III (Spring Term 2017)  2017
7,NUR388 - Concepts Adult Health Nurs II (Fall Term 2016)  2016
8,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2016)  2016
9,NUR431L - Nursing Skills Development III (Fall Term 2016)  2016
10,NUR321L - Nursing Skills Development II (Summer Term 2016)  2016
11,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2016)  2016
12,NUR378 - Nursing of Older Adults for RN (Summer Term 2016)  2016
13,NUR378 - Nursing of Older Adults for RN (Summer Term 2016)  2016
14,NUR388 - Concepts Adult Health Nurs II (Summer Term 2016)  2016
15,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2016)  2016
16,NUR378 - Nursing of Older Adults for RN (Spring Term 2016)  2016
17,NUR431L - Nursing Skills Development III (Spring Term 2016)  2016
18,NUR313L - Concepts Professional Nur Prac (Fall Term 2015)  2015
19,NUR388 - Concepts Adult Health Nurs II (Fall Term 2015)  2015
20,NUR431L - Nursing Skills Development III (Fall Term 2015)  2015
21,NUR378 - Nursing of Older Adults for RN (Summer Term 2015)  2015
22,NUR378 - Nursing of Older Adults for RN (Summer Term 2015)  2015
23,NUR388 - Concepts Adult Health Nurs II (Summer Term 2015)  2015
24,NUR313L - Concepts Professional Nur Prac (Spring Term 2015)  2015
25,NUR378 - Nursing of Older Adults for RN (Spring Term 2015)  2015
26,NUR378 - Nursing of Older Adults for RN (Spring Term 2015)  2015
27,NUR431L - Nursing Skills Development III (Spring Term 2015)  2015
28,NUR313L - Concepts Professional Nur Prac (Fall Term 2014)  2014
