,Year,Title,Altmetric
0,2021,Generation of a GLO-2 deficient mouse reveals its effects on liver carbonyl and glutathione levels.. Biochemistry and Biophysics Reports. 28:101138.  2021  10.1016/j.bbrep.2021.101138,
1,2021,Zebrafish Tumor Graft Transplantation to Grow Tumors in Vivo That Engraft Poorly as Single Cell Suspensions. Zebrafish. 18:293-296.  2021  10.1089/zeb.2021.0006,
2,2020,Teleological role of L-2-hydroxyglutarate dehydrogenase in the kidney  2020  10.1242/DMM.044685,
3,2020,The effects of the inactivation of Hydroxyproline dehydrogenase on urinary oxalate and glycolate excretion in mouse models of primary hyperoxaluria  2020  10.1016/j.bbadis.2019.165633,
4,2020,Teleological Role of L-2-Hydroxyglutarate Dehydrogenase in the Kidney.  2020  10.1242/dmm.045898,
5,2019,Enhanced Keap1-Nrf2 signaling protects the myocardium from isoproterenol-induced pathological remodeling in mice. Redox Biology. 27.  2019  10.1016/j.redox.2019.101212,
6,2019,Exercise Mediated Nrf2 Signaling Protects the Myocardium From Isoproterenol-Induced Pathological Remodeling. Frontiers in Cardiovascular Medicine. 6.  2019  10.3389/fcvm.2019.00068,
7,2019,Heterozygous Pkhd1C642* mice develop cystic liver disease and proximal tubule ectasia that mimics radiographic signs of medullary sponge kidney  2019  10.1152/ajprenal.00181.2018,
8,2019,Truncating PKHD1 and PKD2 mutations alter energy metabolism  2019  10.1152/ajprenal.00167.2018,
9,2019,A mixing heteroduplex mobility assay (mHMA) to genotype homozygous mutants with small indels generated by CRISPR-Cas9 nucleases. MethodsX. 6:1-5.  2019  10.1016/j.mex.2018.11.017,
10,2019,First year course-based undergraduate research experience (CURE) using the CRISPR/Cas9 genome engineering technology in zebrafish. Journal of Microbiology & Biology Education. 19.  2019  10.1128/jmbe.v19i1.1245,
11,2019,"Integrating CRISPR-Cas9 technology into undergraduate courses: Perspectives from a National Science Foundation (NSF) workshop for undergraduate faculty, June 2018. Journal of Microbiology & Biology Education. 20.  2019  10.1128/jmbe.v20i1.1702",
12,2018,Analysis of novel domain-specific mutations in the zebrafish ndr2/cyclops gene generated using CRISPR-Cas9 RNPs. Journal of Genetics. 97:1315-1325.  2018  10.1007/s12041-018-1033-6,
13,2018,NF1 deficiency correlates with estrogen receptor signaling and diminished survival in breast cancer. npj Breast Cancer. 4.  2018  10.1038/s41523-018-0080-8,
14,2016,Increased trabecular bone and improved biomechanics in an osteocalcin-null rat model created by CRISPR/Cas9 technology  2016  10.1242/dmm.025247,
15,2016,Mutation of Growth Arrest Specific 8 Reveals a Role in Motile Cilia Function and Human Disease. PLoS Genetics. 12.  2016  10.1371/journal.pgen.1006220,
16,2016,Novel hypomorphic alleles of the mouse tyrosinase gene induced by CRISPR-Cas9 nucleases cause non-albino pigmentation phenotypes. PLoS ONE. 11.  2016  10.1371/journal.pone.0155812,
17,2015,Who is qualified to instruct scientific manuscript writing?. Current Science. 108:1032.  2015,
18,2014,Training in scientific manuscript writing. Current Science. 107:1386-1392.  2014,
19,2013,Conservation and early expression of zebrafish tyrosine kinases support the utility of zebrafish as a model for tyrosine kinase biology. Zebrafish. 10:264-274.  2013  10.1089/zeb.2012.0781,
20,2013,NextGen speaks [3]. Science. 340:28-29.  2013  10.1126/science.340.6128.28,
21,2010,Caffeine-induced effects on heart rate in zebrafish embryos and possible mechanisms of action: An effective system for experiments in chemical biology. Zebrafish. 7:69-81.  2010  10.1089/zeb.2009.0631,
22,2006,9-O-acetylation of exogenously added ganglioside GD3: The GD3 molecule induces its own O-acetylation machinery. Journal of Biological Chemistry. 281:7825-7833.  2006  10.1074/jbc.M512379200,
23,2005,Robo3 isoforms have distinct roles during zebrafish development. Mechanisms of Development. 122:1073-1086.  2005  10.1016/j.mod.2005.06.006,
24,2001,Identification and characterization of roundabout orthologs in zebrafish. Mechanisms of Development. 101:249-253.  2001  10.1016/S0925-4773(00)00570-0,
