,Teaching Activities
0,BY412 - 21st Century Gene Editing (Summer Term 2021)  2021
1,BY512 - 21st Century Gene Editing (Summer Term 2021)  2021
2,STH310 - Communicating Science (Summer Term 2020)  2020
3,STH199 - Intro to Scientific Process (Fall Term 2019)  2019
4,STH299 - Interdisciplinary Seminar (Fall Term 2019)  2019
5,STH201 - Research Approaches (Spring Term 2018)  2018
6,STH201 - Research Approaches (Spring Term 2017)  2017
7,STH199 - Intro to Scientific Process (Fall Term 2016)  2016
8,STH201 - Research Approaches I (Spring Term 2016)  2016
9,STH201 - Research Approaches I (Spring Term 2015)  2015
10,STH395 - Honors Proposal Preparation (Spring Term 2014)  2014
