,Teaching Activities
0,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2021)  2021
1,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2021)  2021
2,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2020)  2020
3,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2020)  2020
4,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2019)  2019
5,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2019)  2019
6,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2019)  2019
7,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2018)  2018
8,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2018)  2018
9,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2018)  2018
10,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2017)  2017
11,NCA692L - Res: Adult Gero Acute Cr Nurs (Summer Term 2017)  2017
12,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2017)  2017
13,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2016)  2016
14,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2016)  2016
15,NCA685L - Adult Gero Acute Care: Pract I (Fall Term 2015)  2015
16,NCA686L - Adult Gero Acute Care: Prac II (Spring Term 2015)  2015
17,NCA686L - Adult Gero Acute Care: Prac II (Summer Term 2014)  2014
18,NCA685L - Adult Gero Acute Care: Pract I (Spring Term 2014)  2014
