,Teaching Activities
0,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2021)  2021
1,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2020)  2020
2,NUR537L - Nursing Practicum w/ Adults II (Summer Term 2018)  2018
3,NUR506L - Clinical Pract Adult Patients (Summer Term 2017)  2017
4,NUR427L - Concepts of Complex Nur Pract (Fall Term 2016)  2016
5,NUR506L - Clinical Pract Adult Patients (Summer Term 2016)  2016
6,NUR502L - Foundations Clinical Practice (Spring Term 2016)  2016
7,NUR518L - Synthesis Practicum in Nursing (Fall Term 2015)  2015
8,NUR506L - Clinical Pract Adult Patients (Summer Term 2015)  2015
9,NUR502L - Foundations Clinical Practice (Spring Term 2015)  2015
10,NUR518L - Synthesis Practicum in Nursing (Fall Term 2014)  2014
11,NUR506L - Clinical Pract Adult Patients (Summer Term 2014)  2014
12,NUR436L - Nurs of the Adult Practicum (Spring Term 2014)  2014
