,Year,Title,Altmetric
0,2021,Lessons learned from an EMS treatment in place pilot program  2021  10.1016/j.xjep.2021.100417,
1,2021,An integrated spatio-temporal analysis of emergency medical service response characteristics for stroke events across Alabama. Journal of Transport and Health. 20.  2021  10.1016/j.jth.2021.101018,
2,2019,Patient-Centered Medical Home Measurement in School-Based Health Centers. Journal of School Nursing. 35:189-202.  2019  10.1177/1059840517746728,
3,2019,Systematic Review of Community Paramedicine and EMS Mobile Integrated Health Care Interventions in the United States. Population Health Management. 22:213-222.  2019  10.1089/pop.2018.0114,
4,2019,"Money, managed care, and medicaid initiatives matter: Patient-centered medical home capacity in school-based health centers. Journal of Health Care for the Poor and Underserved. 30:202-220.  2019  10.1353/hpu.2019.0016",
5,2018,Correlates of Patient-Centered Medical Home Recognition in School-Based Health Centers. Journal of School Health. 88:830-838.  2018  10.1111/josh.12689,
6,2018,"Rurality, Quality Improvement Maturity, and Accreditation Readiness: A Comparison Study of Colorado, Kansas, and Nebraska Local Health Departments. Journal of Public Health Management and Practice. 24:E15-E22.  2018  10.1097/PHH.0000000000000678",
7,2018,Breast Cancer Screening for Patients of Rural Accountable Care Organization Clinics: A Multi-Level Analysis of Barriers and Facilitators. Journal of Community Health. 43:248-258.  2018  10.1007/s10900-017-0412-x,
8,2018,Barriers and Facilitators of Colorectal Cancer Screening for Patients of Rural Accountable Care Organization Clinics: A Multilevel Analysis. Journal of Rural Health. 34:202-212.  2018  10.1111/jrh.12248,
9,2018,Measuring the Cost and Value of Quality Improvement Initiatives for Local Health Departments. Journal of Public Health Management and Practice. 24:164-171.  2018  10.1097/PHH.0000000000000552,
10,2018,"Longitudinal evaluation of quality improvement and public health accreditation readiness in Nebraska local health departments, 2011-2016. Public Health Reports. 133:250-256.  2018  10.1177/0033354918754542",
11,2014,Effect of community size on eligibility for early intervention for infants with a neonatal intensive care experience.. Journal of Rural Health. 30:259-264.  2014  10.1111/jrh.12055,
