,Year,Title,Altmetric
0,2021,"Lifecourse socioeconomic position and diabetes incidence in the REasons for Geographic and Racial Differences in Stroke (REGARDS) study, 2003 to 2016. Preventive Medicine. 153.  2021  10.1016/j.ypmed.2021.106848",
1,2021,Long-term levels of LDL-C and cognitive function: The CARDIA Study. Journal of the International Neuropsychological Society. 27:1048-1057.  2021  10.1017/S1355617721000059,
2,2021,Association of the extent of return to fasting state 2-hours after a glucose challenge with incident prediabetes and type 2 diabetes: The CARDIA study. Diabetes Research and Clinical Practice. 180.  2021  10.1016/j.diabres.2021.109004,
3,2021,Pro-Neurotensin/Neuromedin N and Risk of Incident Metabolic Syndrome and Diabetes Mellitus in the REGARDS Cohort. Journal of Clinical Endocrinology and Metabolism. 106:E3483-E3494.  2021  10.1210/clinem/dgab355,
4,2021,Sex and Race Differences in the Risk of Ischemic Stroke Associated With Fasting Blood Glucose in REGARDS. Neurology. 97:e684-e694.  2021  10.1212/WNL.0000000000012296,
5,2021,C-Reactive Protein and Incident Hypertension in Black and White Americans in the REasons for Geographic and Racial Differences in Stroke (REGARDS) Cohort Study. American Journal of Hypertension. 34:698-706.  2021  10.1093/ajh/hpaa215,
6,2021,Does the Association Between Hemoglobin A1c and Risk of Cardiovascular Events Vary by Residential Segregation? The REasons for Geographic And Racial Differences in Stroke (REGARDS) Study. Diabetes Care. 44:1151-1158.  2021  10.2337/dc20-1710,
7,2021,Sex Differences in Factors Contributing to the Racial Disparity in Diabetes Risk. American Journal of Preventive Medicine. 60:e169-e177.  2021  10.1016/j.amepre.2020.09.016,
8,2021,Heart Disease and Stroke Statistics-2021 Update A Report from the American Heart Association. Circulation. E254-E743.  2021  10.1161/CIR.0000000000000950,
9,2021,Longitudinal Analysis of Food Insufficiency and Cardiovascular Disease Risk Factors in the Coronary Artery Risk Development in Young Adults Study. American Journal of Preventive Medicine. 2021  10.1016/j.amepre.2021.06.020,
10,2021,Psychosocial profiles and longitudinal achievement of optimal cardiovascular risk factor levels: the Coronary Artery Risk Development in Young Adults (CARDIA) study. Journal of Behavioral Medicine. 2021  10.1007/s10865-021-00259-1,
11,2021,"Socioeconomic status and psychological stress: Examining intersection with race, sex and US geographic region in the REasons for Geographic and Racial Differences in Stroke study. Stress and Health. 2021  10.1002/smi.3095",
12,2020,Elevated depressive symptoms and risk of all-cause and cardiovascular mortality among adults with and without diabetes: The REasons for Geographic And Racial Differences in Stroke (REGARDS) study. Journal of Diabetes and its Complications. 34.  2020  10.1016/j.jdiacomp.2020.107672,
13,2020,Risk factor control among Black and White adults with diabetes onset in older adulthood: The Reasons for Geographic and Racial Differences in Stroke (REGARDS) study. Preventive Medicine. 139.  2020  10.1016/j.ypmed.2020.106217,
14,2020,"The diabetes location, environmental attributes, and disparities network: Protocol for nested case control and cohort studies, rationale, and baseline characteristics. JMIR Research Protocols. 9.  2020  10.2196/21377",
15,2020,Impact of Multiple Social Determinants of Health on Incident Stroke. Stroke. 51:2445-2453.  2020  10.1161/STROKEAHA.120.028530,
16,2020,Parenting stress and family resilience affect the association of adverse childhood experiences with children's mental health and attention-deficit/hyperactivity disorder. Journal of Affective Disorders. 272:104-109.  2020  10.1016/j.jad.2020.03.132,
17,2020,Assessing county-level determinants of diabetes in the United States (2003–2012). Health and Place. 63.  2020  10.1016/j.healthplace.2020.102324,
18,2020,"Racial residential segregation, racial discrimination, and diabetes: The Coronary Artery Risk Development in Young Adults study. Health and Place. 62.  2020  10.1016/j.healthplace.2020.102286",
19,2020,"Association of Food Access, Recreational Opportunities, and Natural Amenities with Engagement in the Veterans MOVE! Weight Management Program  2020  10.1002/oby.22640",
20,2020,Call to Action: Structural Racism as a Fundamental Driver of Health Disparities: A Presidential Advisory from the American Heart Association. Circulation. E454-E468.  2020  10.1161/CIR.0000000000000936,
21,2020,Heart disease and stroke statistics—2020 update: A report from the American Heart Association. Circulation. E139-E596.  2020  10.1161/CIR.0000000000000757,
22,2020,"The Diabetes Location, Environmental Attributes, and Disparities Network: Protocol for Nested Case Control and Cohort Studies, Rationale, and Baseline Characteristics (Preprint)  2020  10.2196/preprints.21377",
23,2019,Prediabetes and risk for cardiovascular disease by hypertension status in black adults: The Jackson Heart Study. Diabetes Care. 42:2322-2329.  2019  10.2337/dc19-1074,
24,2019,"Does the association of diabetes with stroke risk differ by age, race, and sex? Results from the reasons for geographic and racial differences in stroke (REGARDS) study. Diabetes Care. 42:1966-1972.  2019  10.2337/dc19-0442",
25,2019,"Fasting glucose variability in young adulthood and incident diabetes, cardiovascular disease and all-cause mortality. Diabetologia. 62:1366-1374.  2019  10.1007/s00125-019-4901-6",
26,2019,Low to moderate toenail arsenic levels in young adulthood and incidence of diabetes later in life: findings from the CARDIA Trace Element study. Environmental Research. 171:321-327.  2019  10.1016/j.envres.2019.01.035,
27,2019,Heart Disease and Stroke Statistics-2019 Update: A Report From the American Heart Association. Circulation. 139:e56-e528.  2019  10.1161/CIR.0000000000000659,
28,2019,"Depressive symptoms, perceived stress, and metabolic health: The REGARDS study. International Journal of Obesity. 43:615-632.  2019  10.1038/s41366-018-0270-3",
29,2019,"Ideal cardiovascular health, glycaemic status and incident type 2 diabetes mellitus: the REasons for Geographic and Racial Differences in Stroke (REGARDS) study. Diabetologia. 62:426-437.  2019  10.1007/s00125-018-4792-y",
30,2019,Racial Differences in Maintaining Optimal Health Behaviors Into Middle Age. American Journal of Preventive Medicine. 56:368-375.  2019  10.1016/j.amepre.2018.10.020,
31,2019,Patient perspectives on factors influencing medication adherence among people with coronary heart disease (CHD) and CHD risk factors. Patient Preference and Adherence. 13:2017-2027.  2019  10.2147/PPA.S222176,
32,2018,Twenty-five-year trajectories of insulin resistance and pancreatic β-cell response and diabetes risk in nonalcoholic fatty liver disease. Liver International. 38:2069-2081.  2018  10.1111/liv.13747,
33,2018,Titration to High-Intensity Statin Therapy Following Acute Myocardial Infarction in Patients With and Without Diabetes Mellitus. Cardiovascular Drugs and Therapy. 32:453-461.  2018  10.1007/s10557-018-6816-8,
34,2018,American heart association diabetes and cardiometabolic health summit: Summary and recommendations  2018  10.1161/JAHA.118.009271,
35,2018,Diabetes risk scores for Hispanics living in the United States: A systematic review. Diabetes Research and Clinical Practice. 142:120-129.  2018  10.1016/j.diabres.2018.05.009,
36,2018,Genome-wide association study of serum fructosamine and glycated albumin in adults without diagnosed diabetes: Results from the atherosclerosis risk in communities study. Diabetes. 67:1684-1696.  2018  10.2337/db17-1362,
37,2018,Cumulative incidence of hypertension by 55 years of age in blacks and whites: The cardia study  2018  10.1161/JAHA.117.007988,
38,2018,Racial Disparities in Cardiovascular Health Behaviors: The Coronary Artery Risk Development in Young Adults Study. American Journal of Preventive Medicine. 55:63-71.  2018  10.1016/j.amepre.2018.03.017,
39,2018,Association of functional and structural social support with medication adherence among individuals treated for coronary heart disease risk factors: Findings from the REasons for Geographic and Racial Differences in Stroke (REGARDS) study. PLoS ONE. 13.  2018  10.1371/journal.pone.0198578,
40,2017,Association of modifiable risk factors in young adulthood with racial disparity in incident type 2 diabetes during middle adulthood  2017  10.1001/jama.2017.19546,
41,2017,Metabolic syndrome and masked hypertension among African Americans: The Jackson Heart Study. Journal of Clinical Hypertension. 19:592-600.  2017  10.1111/jch.12974,
42,2017,Race-sex differences in statin use and low-density lipoprotein cholesterol control among people with diabetes mellitus in the reasons for geographic and racial differences in stroke study  2017  10.1161/JAHA.116.004264,
43,2017,Performance of the Atherosclerotic Cardiovascular Disease Pooled Cohort Risk Equations by Social Deprivation Status  2017  10.1161/JAHA.117.005676,
44,2017,Association of sickle cell trait with hemoglobin A1c in African Americans  2017  10.1001/jama.2016.21035,
45,2017,A Cross-Sectional Study of Antenatal Care Attendance among Pregnant Women in Western Jamaica.. Journal of pregnancy and child health. 4.  2017  10.4172/2376-127x.1000341,
46,2017,Epidemiology of Chikungunya fever outbreak in Western Jamaica during July-December 2014.. Research and Reports in Tropical Medicine. 8:7-16.  2017  10.2147/rrtm.s122032,
47,2016,Ambulatory blood pressure monitoring phenotypes among individuals with and without diabetes taking antihypertensive medication: The Jackson Heart Study. Journal of Human Hypertension. 30:731-736.  2016  10.1038/jhh.2016.27,
48,2016,Cardiovascular Risk Factors and Masked Hypertension: The Jackson Heart Study. Hypertension. 68:1475-1482.  2016  10.1161/HYPERTENSIONAHA.116.08308,
49,2016,"Diabetes, diabetes severity, and coronary heart disease risk equivalence: REasons for Geographic and Racial Differences in Stroke (REGARDS). American Heart Journal. 181:43-51.  2016  10.1016/j.ahj.2016.08.002",
50,2016,Stroke symptoms and risk for incident coronary heart disease in the REasons for Geographic And Racial Differences in Stroke (REGARDS) study. International Journal of Cardiology. 220:122-128.  2016  10.1016/j.ijcard.2016.06.030,
51,2016,Do glycemic marker levels vary by race? Differing results from a cross-sectional analysis of individuals with and without diagnosed diabetes. BMJ Open Diabetes Research and Care. 4:1-8.  2016  10.1136/bmjdrc-2016-000213,
52,2016,Calcium channel blocker use is associated with lower fasting serum glucose among adults with diabetes from the REGARDS study. Diabetes Research and Clinical Practice. 115:115-121.  2016  10.1016/j.diabres.2016.01.021,
53,2016,Racial differences in the performance of existing risk prediction models for incident type 2 diabetes: The CARDIA study. Diabetes Care. 39:285-291.  2016  10.2337/dc15-0509,
54,2015,Factors Associated With Smoking Status among HIV-Positive Patients in Routine Clinical Care.. Journal of AIDS and Clinical Research. 6.  2015  10.4172/2155-6113.1000480,
55,2015,Association between 24-hour blood pressure variability and chronic kidney disease: A cross-sectional analysis of African Americans participating in the Jackson heart study Epidemiology and Health Outcomes. BMC Nephrology. 16.  2015  10.1186/s12882-015-0085-6,
56,2015,Diet patterns and risk of sepsis in community-dwelling adults: A cohort study. BMC Infectious Diseases. 15.  2015  10.1186/s12879-015-0981-1,
57,2015,Racial differences in abnormal ambulatory blood pressure monitoring measures: Results from the coronary artery risk development in young adults (CARDIA) study. American Journal of Hypertension. 28:640-648.  2015  10.1093/ajh/hpu193,
58,2015,Hemoglobin a1c and the progression of coronary artery calcification among adults without diabetes. Diabetes Care. 38:66-71.  2015  10.2337/dc14-0360,
59,2014,Associations of neighborhood area level deprivation with the metabolic syndrome and inflammation among middle-And older-Age adults. BMC Public Health. 14.  2014  10.1186/1471-2458-14-1319,
60,2014,African American organ donor registration: A mixed methods design using the theory of planned behavior  2014  10.7182/pit2014936,
61,2014,"Antenatal care attendance, a surrogate for pregnancy outcome the case of kumasi, Ghana. Maternal and Child Health Journal. 18:1085-1094.  2014  10.1007/s10995-013-1338-2",
62,2014,Declines in coronary heart disease incidence and mortality among middle-aged adults with and without diabetes. Annals of Epidemiology. 24:581-587.  2014  10.1016/j.annepidem.2014.05.007,
63,2014,"Effect of Malaria and Geohelminth Infection on Birth Outcomes in Kumasi, Ghana.. International Journal of TROPICAL DISEASE and Health. 4:582-594.  2014  10.9734/IJTDH/2014/7573",
64,2014,Physical activity in diabetes: Is any better than none?. Journal of Diabetes and its Complications. 28:257-258.  2014  10.1016/j.jdiacomp.2013.10.012,
65,2013,Evaluating the Framingham hypertension risk prediction model in young adults: The Coronary Artery risk Development in Young Adults (CARDIA) study. Hypertension. 62:1015-1020.  2013  10.1161/HYPERTENSIONAHA.113.01539,
66,2013,"Awareness, treatment, and control of LDL cholesterol are lower among U.S. adults with undiagnosed diabetes versus diagnosed diabetes. Diabetes Care. 36:2734-2740.  2013  10.2337/dc12-2318",
67,2013,"Determinants of access to antenatal care and birth outcomes in Kumasi, Ghana. Journal of Epidemiology and Global Health. 3:279-288.  2013  10.1016/j.jegh.2013.09.004",
68,2012,Depressive Symptoms and Cardiovascular Health by the American Heart Association's Definition in the Reasons for Geographic and Racial Differences in Stroke (REGARDS) Study. PLoS ONE. 7.  2012  10.1371/journal.pone.0052771,
69,2012,Association of prediabetes and diabetes with stroke symptoms: The reasons for geographic and racial differences in stroke (REGARDS) study. Diabetes Care. 35:1845-1852.  2012  10.2337/dc11-2140,
70,2012,Hypertension Control Among Newly Treated Patients Before and After Publication of the Main ALLHAT Results and JNC 7 Guidelines. Journal of Clinical Hypertension. 14:277-283.  2012  10.1111/j.1751-7176.2012.00609.x,
71,2011,Development and validation of a self-assessment tool for albuminuria: Results from the reasons for geographic and racial differences in stroke (REGARDS) study. American Journal of Kidney Diseases. 58:196-205.  2011  10.1053/j.ajkd.2011.01.027,
72,2011,Association of the metabolic syndrome with atrial fibrillation among United States adults (from the REasons for Geographic and Racial Differences in Stroke [REGARDS] Study). American Journal of Cardiology. 108:227-232.  2011  10.1016/j.amjcard.2011.03.026,
73,2011,Ethnic differences in hypertension incidence among middle-aged and older adults: The multi-ethnic study of atherosclerosis. Hypertension. 57:1101-1107.  2011  10.1161/HYPERTENSIONAHA.110.168005,
74,2011,Clustering of metabolic abnormalities among obese patients and mortality after percutaneous coronary intervention. American Journal of Cardiology. 107:1415-1420.  2011  10.1016/j.amjcard.2011.01.012,
75,2011,Ethnic differences in hypertension incidence among middle-aged and older adults: The multi-ethnic study of atherosclerosis. Hypertension. 57:1101-1107.  2011  10.1161/HYPERTENSIONAHA.110.168005,
76,2010,Low hemoglobin A1c and risk of all-cause mortality among US adults without diabetes. Circulation: Cardiovascular Quality and Outcomes. 3:661-667.  2010  10.1161/CIRCOUTCOMES.110.957936,
77,2010,Impact of A1C screening criterion on the diagnosis of pre-diabetes among U.S. adults. Diabetes Care. 33:2190-2195.  2010  10.2337/dc10-0752,
