,Investigator On
0,"Coronary Artery Risk Development In Young Adults (CARDIA) Study -Birmingham Field Center  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
1,Coronary Artery Risk Development In Young Adults (CARDIA) Study -Birmingham Field Center  awarded by  NIH - National Institutes of Health/DHHS
2,"Coronary Artery Risk Development in Young Adults (CARDIA) Study - Birmingham, Alabama Field Center  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
3,Epigenetic Determinants of Left Ventricular Structure and Function in Hypertensive African Americans  awarded by  American Heart Association
4,Epigenetic Determinants of Left Ventricular Structure and Function in Hypertensive African Americans  awarded by  University of Kentucky
5,"Incorporation of a Hypertension Working Group into the Jackson Heart Study  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
6,"Incorporation of a Hypertension Working Group into the Jackson Heart Study  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
7,"Incorporation of a Hypertension Working Group into the Jackson Heart Study  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
8,"Longitudinal Studies of Coronary Heart Disease Risk Factors in Young Adults-CARDIA-Field Center (Coronary Artery Risk Development in Young Adults (CARDIA) Study-Field Center and Study Follow-Up Field Center)  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
9,"Private Grant  awarded by  AMGEN, INC.^"
10,"Private Grant  awarded by  AMGEN, INC.^"
11,"Racial Disparities in the Maintenance of Healthy Lifestyles and Their Effect on Cumulative Blood Pressure Burden and Left Ventricular Mass in African Americans and Whites: Data from the CARDIA Study  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
12,UAB Diabetes Research Center  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS
13,UAB Diabetes Research Center - Interventions and Translation Core  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS
14,VCID and Stroke in Bi-Racial National Cohort  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
15,VCID and Stroke in a Bi-racial National Cohort  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
