,Teaching Activities
0,NUR313L - Concepts Professional Nur Prac (Spring Term 2021)  2021
1,NUR313L - Concepts Professional Nur Prac (Spring Term 2021)  2021
2,NUR313L - Concepts Professional Nur Prac (Fall Term 2020)  2020
3,NUR313L - Concepts Professional Nur Prac (Fall Term 2020)  2020
4,NUR313L - Concepts Professional Nur Prac (Spring Term 2020)  2020
5,NUR313L - Concepts Professional Nur Prac (Spring Term 2020)  2020
6,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
7,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
8,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
9,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2019)  2019
10,NUR313L - Concepts Professional Nur Prac (Spring Term 2019)  2019
11,NUR313L - Concepts Professional Nur Prac (Fall Term 2018)  2018
12,NUR313L - Concepts Professional Nur Prac (Spring Term 2018)  2018
13,NUR313L - Concepts Professional Nur Prac (Fall Term 2017)  2017
14,NUR313L - Concepts Professional Nur Prac (Spring Term 2017)  2017
15,NUR313L - Concepts Professional Nur Prac (Fall Term 2016)  2016
16,NUR313L - Concepts Professional Nur Prac (Fall Term 2015)  2015
17,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2015)  2015
18,NUR436L - Nurs of the Adult Practicum (Fall Term 2013)  2013
