,Teaching Activities
0,PG521 - Clinical Periodontics (Spring Term 2014)  2014
1,PG577 - Periodontal Case Conference (Spring Term 2014)  2014
2,PG578 - Periodontal Mock Board Topics (Spring Term 2014)  2014
3,PG521 - Clinical Periodontics (Fall Term 2013)  2013
4,PG577 - Periodontal Case Conference (Fall Term 2013)  2013
5,PG778 - Intro to Surgical Implants (Fall Term 2013)  2013
6,PG779 - Adv Therapeutics In Perio (Fall Term 2013)  2013
7,DENT2245 - Periodontology D2 (Spring Term 2013)  2013
8,PG521 - Clinical Periodontics (Spring Term 2013)  2013
9,PG577 - Periodontal Case Conference (Spring Term 2013)  2013
10,PG521 - Clinical Periodontics (Fall Term 2012)  2012
11,PG577 - Periodontal Case Conference (Fall Term 2012)  2012
12,PG778 - Intro to Surgical Implants (Fall Term 2012)  2012
13,PG779 - Adv Therapeutics In Perio (Fall Term 2012)  2012
14,DENT2245 - Periodontology D2 (Spring Term 2012)  2012
15,DENT2336 - Periodontology II (Spring Term 2011)  2011
16,DENT4135 - Periodontology IV (Fall Term 2010)  2010
17,DENT2336 - Periodontology II (Spring Term 2010)  2010
18,DENT4135 - Periodontology IV (Fall Term 2009)  2009
19,DENT4135 - Periodontology IV (Fall Term 2008)  2008
20,DENT3383 - Periodontics Clinic I (Spring Term 2008)  2008
21,DENT4350 - Periodontics Clinic II (Spring Term 2008)  2008
22,DENT4135 - Periodontology IV (Fall Term 2007)  2007
