,Teaching Activities
0,NUR735 - Population Health Adv Prac Nur (Summer Term 2021)  2021
1,NUR731 - Foundations for Adv Prac Nurs (Spring Term 2021)  2021
2,NUR735 - Population Health Adv Prac Nur (Fall Term 2020)  2020
3,NUR606 - Translating Evidence into Prac (Spring Term 2020)  2020
4,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2019)  2019
5,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2019)  2019
6,NUR606 - Translating Evidence into Prac (Spring Term 2019)  2019
7,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2018)  2018
8,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2018)  2018
9,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2017)  2017
10,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2017)  2017
11,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2017)  2017
12,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2016)  2016
13,NFH686L - Pract II: Family Nurse Pract (Spring Term 2016)  2016
14,NFH685L - Pract I: Family Nurse Pract (Fall Term 2015)  2015
15,NUR313L - Concepts Professional Nur Prac (Fall Term 2015)  2015
16,NFH692L - Residency: Family Nurs Pract (Summer Term 2015)  2015
17,NUR436L - Nurs of the Adult Practicum (Spring Term 2014)  2014
18,NUR502L - Foundations Clinical Practice (Spring Term 2013)  2013
