,Teaching Activities
0,NUR553L - Nursing Practicum Women/Child (Summer Term 2021)  2021
1,NUR553L - Nursing Practicum Women/Child (Summer Term 2021)  2021
2,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2021)  2021
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
4,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
5,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2020)  2020
6,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2020)  2020
7,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
8,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
9,NUR553L - Nursing Practicum Women/Child (Summer Term 2019)  2019
10,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2019)  2019
11,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2018)  2018
12,NUR553L - Nursing Practicum Women/Child (Summer Term 2018)  2018
13,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2018)  2018
14,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2017)  2017
15,NUR508L - Clin Prac Chldbear/Chldrea Fam (Summer Term 2017)  2017
16,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2016)  2016
17,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2016)  2016
18,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2015)  2015
19,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2015)  2015
20,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2015)  2015
21,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2014)  2014
22,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2014)  2014
23,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2014)  2014
24,NUR446L - Child Adolescent Practicum (Fall Term 2013)  2013
25,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2013)  2013
26,NUR446L - Child Adolescent Practicum (Spring Term 2013)  2013
27,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2011)  2011
28,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2011)  2011
29,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2010)  2010
30,NUR446L - Child Adolescent Practicum (Spring Term 2010)  2010
