,Teaching Activities
0,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2021)  2021
1,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2021)  2021
2,NUR606 - Translating Evidence into Prac (Spring Term 2021)  2021
3,NUR606 - Translating Evidence into Prac (Fall Term 2020)  2020
4,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2020)  2020
5,NUR606 - Translating Evidence into Prac (Spring Term 2020)  2020
6,NUR606 - Translating Evidence into Prac (Fall Term 2019)  2019
7,NUR606 - Translating Evidence into Prac (Fall Term 2019)  2019
8,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2019)  2019
9,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2019)  2019
10,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2019)  2019
11,NUR606 - Translating Evidence into Prac (Fall Term 2018)  2018
12,NUR606 - Translating Evidence into Prac (Fall Term 2018)  2018
13,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2018)  2018
14,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2018)  2018
15,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2018)  2018
16,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2018)  2018
17,NUR606 - Translating Evidence into Prac (Fall Term 2017)  2017
18,NUR606 - Translating Evidence into Prac (Fall Term 2017)  2017
19,NUR612 - Advanced Pathophysiology (Summer Term 2017)  2017
20,NUR612 - Advanced Pathophysiology (Summer Term 2017)  2017
21,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2017)  2017
22,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2017)  2017
23,NUR606 - Translating Evidence into Prac (Fall Term 2016)  2016
24,NUR606 - Translating Evidence into Prac (Fall Term 2016)  2016
25,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2016)  2016
26,NUR613 - Pharmacology and Therapeutics (Fall Term 2015)  2015
27,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2015)  2015
28,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2015)  2015
29,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
30,NUR612 - Advanced Pathophysiology (Summer Term 2014)  2014
31,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2014)  2014
32,NUR613 - Pharmacology and Therapeutics (Spring Term 2014)  2014
33,NUR612 - Advanced Pathophysiology (Fall Term 2013)  2013
34,NUR602 - Issues Affect Adv Nurs Pract (Spring Term 2011)  2011
35,NUR602 - Issues Affect Adv Nurs Pract (Spring Term 2011)  2011
36,NUR347 - Patho for Prof Nurs Pract RNs (Fall Term 2010)  2010
37,NUR347 - Patho for Prof Nurs Pract RNs (Fall Term 2010)  2010
38,NUR602 - Issues Affect Adv Nurs Pract (Fall Term 2010)  2010
39,NUR602 - Issues Affect Adv Nurs Pract (Fall Term 2010)  2010
40,NUR602 - Issues Affect Adv Nurs Pract (Summer Term 2010)  2010
41,NUR602 - Issues Affect Adv Nurs Pract (Spring Term 2010)  2010
42,NFH692L - Residency: Family Nurs Prac (Fall Term 2009)  2009
43,NFH686L - Prac:Family Nurse Practitioner (Summer Term 2009)  2009
44,NOH686L - Prac II: Occupat Hlth Nrs Prac (Summer Term 2009)  2009
45,NOH685 - Practicum: Occup Hlth Nur Prac (Spring Term 2009)  2009
46,NUR670 - Occupational Health Mgt Prin (Spring Term 2009)  2009
47,NOH692 - Resid: Occup Health Nurse Prac (Fall Term 2008)  2008
48,NOH686 - Prac II: Occupat Hlth Nrs Prac (Summer Term 2008)  2008
49,NOH685 - Practicum: Occup Hlth Nur Prac (Spring Term 2008)  2008
50,NOH692 - Resid: Occup Health Nurse Prac (Fall Term 2007)  2007
