,Year,Title,Altmetric
0,2021,The Validity of the Koos Classification System With Respect to Facial Nerve Function. Neurosurgery. 88:E523-E528.  2021  10.1093/neuros/nyab086,
1,2021,Hannover Classification of Vestibular Schwannomas: A Reliability Study. World Neurosurgery. 2021  10.1016/j.wneu.2021.10.151,
2,2020,Neurosurgical resident research education: A survey of United States residency program directors. Journal of Neurosurgery. 133:1527-1536.  2020  10.3171/2019.7.JNS19632,
3,2020,Letter: Neurosurgeons and curves: The need for critical appraisal of modeling in the post-COVID era. Neurosurgery. 87:E523-E524.  2020  10.1093/neuros/nyaa298,
4,2020,Commentary: The role of stereotactic radiosurgery in the management of brain metastases from a health-economic perspective: A systematic review. Neurosurgery. 87:E277-E278.  2020  10.1093/neuros/nyaa077,
5,2020,Loss of consciousness at onset of aneurysmal subarachnoid hemorrhage in good-grade patients. Neurosurgical Review. 43:1173-1178.  2020  10.1007/s10143-019-01142-z,
6,2020,A Bibliometric Analysis of Neurosurgical Practice Guidelines. Neurosurgery. 86:605-614.  2020  10.1093/neuros/nyz240,
7,2020,In reply: A bibliometric analysis of neurosurgical practice guidelines. Neurosurgery. 86:E405-E406.  2020  10.1093/neuros/nyz539,
8,2020,Developing Physician Leadership in Hospital Policy Development: A Case Study of Resident-Driven Policy Initiatives in the Department of Neurosurgery at the University of Alabama at Birmingham. Neurosurgery. 86:150-153.  2020  10.1093/neuros/nyz002,
9,2020,Intraoperative-evoked Potential Monitoring: From Homemade to Automated Systems. Journal of Neurosurgical Anesthesiology. 32:90.  2020  10.1097/ANA.0000000000000637,
10,2020,Reserved Bed Program Reduces Neurosciences Intensive Care Unit Capacity Strain: An Implementation Study. Neurosurgery. 86:132-137.  2020  10.1093/neuros/nyz024,
11,2019,Towards Evidence-Based Guidelines in Neurological Surgery. Neurosurgery. 85:613-621.  2019  10.1093/neuros/nyy414,
12,2019,Assessment of the Reliability of the Fiberoptic Endoscopic Evaluation of Swallowing as an Outcome Measure in Patients Undergoing Revision Anterior Cervical Discectomy and Fusion. World Neurosurgery. 130:e199-e205.  2019  10.1016/j.wneu.2019.06.028,
13,2019,"The case for the future role of evidence-based medicine in the management of cervical spine injuries, with or without fractures. Journal of Neurosurgery: Spine. 31:457-463.  2019  10.3171/2019.6.SPINE19652",
14,2019,Diagnosis of Ventricular Shunt Infection in Children: A Systematic Review. World Neurosurgery. 129:34-44.  2019  10.1016/j.wneu.2019.05.057,
15,2019,Koos Classification of Vestibular Schwannomas: A Reliability Study. Neurosurgery. 85:409-414.  2019  10.1093/neuros/nyy409,
16,2019,Haplotype analysis of SERPINE1 gene: Risk for aneurysmal subarachnoid hemorrhage and clinical outcomes. Molecular Genetics and Genomic Medicine. 7.  2019  10.1002/mgg3.737,
17,2019,In Reply: Subaxial Cervical Spine Injury Classification Systems. Neurosurgery. 85:E404.  2019  10.1093/neuros/nyz152,
18,2019,Thoracolumbar Injury Classification and Severity Score in Children: A Validity Study. Neurosurgery. 84:E362-E367.  2019  10.1093/neuros/nyy408,
19,2019,What Isn't a case-control study?. Neurosurgery. 84:993-999.  2019  10.1093/neuros/nyy591,
20,2019,Current Topics in the Management of Acute Traumatic Spinal Cord Injury. Neurocritical Care. 30:261-271.  2019  10.1007/s12028-018-0537-5,
21,2019,What is a case-control study?. Neurosurgery. 84:819-826.  2019  10.1093/neuros/nyy590,
22,2019,Patient Satisfaction in Surgery for Parkinson's Disease: A Systematic Review of the Literature.. Cureus. 11:e4316.  2019  10.7759/cureus.4316,
23,2019,The Impact of Different Postgraduate Year Training in Neurosurgery Residency on 30-Day Postoperative Outcomes. Neurosurgery. 84:778-786.  2019  10.1093/neuros/nyy277,
24,2019,Association between payer status and patient-reported outcomes in adult patients with lumbar spinal stenosis treated with decompression surgery. Journal of Neurosurgery: Spine. 30:198-210.  2019  10.3171/2018.7.SPINE18294,
25,2019,In reply: Guidelines for the use of electrophysiological monitoring for surgery of the human spinal column and spinal cord. Neurosurgery. 84:E129-E131.  2019  10.1093/neuros/nyy534,
26,2019,Commentary: Writing a clinical research question. Neurosurgery. 84:17-18.  2019  10.1093/neuros/nyy485,
27,2019,Education level as a prognostic indicator at 12 months following decompression surgery for symptomatic lumbar spinal stenosis. Journal of Neurosurgery: Spine. 30:60-68.  2019  10.3171/2018.6.SPINE18226,
28,2019,Patient satisfaction in spine surgery: A systematic review of the literature. Asian Spine Journal. 13:1047-1057.  2019  10.31616/asj.2019.0032,
29,2018,“Are You Going to Be in the Surgery?” How Residents Can Respond to Concerned Patients Based on “The Impact of Different Postgraduate Year Training in Neurosurgery Residency on 30-Day Outcomes” Studies. World Neurosurgery. 119:446-447.  2018  10.1016/j.wneu.2018.09.020,
30,2018,Association between preoperative activity level and functional outcome at 12 months following surgical decompression for lumbar spinal stenosis. Journal of Neurosurgery: Spine. 29:388-396.  2018  10.3171/2018.2.SPINE171028,
31,2018,Antiplatelet Medication Reversal Strategies in Operative Intracranial Hemorrhage: A Survey of Practicing Neurosurgeons. World Neurosurgery. 116:e649-e654.  2018  10.1016/j.wneu.2018.05.064,
32,2018,Corrigendum to “Intracranial Hemorrhage in Patients with a Left Ventricular Assist Device” [World Neurosurgery 113 (2018) e714–e721] (S187887501830408X) (10.1016/j.wneu.2018.02.135)). World Neurosurgery. 116:539.  2018  10.1016/j.wneu.2018.05.102,
33,2018,In reply: Guidelines for the use of electrophysiological monitoring for surgery of the human spinal column and spinal cord. Neurosurgery. 83:E76-E77.  2018  10.1093/neuros/nyy158,
34,2018,In reply: Guidelines for the use of electrophysiological monitoring for surgery of the human spinal column and spinal cord. Neurosurgery. 83:E80-E81.  2018  10.1093/neuros/nyy207,
35,2018,In reply: Guidelines for the use of electrophysiological monitoring for surgery of the human spinal column and spinal cord. Neurosurgery. 83:E85-E86.  2018  10.1093/neuros/nyy232,
36,2018,PHASES score applied to a prospective cohort of aneurysmal subarachnoid hemorrhage patients. Journal of Clinical Neuroscience. 53:69-73.  2018  10.1016/j.jocn.2018.04.014,
37,2018,Association of cystathionine beta-synthase polymorphisms and aneurysmal subarachnoid hemorrhage. Journal of Neurosurgery. 128:1771-1777.  2018  10.3171/2017.2.JNS162933,
38,2018,In reply: Guidelines for the use of electrophysiological monitoring for surgery of the human spinal column and spinal cord. Neurosurgery. 82:E192-E193.  2018  10.1093/neuros/nyy094,
39,2018,Kyphoplasty patient-centered outcomes via questionnaire.. J Spine Surg. 4:328-332.  2018  10.21037/jss.2018.05.24,
40,2018,"Associations between endothelin polymorphisms and aneurysmal subarachnoid hemorrhage, clinical vasospasm, delayed cerebral ischemia, and functional outcome. Journal of Neurosurgery. 128:1311-1317.  2018  10.3171/2016.12.JNS162594",
41,2018,Intracranial Hemorrhage in Patients with a Left Ventricular Assist Device. World Neurosurgery. 113:e714-e721.  2018  10.1016/j.wneu.2018.02.135,
42,2018,Damage capitation in the modern liability climate: A primer for neurosurgeons and systematic review of the literature. Journal of Neurosurgery: Spine. 28:446-454.  2018  10.3171/2017.3.SPINE16832,
43,2018,Response. Journal of Neurosurgery: Spine. 28:445.  2018,
44,2018,Thoracolumbar Injury Classification and Severity Score in children: A reliability study. Journal of Neurosurgery: Pediatrics. 21:284-291.  2018  10.3171/2017.7.PEDS1720,
45,2018,Voice and swallowing outcomes following reoperative anterior cervical discectomy and fusion with a 2-team surgical approach. Journal of Neurosurgery: Spine. 28:140-148.  2018  10.3171/2017.5.SPINE161104,
46,2018,Association of renin-angiotensin system genetic polymorphisms and aneurysmal subarachnoid hemorrhage. Journal of Neurosurgery. 128:86-93.  2018  10.3171/2016.9.JNS161593,
47,2017,The role of endothelial nitric oxide synthase −786 T/C polymorphism in cardiac instability following aneurysmal subarachnoid hemorrhage. Nitric Oxide: Biology and Chemistry. 71:52-56.  2017  10.1016/j.niox.2017.10.008,
48,2017,Guidelines for the use of electrophysiological monitoring for surgery of the human spinal column and spinal cord. Clinical Neurosurgery. 81:713-732.  2017  10.1093/neuros/nyx466,
49,2017,Association of Plasminogen Activator Inhibitor 1 (SERPINE1) Polymorphisms and Aneurysmal Subarachnoid Hemorrhage. World Neurosurgery. 105:672-677.  2017  10.1016/j.wneu.2017.05.175,
50,2017,Obese (Body Mass Index >30) Patients Have Greater Functional Improvement and Reach Equivalent Outcomes at 12 Months Following Decompression Surgery for Symptomatic Lumbar Stenosis. World Neurosurgery. 105:884-894.  2017  10.1016/j.wneu.2017.06.072,
51,2017,Corrigendum to ‘Predictors of Shunt Insertion in Aneurysmal Subarachnoid Hemorrhage’ [World Neurosurgery 98 (2017) 421-426] (S1878875016312402) (10.1016/j.wneu.2016.11.092)). World Neurosurgery. 104:1043.  2017  10.1016/j.wneu.2017.06.021,
52,2017,Associations of Endothelin Polymorphisms and Aneurysm Size at Time of Rupture. World Neurosurgery. 102:253-257.  2017  10.1016/j.wneu.2017.03.041,
