,Investigator On
0,"Chronic Hypertension and Pregnancy-CHAP Clinical Coordinating Center  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
1,Intergenerational Transmission of Obesity  awarded by  American Heart Association
2,Intergenerational Transmission of Obesity - Intergenerational Transmission of Obesity in a Cohort of Mother-Child Dyads  awarded by  American Heart Association
3,Intergenerational Transmission of Obesity - Intergenerational Transmission of Obesity: Antental Mother and Beyond Birth Offspring  awarded by  American Heart Association
4,Medical Optimization & Management of Pregnancies with Overt Type 2 Diabetes (MOMPOD)  awarded by  University of North Carolina
5,Medical Optimization and Management of Pregnancies with Overt Type 2 Diabetes  awarded by  University of North Carolina at Chapel Hill
6,National Standard for Normal Fetal Growth  awarded by  Medical University of South Carolina
7,Private Grant  awarded by  REVO DE
8,Private Grant  awarded by  GlaxoSmithKline
9,"Private Grant  awarded by  PROGENITY, INC."
10,"Private Grant  awarded by  NOVAVAX, INC."
11,"Private Grant  awarded by  MELLITUS, LLC"
12,Private Grant  awarded by  ALYDIA HEALTH
13,Private Grant  awarded by  LUPIN INC.
14,"Private Grant  awarded by  Pfizer Inc., U.S. Pharmaceuticals Group"
15,Private Grant  awarded by  Pfizer Pharmaceuticals
16,"Private Grant  awarded by  SEQUENOM, INC."
17,Prophylactic Negative Pressure Wound Therapy in Obese Women at Cesarean: A Multicenter RCT  awarded by  Washington University
18,Temporal Dynamics of the Pregnancy-Associated Human Microbiome and Its Relationship to Preterm Birth  awarded by  Stanford University
