,Teaching Activities
0,NUR553L - Nursing Practicum Women/Child (Summer Term 2021)  2021
1,NUR553L - Nursing Practicum Women/Child (Summer Term 2021)  2021
2,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2021)  2021
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2021)  2021
4,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
5,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
6,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
7,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
8,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
9,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
10,NUR553L - Nursing Practicum Women/Child (Summer Term 2019)  2019
11,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2016)  2016
12,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2015)  2015
13,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2015)  2015
14,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2014)  2014
15,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2014)  2014
16,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2013)  2013
17,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2013)  2013
18,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2013)  2013
19,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2012)  2012
20,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2012)  2012
21,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2012)  2012
22,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2011)  2011
23,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2011)  2011
24,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2011)  2011
25,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2010)  2010
