,Teaching Activities
0,NUR321L - Nursing Skills Development II (Spring Term 2021)  2021
1,NUR321L - Nursing Skills Development II (Spring Term 2021)  2021
2,NUR427L - Concepts of Complex Nur Pract (Fall Term 2020)  2020
3,NUR321L - Nursing Skills Development II (Spring Term 2020)  2020
4,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
5,NUR427L - Concepts of Complex Nur Pract (Fall Term 2019)  2019
6,NUR427L - Concepts of Complex Nur Pract (Fall Term 2019)  2019
7,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2019)  2019
8,NUR321L - Nursing Skills Development II (Summer Term 2018)  2018
9,NUR311L - Nursing Skills Development I (Spring Term 2018)  2018
10,NUR321L - Nursing Skills Development II (Spring Term 2018)  2018
11,NUR312L - Health Assess Across Lifespan (Fall Term 2017)  2017
12,NUR321L - Nursing Skills Development II (Summer Term 2017)  2017
13,NUR321L - Nursing Skills Development II (Spring Term 2017)  2017
14,NUR321L - Nursing Skills Development II (Spring Term 2016)  2016
