,Teaching Activities
0,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2012)  2012
1,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Fall Term 2012)  2012
2,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2012)  2012
3,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2012)  2012
4,91-218 - ELECTIVE IN FAMILY MEDICINE (Spring Term 2012)  2012
5,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2012)  2012
6,30-401 - VISITING ELECTIVE IN FAMILY MEDICINE (Spring Term 2012)  2012
7,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Spring Term 2012)  2012
8,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2012)  2012
9,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2011)  2011
10,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Fall Term 2011)  2011
11,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2011)  2011
12,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2011)  2011
13,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Fall Term 2011)  2011
14,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2011)  2011
15,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2011)  2011
16,91-218 - ELECTIVE IN FAMILY MEDICINE (Spring Term 2011)  2011
17,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2011)  2011
18,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Spring Term 2011)  2011
19,TERM302 - TUSCALOOSA EXPERIENCE IN RURAL MEDICINE (Spring Term 2011)  2011
20,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2011)  2011
21,91-928 - FAMILY MEDICINE ACTING INTERNSHIP (Spring Term 2011)  2011
22,91-218 - ELECTIVE IN FAMILY MEDICINE (Spring Term 2011)  2011
23,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Spring Term 2011)  2011
24,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2011)  2011
25,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2010)  2010
26,91-928 - FAMILY MEDICINE ACTING INTERNSHIP (Fall Term 2010)  2010
27,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2010)  2010
28,91-929 - FAMILY PRACTICE ACTING INTERNSHIP (Fall Term 2010)  2010
29,91-928 - FAMILY MEDICINE ACTING INTERNSHIP (Fall Term 2010)  2010
30,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2010)  2010
31,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2010)  2010
32,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2010)  2010
33,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2010)  2010
34,91-928 - FAMILY MEDICINE INPATIENT ACTING INTERNSHIP (Spring Term 2010)  2010
35,91-929 - FAMILY PRACTICE AMBULATORY ACTING INTERNSHIP (Spring Term 2010)  2010
36,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2010)  2010
37,91-218 - ELECTIVE IN FAMILY MEDICINE (Spring Term 2010)  2010
38,91-929 - FAMILY PRACTICE AMBULATORY ACTING INTERNSHIP (Spring Term 2010)  2010
39,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2009)  2009
40,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2009)  2009
41,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2009)  2009
42,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2009)  2009
43,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2009)  2009
44,91-929 - FAMILY PRACTICE AMBULATORY ACTING INTERNSHIP (Fall Term 2009)  2009
45,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2009)  2009
46,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2009)  2009
47,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2009)  2009
48,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2009)  2009
49,91-218 - ELECTIVE IN FAMILY MEDICINE (Spring Term 2009)  2009
50,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2009)  2009
51,02-302 - FAMILY MEDICINE CLERKSHIP (Spring Term 2009)  2009
52,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2008)  2008 - 2009
53,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2008)  2008
54,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2008)  2008
55,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2008)  2008
56,91-929 - FAMILY PRACTICE AMBULATORY ACTING INTERNSHIP (Fall Term 2008)  2008
57,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2008)  2008
58,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2008)  2008
59,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2008)  2008
60,02-302 - FAMILY MEDICINE CLERKSHIP (Fall Term 2008)  2008
61,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2008)  2008
62,91-218 - ELECTIVE IN FAMILY MEDICINE (Spring Term 2008)  2008
63,91-929 - FAMILY PRACTICE AMBULATORY ACTING INTERNSHIP (Spring Term 2008)  2008
64,91-218 - ELECTIVE IN FAMILY MEDICINE (Spring Term 2008)  2008
65,91-928 - FAMILY MEDICINE INPATIENT ACTING INTERNSHIP (Spring Term 2008)  2008
66,91-929 - FAMILY PRACTICE AMBULATORY ACTING INTERNSHIP (Spring Term 2008)  2008
67,91-218 - ELECTIVE IN FAMILY MEDICINE (Fall Term 2007)  2007 - 2008
