,Teaching Activities
0,NWH692L - Resid: Women's Health Care NP (Summer Term 2021)  2021
1,NWH686L - Pract II: Women's Hlth Care NP (Spring Term 2021)  2021
2,NWH685L - Pract I:  Women's Hlth Care NP (Fall Term 2020)  2020
3,NWH686L - Pract II: Women's Hlth Care NP (Spring Term 2020)  2020
4,NWH685L - Pract I:  Women's Hlth Care NP (Fall Term 2019)  2019
5,NWH692L - Resid: Women's Health Care NP (Summer Term 2019)  2019
6,NWH686L - Pract II: Women's Hlth Care NP (Spring Term 2019)  2019
7,NWH692L - Resid: Women's Health Care NP (Fall Term 2018)  2018
8,NWH686L - Pract II: Women's Hlth Care NP (Summer Term 2018)  2018
9,NWH686L - Pract II: Women's Hlth Care NP (Spring Term 2018)  2018
10,NWH692L - Resid: Women's Health Care NP (Fall Term 2017)  2017
11,NWH686L - Pract II: Women's Hlth Care NP (Summer Term 2017)  2017
12,NWH685L - Pract I:  Women's Hlth Care NP (Spring Term 2017)  2017
13,NWH692L - Resid: Women's Health Care NP (Fall Term 2016)  2016
14,NWH686L - Pract II: Women's Hlth Care NP (Summer Term 2016)  2016
15,NWH685L - Pract I:  Women's Hlth Care NP (Spring Term 2016)  2016
16,NWH692L - Resid: Women's Health Care NP (Fall Term 2015)  2015
17,NWH686L - Pract II: Women's Hlth Care NP (Summer Term 2015)  2015
18,NWH692L - Resid: Women's Health Care NP (Spring Term 2015)  2015
19,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2014)  2014
20,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2011)  2011
21,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2010)  2010
22,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2010)  2010
23,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2010)  2010
