,Year,Title,Altmetric
0,2021,"Examining the Relationships between Experienced and Anticipated Stigma in Health Care Settings, Patient-Provider Race Concordance, and Trust in Providers among Women Living with HIV. AIDS Patient Care and STDS. 35:441-448.  2021  10.1089/apc.2021.0096",
1,2021,Disclosure Concerns and Viral Suppression in People Newly Initiating HIV Care: The Role of Internalized HIV Stigma  2021  10.1097/QAI.0000000000002593,
2,2021,Patient Health Literacy and Communication with Providers Among Women Living with HIV: A Mixed Methods Study. AIDS and Behavior. 2021  10.1007/s10461-021-03496-2,
3,2021,Patient and Provider Perspectives on HIV Stigma in Healthcare Settings in Underserved Areas of the US South: A Mixed Methods Study. AIDS and Behavior. 2021  10.1007/s10461-021-03470-y,
4,2020,Internalized HIV Stigma and Pain among Women with HIV in the United States: The Mediating Role of Depressive Symptoms. AIDS and Behavior. 24:3482-3490.  2020  10.1007/s10461-020-02919-w,
5,2020,"Clinic-level factors associated with retention in care among people living with human immunodeficiency virus in a multisite US Cohort, 2010–2016. Clinical Infectious Diseases. 71:2592-2598.  2020  10.1093/cid/ciz1144",
6,2020,Changes in Internalized Stigma and HIV Health Outcomes in Individuals New to HIV Care: The Mediating Roles of Depression and Treatment Self-Efficacy. AIDS Patient Care and STDS. 34:491-497.  2020  10.1089/apc.2020.0114,
7,2020,Effects of an intervention on internalized HIV-related stigma for individuals newly entering HIV care. AIDS. 34:S73-S82.  2020  10.1097/QAD.0000000000002566,
8,2020,Resilience and HIV Treatment Outcomes among Women Living with HIV in the United States: A Mixed-Methods Analysis. AIDS Patient Care and STDS. 34:356-366.  2020  10.1089/apc.2019.0309,
9,2020,Quality of care for Black and Latina women living with HIV in the U.S.: a qualitative study. International Journal for Equity in Health. 19.  2020  10.1186/s12939-020-01230-3,
10,2020,"HIV-related stigma, depression, and social support are associated with health-related quality of life among patients newly entering HIV care  2020  10.1080/09540121.2019.1622635",
11,2020,An Exploratory Study of Correlates of Allostatic Load in Older People Living with HIV  2020  10.1097/QAI.0000000000002293,
12,2020,Brief Report: Linking Depressive Symptoms to Viral Nonsuppression Among Women With HIV Through Adherence Self-Efficacy and ART Adherence  2020  10.1097/QAI.0000000000002268,
13,2020,Complexities of HIV Disclosure in Patients Newly Entering HIV Care: A Qualitative Analysis. Journal of the Association of Nurses in AIDS Care. 31:208-218.  2020  10.1097/JNC.0000000000000127,
14,2020,"Precarity and health: Theorizing the intersection of multiple material-need insecurities, stigma, and illness among women in the United States. Social Science and Medicine. 245.  2020  10.1016/j.socscimed.2019.112683",
15,2020,"The association of low income and high stress with acute care use in COPD patients. Chronic obstructive pulmonary diseases (Miami, Fla.). 7:107-117.  2020  10.15326/jcopdf.7.2.2019.0165",
16,2020,"Within-person coupling of estradiol, testosterone, and cortisol in women athletes. PeerJ. 2020.  2020  10.7717/peerj.8402",
17,2019,"Accessing Pre-exposure Prophylaxis (PrEP): Perceptions of Current and Potential PrEP Users in Birmingham, Alabama. AIDS and Behavior. 23:2966-2979.  2019  10.1007/s10461-019-02591-9",
18,2019,Experience Sampling Method Versus Questionnaire Measurement of HIV Stigma: Psychosocial Predictors of Response Discrepancies and Associations With HIV Outcomes.. Stigma and Health. 4:487-494.  2019  10.1037/sah0000170,
19,2019,Baseline motives for eating palatable food: racial differences and preliminary utility in predicting weight loss  2019  10.1007/s40519-017-0426-5,
20,2019,Poverty stigma is associated with suboptimal HIV care and treatment outcomes among women living with HIV in the United States. AIDS. 33:1379-1384.  2019  10.1097/QAD.0000000000002189,
21,2019,"Neighborhood Racial Diversity, Socioeconomic Status, and Perceptions of HIV-Related Discrimination and Internalized HIV Stigma among Women Living with HIV in the United States. AIDS Patient Care and STDS. 33:270-281.  2019  10.1089/apc.2019.0004",
22,2019,Substance Use Stigma and Antiretroviral Therapy Adherence among a Drug-Using Population Living with HIV. AIDS Patient Care and STDS. 33:282-293.  2019  10.1089/apc.2018.0311,
23,2019,The effect of expectation on transcranial direct current stimulation (tDCS) to suppress food craving and eating in individuals with overweight and obesity. Appetite. 136:1-7.  2019  10.1016/j.appet.2018.12.044,
24,2019,A Mixed Methods Study of Anticipated and Experienced Stigma in Health Care Settings among Women Living with HIV in the United States. AIDS Patient Care and STDS. 33:184-195.  2019  10.1089/apc.2018.0282,
25,2019,Buffering Internalization of HIV Stigma: Implications for Treatment Adherence and Depression  2019  10.1097/QAI.0000000000001915,
26,2019,Longitudinal association between internalized HIV stigma and antiretroviral therapy adherence for women living with HIV: The mediating role of depression. AIDS. 33:571-576.  2019  10.1097/QAD.0000000000002071,
27,2019,Challenges and opportunities in examining and addressing intersectional stigma and health. BMC Medicine. 17.  2019  10.1186/s12916-018-1246-9,
28,2019,Food Insecurity Is Associated With Inflammation Among Women Living With HIV. Journal of Infectious Diseases. 219:429-436.  2019  10.1093/infdis/jiy511,
29,2019,Associations between multiple forms of discrimination and tobacco use among people living with HIV: The mediating role of avoidance coping  2019  10.1097/QAI.0000000000001636,
30,2019,Internal Working Models of Attachment Relationships and HIV Outcomes among Women Living with HIV  2019  10.1097/QAI.0000000000001872,
31,2018,Norms and stigma around unintended pregnancy in Alabama: Associations with recent contraceptive use and dual method use among young women  2018  10.1080/03630242.2017.1414099,
32,2018,The Turkish Palatable Eating Motives Scale (T-PEMS): utility in predicting binge-eating eating and obesity risk in university students  2018  10.1007/s40519-017-0383-z,
33,2018,Perceptions of intersectional stigma among diverse women living with HIV in the United States. Social Science and Medicine. 208:9-17.  2018  10.1016/j.socscimed.2018.05.001,
34,2018,Healthcare Empowerment and HIV Viral Control: Mediating Roles of Adherence and Retention in Care. American Journal of Preventive Medicine. 54:756-764.  2018  10.1016/j.amepre.2018.02.012,
35,2018,Ease of walking associates with greater free-living physical activity and reduced depressive symptomology in breast cancer survivors: pilot randomized trial. Supportive Care in Cancer. 26:1675-1683.  2018  10.1007/s00520-017-4015-y,
36,2018,Experienced HIV-Related Stigma in Health Care and Community Settings: Mediated Associations With Psychosocial and Health Outcomes  2018  10.1097/QAI.0000000000001590,
37,2018,Moment-to-moment changes in perceived social support and pain for men living with HIV: An experience sampling study. PAIN. 159:2503-2511.  2018  10.1097/j.pain.0000000000001354,
38,2017,Association between Perceived Discrimination in Healthcare Settings and HIV Medication Adherence: Mediating Psychosocial Mechanisms. AIDS and Behavior. 21:3431-3439.  2017  10.1007/s10461-017-1957-5,
39,2017,The association between injustice perception and psychological outcomes in an inpatient spinal cord injury sample: The mediating effects of anger. Spinal Cord. 55:898-905.  2017  10.1038/sc.2017.39,
40,2017,The critical role of cognitive-based trait differences in transcranial direct current stimulation (tDCS) suppression of food craving and eating in frank obesity. Appetite. 116:568-574.  2017  10.1016/j.appet.2017.05.046,
41,2017,Moment-to-moment within-person associations between acts of discrimination and internalized stigma in people living with HIV: An experience sampling study.. Stigma and Health. 2:216-228.  2017  10.1037/sah0000051,
42,2017,"Framing mechanisms linking HIV-related stigma, adherence to treatment, and health outcomes. American Journal of Public Health. 107:863-869.  2017  10.2105/AJPH.2017.303744",
43,2017,Association between violence exposure and condom non-use among transgender sex workers in the Dominican Republic: the mediating role of trust. International Journal of STD and AIDS. 28:608-612.  2017  10.1177/0956462416659421,
44,2017,Norms and stigma regarding pregnancy decisions during an unintended pregnancy: Development and predictors of scales among young women in the U.S. South. PLoS ONE. 12.  2017  10.1371/journal.pone.0174210,
45,2017,Association between internalized HIV-related stigma and HIV care visit adherence  2017  10.1097/QAI.0000000000001543,
46,2017,Brief Report: Interpersonal and Intrapersonal Factors as Parallel Independent Mediators in the Association between Internalized HIV Stigma and ART Adherence  2017  10.1097/QAI.0000000000001177,
47,2017,How Does Stigma Affect People Living with HIV? The Mediating Roles of Internalized and Anticipated HIV Stigma in the Effects of Perceived Community Stigma on Health and Psychosocial Outcomes. AIDS and Behavior. 21:283-291.  2017  10.1007/s10461-016-1451-5,
48,2017,Interpersonal Mechanisms Contributing to the Association Between HIV-Related Internalized Stigma and Medication Adherence. AIDS and Behavior. 21:238-247.  2017  10.1007/s10461-016-1320-2,
49,2016,Adaptation and Implementation of an Intervention to Reduce HIV-Related Stigma Among Healthcare Workers in the United States: Piloting of the FRESH Workshop. AIDS Patient Care and STDS. 30:519-527.  2016  10.1089/apc.2016.0223,
50,2016,Social support and moment-to-moment changes in treatment self-efficacy in men living with HIV: Psychosocial moderators and clinical outcomes. Health Psychology. 35:1126-1134.  2016  10.1037/hea0000356,
51,2016,Exercise following Mental Work Prevented Overeating. Medicine and Science in Sports and Exercise. 48:1803-1809.  2016  10.1249/MSS.0000000000000961,
52,2016,Mechanisms for the negative effects of internalized HIV-related stigma on antiretroviral therapy adherence in women: The mediating roles of social isolation and depression  2016  10.1097/QAI.0000000000000948,
53,2016,"Investigation of Predictors of Overeating Following a Cognitive Task: 802 Board #118 June 1, 3: 30 PM - 5: 00 PM.. Medicine and Science in Sports and Exercise. 48:221.  2016  10.1249/01.mss.0000485665.58453.ee",
54,2016,Older age may offset genetic influence on affect: The COMT polymorphism and affective well-being across the life span. Psychology and Aging. 31:287-294.  2016  10.1037/pag0000085,
