,Investigator On
0,A-Z Clinical Trials Unit  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
1,Aging in Puerto Rico: Longitudinal Follow-Up of the PREHCO Study  awarded by  National Institute on Aging/NIH/DHHS
2,Integrating ENGagement and Adherence Goals upon Entry iENGAGE to Control HIV  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
3,Mechanisms and Longitudinal Effects of Stigma on Women's Adherence and Outcomes  awarded by  National Institute of Mental Health/NIH/DHHS
4,Multi-Level Social and Behavioral Determinants of Health and Missed HIV Healthcare Provider Visits  awarded by  VANDERBILT UNIVERSITY
5,Neurobiological Mechanisms of Lower Internalizing Disorders in Black Americans  awarded by  National Institute of Mental Health/NIH/DHHS
6,Role of Gut Microbe Composition in Psychosocial Symptom Response to Exercise Training in Breast Cancer Survivors  awarded by  National Cancer Institute/NIH/DHHS
7,Size Estimation Studies on Six Eastern Caribbean Nations  awarded by  CARIBBEAN VULNERABLE COMMUNITIES COALITION (CVC)
8,UAB Center for AIDS Research  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
9,UAB Center for AIDS Research (CFAR)  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
10,UAB Center for AIDS Research - Core J - Behavioral and Community Sciences Core  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
11,UAB Center for AIDS Research - UAB CFAR - Administrative Supplement Announcement Multidisciplinary Research Project from a Scientific Working Group (SWG) -Finding Respect and Ending Stigma around HIV in Healthcare Settings in the United States  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
