,Teaching Activities
0,PY704 - Social Psychology (Fall Term 2020)  2020
1,PY472 - Social Psychophysiology (Fall Term 2019)  2019
2,PY704 - Social Psychology (Fall Term 2018)  2018
3,PY472 - Social Psychophysiology (Spring Term 2017)  2017
4,PY704 - Social Psychology (Fall Term 2016)  2016
5,PY216 - Elementary Statistical Methods (Spring Term 2016)  2016
6,PY472 - Social Psychophysiology (Fall Term 2015)  2015
7,PY749 - Social Psychophysiology (Fall Term 2015)  2015
8,PY420 - Special Topics (Fall Term 2014)  2014
9,PY214 - Elem Stats Methods and Design (Spring Term 2014)  2014
10,PY420 - Special Topics (Spring Term 2014)  2014
11,PY214 - Elem Stats Methods and Design (Fall Term 2013)  2013
12,PY420 - Special Topics (Fall Term 2013)  2013
13,PY791 - Special Topics (Fall Term 2013)  2013
14,PY704 - Social Psychology (Spring Term 2013)  2013
15,PY214 - Elem Stats Methods and Design (Fall Term 2012)  2012
16,PY420 - Special Topics (Fall Term 2012)  2012
17,PY791 - Special Topics (Fall Term 2012)  2012
18,PY214 - Elem Stats Methods and Design (Spring Term 2012)  2012
19,PY420 - Special Topics (Spring Term 2012)  2012
20,PY791 - Special Topics (Spring Term 2012)  2012
