,Teaching Activities
0,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2021)  2021
1,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2020)  2020
2,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2020)  2020
3,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2019)  2019
4,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2019)  2019
5,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2019)  2019
6,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2018)  2018
7,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2018)  2018
8,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2018)  2018
9,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2018)  2018
10,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2018)  2018
11,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
12,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
13,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
14,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
15,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
16,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
17,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
18,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
19,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
20,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2017)  2017
21,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2017)  2017
22,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2017)  2017
23,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2017)  2017
24,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2017)  2017
25,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2017)  2017
26,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2017)  2017
27,NUR613 - Pharmacology and Therapeutics (Spring Term 2017)  2017
28,NUR613 - Pharmacology and Therapeutics (Fall Term 2016)  2016
29,NUR613 - Pharmacology and Therapeutics (Fall Term 2016)  2016
30,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
31,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
32,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
33,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
34,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
35,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
36,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
37,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
38,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
39,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
40,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2016)  2016
41,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2016)  2016
42,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2016)  2016
43,NUR612 - Advanced Pathophysiology (Fall Term 2015)  2015
44,NUR612 - Advanced Pathophysiology (Fall Term 2015)  2015
45,NUR613 - Pharmacology and Therapeutics (Fall Term 2015)  2015
46,NUR610 - Hlth Care Sys for Adv Nur Prac (Summer Term 2015)  2015
47,NUR612 - Advanced Pathophysiology (Summer Term 2015)  2015
48,NUR612 - Advanced Pathophysiology (Summer Term 2015)  2015
49,NUR613 - Pharmacology and Therapeutics (Spring Term 2015)  2015
50,NUR613 - Pharmacology and Therapeutics (Spring Term 2015)  2015
51,NUR612 - Advanced Pathophysiology (Fall Term 2014)  2014
52,NUR613 - Pharmacology and Therapeutics (Fall Term 2014)  2014
53,NUR612 - Advanced Pathophysiology (Summer Term 2014)  2014
54,NUR613 - Pharmacology and Therapeutics (Spring Term 2014)  2014
55,NUR602 - Issues Affect Adv Nurs Pract (Fall Term 2013)  2013
56,NUR612 - Advanced Pathophysiology (Fall Term 2013)  2013
57,NUR601 - Role Dev for Adv Nursing Pract (Summer Term 2013)  2013
58,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
59,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
60,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
61,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
62,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
63,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
64,NUR601 - Role Dev for Adv Nursing Pract (Spring Term 2013)  2013
65,NUR601 - Role Dev for Adv Nursing Pract (Spring Term 2013)  2013
66,NUR601 - Role Dev for Adv Nursing Pract (Spring Term 2013)  2013
67,NUR601 - Role Dev for Adv Nursing Pract (Spring Term 2013)  2013
68,NFH692L - Residency: Family Nurs Prac (Fall Term 2012)  2012
69,NFH622 - Advanced Family Nursing II (Summer Term 2012)  2012
70,NFH622 - Advanced Family Nursing II (Summer Term 2012)  2012
71,NFH622 - Advanced Family Nursing II (Summer Term 2012)  2012
72,NFH622 - Advanced Family Nursing II (Summer Term 2012)  2012
73,NFH686L - Prac:Family Nurse Practitioner (Summer Term 2012)  2012
74,NFH621 - Advanced Family Nursing I (Spring Term 2012)  2012
75,NFH621 - Advanced Family Nursing I (Spring Term 2012)  2012
76,NFH621 - Advanced Family Nursing I (Spring Term 2012)  2012
77,NFH685L - Prac:Family Nurse Practitioner (Spring Term 2012)  2012
78,NFH685L - Prac:Family Nurse Practitioner (Spring Term 2012)  2012
79,NFH685L - Prac:Family Nurse Practitioner (Spring Term 2012)  2012
80,NFH685L - Prac:Family Nurse Practitioner (Spring Term 2012)  2012
81,NFH685L - Prac:Family Nurse Practitioner (Spring Term 2012)  2012
82,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
83,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
84,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
85,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
86,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
87,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
88,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
89,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
90,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
91,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
92,NFH692L - Residency: Family Nurs Prac (Fall Term 2011)  2011
