,Teaching Activities
0,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Summer Term 2021)  2021
1,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2019)  2019
2,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2019)  2019
3,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2018)  2018
4,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Summer Term 2018)  2018
5,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2017)  2017
6,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Summer Term 2017)  2017
7,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Spring Term 2017)  2017
8,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2016)  2016
9,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Spring Term 2016)  2016
10,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2015)  2015
11,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Spring Term 2015)  2015
12,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2014)  2014
13,NUR396L - Community Public Hlth Prac/SL (Spring Term 2014)  2014
14,NUR510L - Clinical Practice Communities (Fall Term 2013)  2013
15,NUR396L - Community Public Hlth Prac/SL (Spring Term 2013)  2013
16,NUR456L - Leader Management Practicum (Spring Term 2013)  2013
17,NUR510L - Clinical Practice Communities (Fall Term 2012)  2012
18,NUR396L - Community Public Hlth Prac/SL (Spring Term 2012)  2012
