,Teaching Activities
0,NWH692L - Resid: Women's Health Care NP (Summer Term 2021)  2021
1,NWH692L - Resid: Women's Health Care NP (Summer Term 2021)  2021
2,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2021)  2021
3,NWH686L - Pract II: Women's Hlth Care NP (Spring Term 2021)  2021
4,NWH686L - Pract II: Women's Hlth Care NP (Spring Term 2021)  2021
5,NUR612 - Advanced Pathophysiology (Fall Term 2020)  2020
6,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2020)  2020
7,NWH686L - Pract II: Women's Hlth Care NP (Spring Term 2020)  2020
8,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2019)  2019
9,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2019)  2019
10,NWH686L - Pract II: Women's Hlth Care NP (Summer Term 2018)  2018
11,NUR606 - Translating Evidence into Prac (Spring Term 2018)  2018
12,NUR606 - Translating Evidence into Prac (Fall Term 2017)  2017
13,NWH692L - Resid: Women's Health Care NP (Fall Term 2017)  2017
14,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2017)  2017
15,NWH686L - Pract II: Women's Hlth Care NP (Summer Term 2017)  2017
16,NUR606 - Translating Evidence into Prac (Spring Term 2017)  2017
17,NUR606 - Translating Evidence into Prac (Fall Term 2016)  2016
18,NWH692L - Resid: Women's Health Care NP (Fall Term 2016)  2016
19,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2016)  2016
20,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2016)  2016
21,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2016)  2016
22,NUR614 - Assess Diag Reasoning APN Prac (Spring Term 2016)  2016
23,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2015)  2015
24,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2015)  2015
25,NWH685L - Pract I:  Women's Hlth Care NP (Spring Term 2015)  2015
