,Teaching Activities
0,NUR427L - Concepts of Complex Nur Pract (Fall Term 2020)  2020
1,NUR427L - Concepts of Complex Nur Pract (Spring Term 2020)  2020
2,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
3,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
4,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2018)  2018
5,NUR527L - Nursing Practicum w/ Adults I (Spring Term 2018)  2018
6,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2017)  2017
7,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2017)  2017
8,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2017)  2017
9,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2016)  2016
