,Teaching Activities
0,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2021)  2021
1,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2021)  2021
2,NUR551L - Vulnerable Pop Practicum (Fall Term 2020)  2020
3,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2020)  2020
4,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2020)  2020
5,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2019)  2019
6,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2019)  2019
7,NUR551L - Vulnerable Pop Practicum (Fall Term 2019)  2019
8,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2019)  2019
9,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2019)  2019
10,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2018)  2018
11,NUR551L - Vulnerable Pop Practicum (Fall Term 2018)  2018
12,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2018)  2018
13,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2018)  2018
14,NUR510L - Clinical Practice Communities (Fall Term 2017)  2017
15,NUR516L - Clin Practice Psych-Mental Hlt (Fall Term 2017)  2017
16,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Summer Term 2017)  2017
17,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Spring Term 2017)  2017
18,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2016)  2016
19,NUR516L - Clin Practice Psych-Mental Hlt (Fall Term 2016)  2016
20,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2016)  2016
21,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2016)  2016
22,NUR312L - Health Assess Across Lifespan (Fall Term 2015)  2015
23,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2015)  2015
24,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2015)  2015
25,NUR510L - Clinical Practice Communities (Summer Term 2015)  2015
26,NUR312L - Health Assess Across Lifespan (Spring Term 2015)  2015
27,NUR323L - Concepts Behav Health Nur Prac (Spring Term 2015)  2015
28,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Spring Term 2015)  2015
29,NUR312L - Health Assess Across Lifespan (Fall Term 2014)  2014
30,NUR429L - Cncpts Comm/Publ Hlth Nur Prac (Fall Term 2014)  2014
31,NUR510L - Clinical Practice Communities (Fall Term 2014)  2014
32,NUR323L - Concepts Behav Health Nur Prac (Summer Term 2014)  2014
33,NUR516L - Clin Practice Psych-Mental Hlt (Summer Term 2014)  2014
34,NUR311L - Nursing Skills Development I (Spring Term 2014)  2014
35,NUR312L - Health Assess Across Lifespan (Spring Term 2014)  2014
