,Year,Title,Altmetric
0,2021,Molecular speciation of size fractionated particulate water-soluble organic carbon by two-dimensional nuclear magnetic resonance (NMR) spectroscopy. International Journal of Environmental Research and Public Health. 18:1-19.  2021  10.3390/ijerph18031334,
1,2020,Functional characterization of flavorings in electronic cigarette refill liquids by nuclear magnetic resonance spectroscopy  2020  10.1039/c9ay02147g,
2,2019,Nuclear magnetic resonance characterization of water soluble organic carbon of atmospheric aerosol types  2019  10.1177/1934578X19849972,
3,2018,Characterization of paint dust aerosol generated from mechanical abrasion of TiO2-containing paints  2018  10.1080/15459624.2018.1484126,
4,2017,"Dose-response analysis of epigenetic, metabolic, and apical endpoints after short-term exposure to experimental hepatotoxicants. Food and Chemical Toxicology. 109:690-702.  2017  10.1016/j.fct.2017.05.013",
5,2017,Influence of ambient temperature on the heterogeneity of ambient fine particle chemical composition and disease prevalence. International Journal of Environmental Health Research. 27:27-39.  2017  10.1080/09603123.2016.1257704,
6,2017,Synergistic effects of engineered nanoparticles and organics released from laser printers using nano-enabled toners: Potential health implications from exposures to the emitted organic aerosol. Environmental Science: Nano. 4:2144-2156.  2017  10.1039/c7en00573c,
7,2016,Analysis of the ambient particulate matter-induced chromosomal aberrations using an in vitro system. Journal of Visualized Experiments. 2016.  2016  10.3791/54969,
8,2016,Multiyear analyses of ground-level air contaminants over Paris metropolitan region using real-time observations and air mass backward trajectories  2016  10.1016/j.partic.2015.10.005,
9,2016,Thermal decomposition of nano-enabled thermoplastics: Possible environmental health and safety implications. Journal of Hazardous Materials. 305:87-95.  2016  10.1016/j.jhazmat.2015.11.001,
10,2016,Characterization of water-soluble organic matter in urban aerosol by 1H-NMR spectroscopy. Atmospheric Environment. 128:235-245.  2016  10.1016/j.atmosenv.2015.12.067,
11,2015,Air pollution and cardiovascular and respiratory emergency visits in Central Arkansas: A time-series analysis. Science of the Total Environment. 536:872-879.  2015  10.1016/j.scitotenv.2015.06.056,
12,2015,In vitro toxicity and epigenotoxicity of different types of ambient particulate matter. Toxicological Sciences. 148:473-487.  2015  10.1093/toxsci/kfv200,
13,2015,"Linking exposures of particles released from nano-enabled products to toxicology: An integrated methodology for particle sampling, extraction, dispersion, and dosing. Toxicological Sciences. 146:321-333.  2015  10.1093/toxsci/kfv095",
14,2015,Response of transposable elements to environmental stressors  2015  10.1016/j.mrrev.2015.05.003,
15,2015,An integrated methodology for the assessment of environmental health implications during thermal decomposition of nano-enabled products. Environmental Science: Nano. 2:262-272.  2015  10.1039/c4en00210e,
16,2015,UVA and cutaneous melanoma incidences: Spatial patterns and communities at risk. Journal of Environmental Health. 77:8-14.  2015,
17,2015,Erratum: Nuclear magnetic resonance spectroscopy for determining the functional content of organic aerosols: A review (Environ. Pollut. (2014) 191 (232-249)). Environmental Pollution. 196:479.  2015  10.1016/j.envpol.2014.10.017,
18,2014,"Trends of non-accidental, cardiovascular, stroke and lung cancer mortality in Arkansas are associated with ambient PM2.5 reductions. International Journal of Environmental Research and Public Health. 11:7442-7455.  2014  10.3390/ijerph110707442",
19,2014,Functional characterization of the water-soluble organic carbon of size-fractionated aerosol in the southern Mississippi Valley. Atmospheric Chemistry and Physics. 14:6075-6088.  2014  10.5194/acp-14-6075-2014,
20,2014,"Air pollution and hospital emergency room and admissions for cardiovascular and respiratory diseases in Doña Ana County, New Mexico. Environmental Research. 129:39-46.  2014  10.1016/j.envres.2013.12.006",
21,2014,Epigenetic alterations induced by ambient particulate matter in mouse macrophages. Environmental and Molecular Mutagenesis. 55:428-435.  2014  10.1002/em.21855,
22,2014,Nuclear magnetic resonance spectroscopy for determining the functional content of organic aerosols: A review. Environmental Pollution. 191:232-249.  2014  10.1016/j.envpol.2014.04.034,
23,2014,"The effect of anthropogenic volatile organic compound sources on ozone in Boise, Idaho. Environmental Chemistry. 11:445-458.  2014  10.1071/EN13150",
24,2013,NMR Analysis of the Water-Soluble Fraction of Airborne Pollen Particles. Applied Magnetic Resonance. 44:1347-1358.  2013  10.1007/s00723-013-0492-4,
25,2013,Soil humic-like organic compounds in prescribed fire emissions using nuclear magnetic resonance spectroscopy. Environmental Pollution. 181:167-171.  2013  10.1016/j.envpol.2013.06.008,
26,2013,The impact of wind on particle mass concentrations in four European urban areas. Global NEST Journal. 15.  2013,
27,2013,Assessment of the contribution of wildfires to ozone concentrations in the central US-Mexico border region. Aerosol and air quality research. 13:838-848.  2013  10.4209/aaqr.2012.08.0232,
28,2013,"Sources, trends and regional impacts of fine particulate matter in southern Mississippi valley: Significance of emissions from sources in the Gulf of Mexico coast. Atmospheric Chemistry and Physics. 13:3721-3732.  2013  10.5194/acp-13-3721-2013",
29,2013,Quantification of environmental tobacco smoke contribution on outdoor particulate aliphatic and polycyclic aromatic hydrocarbons. Archives of Environmental Contamination and Toxicology. 64:347-356.  2013  10.1007/s00244-012-9844-6,
30,2013,Quantitative determination of regional contributions to fine and coarse particle mass in urban receptor sites. Environmental Pollution. 176:1-9.  2013  10.1016/j.envpol.2013.01.004,
31,2013,Spatial attribution of sulfate and dust aerosol sources in an urban area using receptor modeling coupled with Lagrangian trajectories. Atmospheric Pollution Research. 4:346-353.  2013  10.5094/APR.2013.039,
32,2012,Environmental tobacco smoke aerosol in non-smoking households of patients with chronic respiratory diseases. Atmospheric Environment. 62:82-88.  2012  10.1016/j.atmosenv.2012.07.086,
33,2012,Effects of smoking on the levels of urinary biomarkers of aromatic hydrocarbons in oil refinery workers. Stochastic Environmental Research and Risk Assessment. 26:731-738.  2012  10.1007/s00477-011-0554-9,
34,2012,"Synthesis, RNA binding and nuclease activity of porphyrin-hydroxamic acid derivatives. Journal of Porphyrins and Phthalocyanines. 16:997-1005.  2012  10.1142/S1088424612501088",
35,2011,DNA-Interaction and nuclease activity of porphyrin-hydroxamic acid derivatives in the presence of lanthanides. Journal of Porphyrins and Phthalocyanines. 15:704-717.  2011  10.1142/S1088424611003665,
36,2011,Temporal variations of atmospheric aerosol in four European urban areas. Environmental Science and Pollution Research. 18:1202-1212.  2011  10.1007/s11356-011-0471-y,
37,2010,Ambient air pollution and respiratory health effects in mail carriers. Environmental Research. 110:278-285.  2010  10.1016/j.envres.2009.11.002,
38,2007,Performance of a high-volume cascade impactor in six European urban environments: Mass measurement and chemical characterization of size-segregated particulate samples. Science of the Total Environment. 374:297-310.  2007  10.1016/j.scitotenv.2007.01.002,
39,2007,Dependence of home outdoor particulate mass and number concentrations on residential and traffic features in urban areas. Journal of the Air and Waste Management Association. 57:1507-1517.  2007  10.3155/1047-3289.57.12.1507,
40,2006,Chemical composition and mass closure of particulate matter at six urban sites in Europe. Atmospheric Environment. 40:212-223.  2006  10.1016/j.atmosenv.2006.01.063,
41,2006,Particulate polycyclic aromatic hydrocarbons and n-alkanes in recycled paper processing operations. Journal of Hazardous Materials. 137:742-751.  2006  10.1016/j.jhazmat.2006.04.003,
42,2003,"Bis[(3,5-dimethylpyrazol-1-yl)ethyl] disulfide  2003  10.1107/S1600536803002289",
43,2003,"Structure and electronic properties of [Ni(dsdm){Fe(CO)3}2], an unusual, triangular nickel diiron compound. European Journal of Inorganic Chemistry. 453-457.  2003  10.1002/ejic.200390064",
44,1998,Temperature and pH Dependence XAFS Study of Gd(DOTA)- and Gd(DTPA)2- Complexes: Solid State and Solution Structures  1998  10.1021/ic9707321,
45,1997,Temperature and pH dependence of Gd-DOTA and Gd-DTPA complexes dissociation studied by EXAFS  1997  10.1051/jp4/1997127,
