,Year,Title,Altmetric
0,2018,Systematic reanalysis of genomic data improves quality of variant interpretation  2018  10.1111/cge.13259,
1,2018,"Truncating Variants in NAA15 Are Associated with Variable Levels of Intellectual Disability, Autism Spectrum Disorder, and Congenital Anomalies. American Journal of Human Genetics. 102:985-994.  2018  10.1016/j.ajhg.2018.03.004",
2,2018,Discovery and validation of circulating biomarkers of colorectal adenoma by high-depth small RNA sequencing. Clinical Cancer Research. 24:2092-2099.  2018  10.1158/1078-0432.CCR-17-1960,
3,2017,A genome-wide interactome of DNA-associated proteins in the human liver  2017  10.1101/gr.222083.117,
4,2017,MYT1L mutations cause intellectual disability and variable obesity by dysregulating gene expression and development of the neuroendocrine hypothalamus. PLoS Genetics. 13.  2017  10.1371/journal.pgen.1006957,
5,2017,Genomic diagnosis for children with intellectual disability and/or developmental delay  2017  10.1186/s13073-017-0433-1,
6,2017,Eliciting preferences on secondary findings: The Preferences Instrument for Genomic Secondary Results. Genetics in Medicine. 19:337-344.  2017  10.1038/gim.2016.110,
7,2017,"Mutations in EBF3 Disturb Transcriptional Profiles and Cause Intellectual Disability, Ataxia, and Facial Dysmorphism. American Journal of Human Genetics. 100:117-127.  2017  10.1016/j.ajhg.2016.11.012",
8,2016,De novo FGF12 mutation in 2 patients with neonatal-onset epilepsy. Neurology Genetics. 2.  2016  10.1212/NXG.0000000000000120,
9,2016,Germline and somatic mutations in the MTOR gene in focal cortical dysplasia and epilepsy. Neurology Genetics. 2.  2016  10.1212/NXG.0000000000000118,
10,2008,Mapping and sequencing of structural variation from eight human genomes.. Nature. 453:56-64.  2008  10.1038/nature06862,
11,2008,A recurrent 15q13.3 microdeletion syndrome associated with mental retardation and seizures. Nature Genetics. 40:322-328.  2008  10.1038/ng.93,
12,2008,Closing gaps in the human genome with fosmid resources generated from multiple individuals.. Nature Genetics. 40:96-101.  2008  10.1038/ng.2007.34,
13,2007,Mammalian comparative sequence analysis of the Agrp locus. PLoS ONE. 2.  2007  10.1371/journal.pone.0000702,
