,Year,Title,Altmetric
0,2015,Low-dose 17-β-estradiol cream for vaginal atrophy in a cohort without prolapse: Serum levels and vaginal response including tissue biomarkers associated with tissue remodeling. Maturitas. 81:475-479.  2015  10.1016/j.maturitas.2015.05.010,
1,2014,Development of adrenal cortical zonation and expression of key elements of adrenal androgen production in the chimpanzee (Pan troglodytes) from birth to adulthood. Molecular and Cellular Endocrinology. 387:35-43.  2014  10.1016/j.mce.2014.02.010,
2,2014,Development of monoclonal antibodies against human CYP11B1 and CYP11B2.. Molecular and Cellular Endocrinology. 383:111-117.  2014  10.1016/j.mce.2013.11.022,
3,2011,Differential gene expression in the adrenals of normal and anencephalic fetuses and studies focused on the fras-1-related extracellular matrix protein (FREM2) gene  2011  10.1177/1933719111408113,
4,2010,ACTH is a potent regulator of gene expression in human adrenal cells. Journal of Molecular Endocrinology. 45:59-68.  2010  10.1677/JME-10-0006,
5,2009,Relation of glucose control in diabetic pregnancy to fetal cholesterol homeostasis.  2009  10.1080/14767050802491547,
6,2008,Intrapartum stress and lipid status of term infants: relation to fetal adrenal production of dehydroepiandrosterone sulphate.  2008  10.1080/14767050802353564,
7,2005,Effects of aging on cytochrome B5 expression in the human adrenal gland. Journal of Clinical Endocrinology and Metabolism. 90:4357-4361.  2005  10.1210/jc.2005-0017,
8,2004,Adrenal androgens and aging.. Seminars in Reproductive Medicine. 22:361-368.  2004  10.1055/s-2004-861552,
9,2004,Adrenal androgens and the immune system. Seminars in Reproductive Medicine. 22:369-377.  2004  10.1055/s-2004-861553,
10,2004,Effects of anencephaly on adrenocortical cell proliferation.. Endocrine Research. 30:527.  2004,
11,2004,Is reduced cell size the mechanism for shrinkage of the adrenal zona reticularis in aging?. Endocrine Research. 30:529-534.  2004  10.1081/erc-200043617,
12,2004,Ontogeny of cytochrome B5 and cytochrome P450 C17 in the human fetal adrenal gland during normal development.. Endocrine Research. 30:541-542.  2004  10.1081/erc-200043621,
13,2004,Biopsychological markers of distress in informal caregivers. Biological Research for Nursing. 6:90-99.  2004  10.1177/1099800404267353,
14,2004,Colocalization of P450c17 and cytochrome b5 in androgen-synthesizing tissues of the human. Biology of Reproduction. 71:83-88.  2004  10.1095/biolreprod.103.026732,
15,2003,Macrophage migration inhibitory factor is a constitutively expressed cytokine in the human adrenal gland  2003  10.1080/1521654031000106672,
16,2001,Adrenocortical secretion of dehydroepiandrosterone in healthy women: highly variable response to adrenocorticotropin.. Journal of Clinical Endocrinology and Metabolism. 86:2513-2517.  2001  10.1210/jcem.86.6.7587,
17,2000,Effects of aging on adrenal function in the human: Responsiveness and sensitivity of adrenal androgens and cortisol to adrenocorticotropin in premenopausal and postmenopausal women. Journal of Clinical Endocrinology and Metabolism. 85:48-54.  2000  10.1210/jc.85.1.48,
18,2000,Umbilical cord serum levels of thromboxane B2 in term infants of women who participated in a placebo-controlled trial of low-dose aspirin. Journal of Maternal-Fetal Medicine. 9:209-215.  2000  10.1002/1520-6661(200007/08)9:4<209::AID-MFM4>3.0.CO;2-S,
19,1999,Corticotropin-releasing hormone stimulates steroidogenesis in cultured human adrenal cells.. Molecular and Cellular Endocrinology. 155:19-25.  1999  10.1016/s0303-7207(99)00118-5,
20,1999,Dehydroepiandrosterone and dehydroepiandrosterone sulfate production in the human adrenal during development and aging.. Steroids. 64:640-647.  1999  10.1016/s0039-128x(99)00046-x,
21,1999,Developmental changes in molecular forms of immunoreactive adrenocorticotropin in the anterior pituitary gland of humans.. Endocrine Research. 25:397-410.  1999  10.1080/07435809909066156,
22,1999,Effects of maternal infections on fetal adrenal steroid production. Endocrine Research. 25:239-249.  1999  10.1080/07435809909066145,
23,1998,"The effect of 17β-estradiol on adrenocortical sensitivity, responsiveness, and steroidogenesis in postmenopausal women. Journal of Clinical Endocrinology and Metabolism. 83:519-524.  1998  10.1210/jc.83.2.519",
24,1998,"The effects of dehydroepiandrosterone (DHEA) on the thymus, spleen, and adrenals of prepubertal and adult female rats.. Endocrine Research. 24:113-126.  1998  10.1080/07435809809135522",
25,1998,Effects of ACTH and cytokines on dehydroepiandrosterone sulfotransferase messenger RNA in human adrenal cells. Endocrine Research. 24:669-673.  1998  10.3109/07435809809032668,
26,1997,Expression and Subcellular Distribution of the β-Isoform of the Human Glucocorticoid Receptor.. Endocrinology. 138:5028-5038.  1997  10.1210/endo.138.11.5501,
27,1997,Aging alters zonation in the adrenal cortex of men. Journal of Clinical Endocrinology and Metabolism. 82:3898-3901.  1997  10.1210/jcem.82.11.4507,
