,Teaching Activities
0,HB798 - Doctoral-Level Directed Res (Spring Term 2015)  2015
1,HB798 - Doctoral-Level Directed Res (Fall Term 2014)  2014
2,HB798 - Doctoral-Level Directed Res (Summer Term 2014)  2014
3,HB697 - Internship (Summer Term 2014)  2014
4,HB697 - Internship (Spring Term 2014)  2014
5,HB798 - Doctoral-Level Directed Res (Spring Term 2014)  2014
6,HB798 - Doctoral-Level Directed Res (Fall Term 2013)  2013
7,HB799 - Doctoral Dissertation Research (Summer Term 2013)  2013
8,HB697 - Internship (Summer Term 2013)  2013
9,HB799 - Doctoral Dissertation Research (Spring Term 2013)  2013
10,HB799 - Doctoral Dissertation Research (Fall Term 2012)  2012
11,HB798 - Doctoral-Level Directed Res (Summer Term 2012)  2012
12,HB697 - Internship (Spring Term 2012)  2012
13,HB798 - Doctoral-Level Directed Res (Spring Term 2012)  2012
14,HB798 - Doctoral-Level Directed Res (Fall Term 2011)  2011
15,HB697 - Internship (Summer Term 2011)  2011
16,HB699 - MR Level Proj Res Health Educ (Spring Term 2011)  2011
17,HB697 - Internship (Fall Term 2010)  2010
