,Year,Title,Altmetric
0,2020,Tranexamic acid administration in the field does not affect admission thromboelastography after traumatic brain injury. Journal of Trauma and Acute Care Surgery. 89:900-907.  2020  10.1097/TA.0000000000002932,
1,2020,Effect of Out-of-Hospital Tranexamic Acid vs Placebo on 6-Month Functional Neurologic Outcomes in Patients with Moderate or Severe Traumatic Brain Injury  2020  10.1001/jama.2020.8958,
2,2019,Older Blood Is Associated With Increased Mortality and Adverse Events in Massively Transfused Trauma Patients: Secondary Analysis of the PROPPR Trial. Annals of Emergency Medicine. 73:650-661.  2019  10.1016/j.annemergmed.2018.09.033,
3,2018,"Elevated Syndecan-1 after Trauma and Risk of Sepsis: A Secondary Analysis of Patients from the Pragmatic, Randomized Optimal Platelet and Plasma Ratios (PROPPR) Trial. Journal of The American College of Surgeons. 227:587-595.  2018  10.1016/j.jamcollsurg.2018.09.003",
4,2018,"Platelet transfusions improve hemostasis and survival in a substudy of the prospective, randomized PROPPR trial. Blood Advances. 2:1696-1704.  2018  10.1182/bloodadvances.2018017699",
5,2018,Abnormalities of laboratory coagulation tests versus clinically evident coagulopathic bleeding: results from the prehospital resuscitation on helicopters study (PROHS). Surgery. 163:819-826.  2018  10.1016/j.surg.2017.10.050,
6,2017,Multicenter observational prehospital resuscitation on helicopter study. Journal of Trauma and Acute Care Surgery. 83:S83-S91.  2017  10.1097/TA.0000000000001484,
7,2016,Using social media for community consultation and public disclosure in exception from informed consent trials. Journal of Trauma and Acute Care Surgery. 80:1005-1009.  2016  10.1097/TA.0000000000001042,
8,2016,Damage-control resuscitation and emergency laparotomy: Findings from the PROPPR study. Journal of Trauma and Acute Care Surgery. 80:568-575.  2016  10.1097/TA.0000000000000960,
9,2015,A controlled resuscitation strategy is feasible and safe in hypotensive trauma patients: Results of a prospective randomized pilot trial. Journal of Trauma and Acute Care Surgery. 78:687-697.  2015  10.1097/TA.0000000000000600,
10,2013,Preliminary experience with social media for community consultation and public disclosure in exception from informed consent trials. Circulation. 128:267-270.  2013  10.1161/CIRCULATIONAHA.113.002390,
11,2010,Out-of-hospital hypertonic resuscitation following severe traumatic brain injury: A randomized controlled trial  2010  10.1001/jama.2010.1405,
12,2009,Is the enrollment of racial and ethnic minorities in research in the emergency setting equitable?. Resuscitation. 80:644-649.  2009  10.1016/j.resuscitation.2009.03.015,
13,2009,Efficacy of esomeprazole for treatment of poorly controlled asthma. New England Journal of Medicine. 360:1487-1499.  2009  10.1056/NEJMoa0806290,
14,2008,"The Resuscitation Outcomes Consortium Epistry-Trauma: Design, development, and implementation of a North American Epidemiologic Prehospital Trauma Registry. Resuscitation. 78:170-178.  2008  10.1016/j.resuscitation.2008.01.029",
15,1989,Peanut protein as a major cause of adverse food reactions in patients with atopic dermatitis. Allergy Proceedings. 10:265-269.  1989  10.2500/108854189778960045,
