,Teaching Activities
0,NUR447L - Synthesis and Assim Practicum (Summer Term 2021)  2021
1,NUR447L - Synthesis and Assim Practicum (Spring Term 2021)  2021
2,NUR447L - Synthesis and Assim Practicum (Spring Term 2021)  2021
3,NUR558L - Synthesis and Role Immersion (Fall Term 2020)  2020
4,NUR447L - Synthesis and Assim Practicum (Spring Term 2020)  2020
5,NUR547L - Nursing Prac Adults III (Fall Term 2019)  2019
6,NUR547L - Nursing Prac Adults III (Fall Term 2019)  2019
7,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2019)  2019
8,NUR447L - Synthesis and Assim Practicum (Summer Term 2019)  2019
9,NUR447L - Synthesis and Assim Practicum (Spring Term 2019)  2019
10,NUR547L - Nursing Prac Adults III (Fall Term 2018)  2018
11,NUR447L - Synthesis and Assim Practicum (Spring Term 2018)  2018
12,NUR447L - Synthesis and Assim Practicum (Spring Term 2017)  2017
13,NUR447L - Synthesis and Assim Practicum (Spring Term 2016)  2016
14,NUR447L - Synthesis and Assim Practicum (Summer Term 2015)  2015
15,NUR447L - Synthesis and Assim Practicum (Spring Term 2015)  2015
