,Investigator On
0,HHSN27200003 Task Area 2 Task Order 1 - Clinical Trial Implementation-DMID (STI CTG)  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
1,JCDH Contract No: DC-29  awarded by  JEFFERSON COUNTY DEPARTMENT OF HEALTH
2,JCDH Contract No: DC-29  awarded by  JEFFERSON COUNTY DEPARTMENT OF HEALTH
3,Midcareer Mentoring Award for Patient-Oriented Research in Chlamydia Trachomatis Infection  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
4,Private Grant  awarded by  BIOHELIX CORPORATION
5,"Private Grant  awarded by  RHEONIX, INC."
6,Private Grant  awarded by  CURATEK PHARMACEUTICALS
7,"Private Grant  awarded by  SYMBIOMIX THERAPEUTICS, LLC"
8,"Private Grant  awarded by  BECKMAN COULTER, INC."
9,Private Grant  awarded by  FLORA BIOSCIENCE
10,Private Grant  awarded by  QUIDEL CORPORATION
11,"Private Grant  awarded by  HOLOGIC, INC."
12,Private Grant  awarded by  LABORATORY CORPORATION OF AMERICA HOLDINGS
13,Private Grant  awarded by  BECTON DICKINSON AND COMPANY
14,Private Grant  awarded by  CLICK DIAGNOSTICS
15,"Private Grant  awarded by  ROCHE MOLECULAR SYSTEMS, INC."
16,Private Grant  awarded by  ATLAS GENETICS
17,Private Grant  awarded by  LUMINEX CORPORATION
18,"Private Grant  awarded by  HOLOGIC, INC."
19,"Private Grant  awarded by  ROCHE MOLECULAR SYSTEMS, INC."
20,Private Grant  awarded by  SPEEDX PTY.  LTD.
21,Private Grant  awarded by  ABBOTT MOLECULAR
22,Private Grant  awarded by  LUMINEX CORPORATION
23,Private Grant  awarded by  CEPHEID
24,Private Grant  awarded by  ABBOTT MOLECULAR
25,"Rectal and Oropharyngeal Swabs to Diagnose Gonococcal and Chlamydial Infection in Men and Women  awarded by  University of California, San Francisco"
26,Sexually Transmitted Infections Clinical Trials Group (STI CTG)  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
27,Trichomonas Vaginalis Repeat Infections Among HIV-Negative Women  awarded by  TULANE UNIVERSITY
