,Teaching Activities
0,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
1,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
2,NUR553L - Nursing Practicum Women/Child (Summer Term 2020)  2020
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2020)  2020
4,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2020)  2020
5,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
6,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
7,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2019)  2019
8,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2018)  2018
9,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2018)  2018
10,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2015)  2015
11,NWH692L - Resid: Women's Health Care NP (Spring Term 2015)  2015
12,NWH686L - Pract II: Women's Hlth Care NP (Fall Term 2014)  2014
13,NWH685L - Pract I:  Women's Hlth Care NP (Summer Term 2014)  2014
14,NWH692L - Resid: Women's Health Care NP (Spring Term 2014)  2014
15,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2013)  2013
16,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2013)  2013
17,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2012)  2012
18,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2012)  2012
19,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2012)  2012
