,Year,Title,Altmetric
0,2019,A cross sectional study evaluating psychosocial job stress and health risk in emergency department nurses. International Journal of Environmental Research and Public Health. 16.  2019  10.3390/ijerph16183243,
1,2016,Combinatorial Effects of COREXIT 9500A and Temperature Stressors on Embryo Development in the Zebrafish Danio rerio. Journal of the Alabama Academy of Science. 87:119-130.  2016,
2,2014,Reactive oxygen species and the antarctic macroalgal wound response  2014  10.1111/jpy.12127,
3,2014,Ozone inhalation modifies the rat liver proteome. Redox Biology. 2:52-60.  2014  10.1016/j.redox.2013.11.006,
4,2013,IL-8 inhibits cAMP-stimulated alveolar epithelial fluid transport via a GRK2/PI3K-dependent mechanism. The FASEB Journal. 27:1095-1106.  2013  10.1096/fj.12-219295,
5,2013,Activation of the heat shock response attenuates the interleukin 1β-mediated inhibition of the amiloride-sensitive alveolar epithelial ion transport. Shock. 39:189-196.  2013  10.1097/SHK.0b013e31827e8ea3,
6,2012,Transforming growth factor β suppresses glutamate-cysteine ligase gene expression and induces oxidative stress in a lung fibrosis model. Free Radical Biology and Medicine. 53:554-563.  2012  10.1016/j.freeradbiomed.2012.05.016,
7,2011,Susceptibility to inhaled flame-generated ultrafine soot in neonatal and adult rat lungs. Toxicological Sciences. 124:472-486.  2011  10.1093/toxsci/kfr233,
8,2010,Chronic ethanol consumption enhances sensitivity to Ca2+- mediated opening of the mitochondrial permeability transition pore and increases cyclophilin D in liver  2010  10.1152/ajpgi.00246.2010,
9,2010,Analysis of the liver mitochondrial proteome in response to ethanol and S-adenosylmethionine treatments: Novel molecular targets of disease and hepatoprotection  2010  10.1152/ajpgi.00332.2009,
10,2009,Reactive species and pulmonary edema. Expert Review of Respiratory Medicine. 3:487-496.  2009  10.1586/ers.09.41,
11,2007,Hydrogen sulfide mediates vasoactivity in an O2-dependent manner  2007  10.1152/ajpheart.01193.2006,
12,2006,Interaction of electrophilic lipid oxidation products with mitochondria in endothelial cells and formation of reactive oxygen species  2006  10.1152/ajpheart.01087.2005,
13,2006,γ-Glutamyl transpeptidase is induced by 4-hydroxynonenal via EpRE/Nrf2 signaling in rat epithelial type II cells. Free Radical Biology and Medicine. 40:1281-1292.  2006  10.1016/j.freeradbiomed.2005.11.005,
14,2005,Cell signalling by oxidized lipids and the role of reactive oxygen species in the endothelium. Biochemical Society Transactions. 33:1385-1389.  2005  10.1042/BST20051385,
15,2005,"Protective effect of L-trans-pyrrolidine-2,4-dicarboxilic acid preload against cell death induced by oxygen/glucose deprivation in differentiated PC12 cells. Journal of Neuroscience Research. 82:93-102.  2005  10.1002/jnr.20613",
16,2005,HNE increases HO-1 through activation of the ERK pathway in pulmonary epithelial cells. Free Radical Biology and Medicine. 39:355-364.  2005  10.1016/j.freeradbiomed.2005.03.026,
17,2005,Nitric oxide-induced resistance to hydrogen peroxide stress is a glutamate cysteine ligase activity-dependent process. Free Radical Biology and Medicine. 38:1361-1371.  2005  10.1016/j.freeradbiomed.2005.01.023,
