,Teaching Activities
0,ENH600Q - Fund of Environ Hlth Sciences (Summer Term 2019)  2019
1,PUH220 - Environmental Factors in PUH (Summer Term 2019)  2019
2,ENH600 - Fund of Environ Hlth Sciences (Spring Term 2019)  2019
3,ENH700 - Scientific Basis Envir Health (Spring Term 2019)  2019
4,PUH220 - Environmental Factors in PUH (Spring Term 2019)  2019
5,ENH600Q - Fund of Environ Hlth Sciences (Fall Term 2018)  2018
6,PUH220 - Environmental Factors in PUH (Fall Term 2018)  2018
7,PUH220 - Environmental Factors in PUH (Fall Term 2018)  2018
8,ENH600Q - Fund of Environ Hlth Sciences (Summer Term 2018)  2018
9,PUH220 - Environmental Factors in PUH (Summer Term 2018)  2018
10,PUH220 - Environmental Factors in PUH (Summer Term 2018)  2018
11,ENH600 - Fund of Environ Hlth Sciences (Spring Term 2018)  2018
12,ENH700 - Scientific Basis Envir Health (Spring Term 2018)  2018
13,ENH600Q - Fund of Environ Hlth Sciences (Fall Term 2017)  2017
14,ENH612Q - Asses & Mang Env Risks Online (Fall Term 2017)  2017
15,ENH600Q - Fund of Environ Hlth Sciences (Summer Term 2017)  2017
16,ENH635Q - Food and Water Based Diseases (Summer Term 2017)  2017
17,ENH697 - Internship (Summer Term 2017)  2017
18,ENH600 - Fund of Environ Hlth Sciences (Spring Term 2017)  2017
19,ENH697 - Internship (Spring Term 2017)  2017
20,ENH697Q - Internship Online (Spring Term 2017)  2017
21,ENH700 - Scientific Basis Envir Health (Spring Term 2017)  2017
22,ENH752 - Biochemical and Molecular Tox (Spring Term 2017)  2017
23,HON497 - Seminar: Public Health (Spring Term 2017)  2017
24,PUH391 - Special Topics (Spring Term 2017)  2017
25,PUH422 - Fundamentals of Toxicology (Spring Term 2017)  2017
26,PUH422 - Fundamentals of Toxicology (Spring Term 2017)  2017
27,PUH491 - Directed Study (Spring Term 2017)  2017
28,ENH600Q - Fund of Environ Hlth Sciences (Fall Term 2016)  2016
29,ENH697 - Internship (Fall Term 2016)  2016
30,ENH697Q - Internship Online (Fall Term 2016)  2016
31,HC112 - Honors Seminar Public Hlth (Fall Term 2016)  2016
32,PUH210 - Public Health Bio (Fall Term 2016)  2016
33,PUH210 - Public Health Bio (Fall Term 2016)  2016
34,PUH220 - Environmental Factors in PUH (Fall Term 2016)  2016
35,PUH220 - Environmental Factors in PUH (Fall Term 2016)  2016
36,PUH220 - Environmental Factors in PUH (Fall Term 2016)  2016
37,PUH322 - Environmental Justice (Fall Term 2016)  2016
38,PUH322 - Environmental Justice (Fall Term 2016)  2016
39,PUH333 - Food Water and Air (Fall Term 2016)  2016
40,PUH491 - Directed Study (Fall Term 2016)  2016
41,PUH491 - Directed Study (Fall Term 2016)  2016
42,ENH600 - Fund of Environ Hlth Sciences (Summer Term 2016)  2016
43,ENH697 - Internship (Summer Term 2016)  2016
44,ENH705 - Special Topics (Readings) (Summer Term 2016)  2016
45,PUH210 - Public Health Bio (Summer Term 2016)  2016
46,PUH210 - Public Health Bio (Summer Term 2016)  2016
47,PUH220 - Environmental Factors in PUH (Summer Term 2016)  2016
48,PUH220 - Environmental Factors in PUH (Summer Term 2016)  2016
49,ENH600 - Fund of Environ Hlth Sciences (Spring Term 2016)  2016
50,ENH600Q - Fund of Environ Hlth Sciences (Spring Term 2016)  2016
51,ENH650 - Env & Occup Tox & Disease (Spring Term 2016)  2016
52,ENH670Q - Fund of Occupational Safety (Spring Term 2016)  2016
53,ENH697 - Internship (Spring Term 2016)  2016
54,ENH699 - Masters Level Project Research (Spring Term 2016)  2016
55,HON498 - Seminar: Public Health (Spring Term 2016)  2016
56,PUH320 - Fundamentals of Toxicology (Spring Term 2016)  2016
57,PUH320 - Fundamentals of Toxicology (Spring Term 2016)  2016
58,PUH421 - Nature Nurture & You (Spring Term 2016)  2016
59,PUH498 - Special Topics in PUH (Spring Term 2016)  2016
60,PUH498 - Special Topics in PUH (Spring Term 2016)  2016
61,ENH611 - Env & Occup Assessment (Fall Term 2015)  2015
62,ENH611Q - ENH and Occup Exp Assmt (Fall Term 2015)  2015
