,Year,Title,Altmetric
0,2021,Improving Adherence to Intraoperative Lung-Protective Ventilation Strategies Using near Real-Time Feedback and Individualized Electronic Reporting. Anesthesia and Analgesia. 1438-1449.  2021  10.1213/ANE.0000000000005481,
1,2013,Quercetin prevents left ventricular hypertrophy in the Apo E knockout mouse. Redox Biology. 1:381-386.  2013  10.1016/j.redox.2013.07.001,
2,2011,PAI-1 is an essential component of the pulmonary host response during Pseudomonas aeruginosa pneumonia in mice. Thorax. 66:788-796.  2011  10.1136/thx.2010.155788,
3,2010,Dietary flavonoid quercetin stimulates vasorelaxation in aortic vessels. Free Radical Biology and Medicine. 49:339-347.  2010  10.1016/j.freeradbiomed.2010.04.022,
4,2009,"Alcohol in moderation, cardioprotection, and neuroprotection: Epidemiological considerations and mechanistic studies. Alcoholism: Clinical and Experimental Research. 33:206-219.  2009  10.1111/j.1530-0277.2008.00828.x",
5,2008,Mechanical circulatory device thrombosis: A new paradigm linking hypercoagulation and hypofibrinolysis. ASAIO Journal. 54:351-358.  2008  10.1097/MAT.0b013e31817f3e03,
6,2007,Decreased hepatic ischemia-reperfusion injury by manganese-porphyrin complexes. Free Radical Research. 41:127-134.  2007  10.1080/10715760600801298,
7,2007,Ethanol and red wine polyphenols induce the short-term downregulation of PAI-1 gene expression in vivo in rat aortic endothelium. Journal of the Science of Food and Agriculture. 87:1794-1798.  2007  10.1002/jsfa.2929,
8,2007,"Pharmacokinetics of once-daily tenofovir, emtricitabine, ritonavir and fosamprenavir in HIV-infected subjects. AIDS. 21:1373-1375.  2007  10.1097/QAD.0b013e328133f068",
9,2007,Mechanism by which Alcohol and Wine Polyphenols Affect Coronary Heart Disease Risk. Annals of Epidemiology. 17.  2007  10.1016/j.annepidem.2007.01.006,
10,2006,Microvascular display of xanthine oxidase and NADPH oxidase in the spontaneously hypertensive rat. Microcirculation. 13:551-566.  2006  10.1080/10739680600885152,
11,2005,Evidence of cardiovascular protection by moderate alcohol: Role of nitric oxide. Free Radical Biology and Medicine. 39:540-548.  2005  10.1016/j.freeradbiomed.2005.04.007,
12,2005,Revealing anti-inflammatory mechanisms of soy isoflavones by flow: Modulation of leukocyte-endothelial cell interactions  2005  10.1152/ajpheart.00781.2004,
13,2004,L-Arginine inhibits xanthine oxidase-dependent endothelial dysfunction in hypercholesterolemia. FEBS Letters. 561:94-98.  2004  10.1016/S0014-5793(04)00137-1,
14,2004,Peroxynitrite Inactivates Tissue Plasminogen Activator. Anesthesia and Analgesia. 98:1312-1317.  2004  10.1213/01.ANE.0000111105.38836.F6,
15,2004,Peroxynitrite decreases hemostasis in Human plasma in vitro. Anesthesia and Analgesia. 99:21-26.  2004  10.1213/01.ANE.0000116962.93953.70,
16,2003,Xanthine oxidase activity in the dexamethasone-induced hypertensive rat. Microvascular Research. 66:30-37.  2003  10.1016/S0026-2862(03)00019-0,
17,2002,Urate produced during hypoxia protects heart proteins from peroxynitrite-mediated protein nitration. Free Radical Biology and Medicine. 33:1243-1249.  2002  10.1016/S0891-5849(02)01020-1,
18,2002,Mitochondrial function in response to cardiac ischemia-reperfusion after oral treatment with quercetin. Free Radical Biology and Medicine. 32:1220-1228.  2002  10.1016/S0891-5849(02)00839-0,
19,2002,Iron regulates xanthine oxidase activity in the lung  2002  10.1152/ajplung.00413.2000,
20,2001,Oxygen radical inhibition of nitric oxide-dependent vascular function in sickle cell disease  2001  10.1073/pnas.221292098,
21,2001,Antioxidant mechanisms of isoflavones in lipid systems: Paradoxical effects of peroxyl radical scavenging. Free Radical Biology and Medicine. 31:1570-1581.  2001  10.1016/S0891-5849(01)00737-7,
22,2001,Endothelial dysfunction is induced by proinflammatory oxidant hypochlorous acid.  2001  10.1152/ajpheart.2001.281.4.H1469,
23,2001,L-Arginine Chlorination Products Inhibit Endothelial Nitric Oxide Production. Journal of Biological Chemistry. 276:27159-27165.  2001  10.1074/jbc.M100191200,
24,2001,Endothelial dysfunction is induced by proinflammatory oxidant hypochlorous acid  2001  10.1152/ajpheart.2001.281.4.h1469,
25,2001,Enhanced antioxidant activity after chlorination of quercetin by hypochlorous acid. Alcoholism: Clinical and Experimental Research. 25:434-443.  2001  10.1111/j.1530-0277.2001.tb02232.x,
26,2001,Formation of novel bioactive metabolites from the reactions of pro-inflammatory oxidants with polyphenolics. BioFactors. 15:79-81.  2001  10.1002/biof.5520150205,
27,2001,Increased sensitivity of mitochondrial respiration to inhibition by nitric oxide in cardiac hypertrophy. Journal of Molecular and Cellular Cardiology. 33:69-82.  2001  10.1006/jmcc.2000.1276,
28,2001,Moderate wine and alcohol consumption: Beneficial effects on cardiovascular disease. Thrombosis and Haemostasis. 86:517-528.  2001  10.1055/s-0037-1616080,
29,2000,Evaluation of low-dose endotoxin administration during pregnancy as a model of preeclampsia. Anesthesiology. 93:1446-1455.  2000  10.1097/00000542-200012000-00017,
30,1999,Binding of xanthine oxidase to vascular endothelium: Kinetic characterization and oxidative impairment of nitric oxide-dependent signaling. Journal of Biological Chemistry. 274:4985-4994.  1999  10.1074/jbc.274.8.4985,
31,1999,A mechanism of oxygen free radical production in the Dahl hypertensive rat. Microcirculation. 6:179-187.  1999  10.1111/j.1549-8719.1999.tb00100.x,
32,1999,Increased injury following intermittent fetal hypoxia-reoxygenation is associated with increased free radical production in fetal rabbit brain. Journal of Neuropathology and Experimental Neurology. 58:972-981.  1999  10.1097/00005072-199909000-00007,
