,Year,Title,Altmetric
0,2021.0,Effects of different types of augmented feedback on intrinsic motivation and walking speed performance in post-stroke: A study protocol. Contemporary Clinical Trials Communications. 24.  2021  10.1016/j.conctc.2021.100863,
1,2020.0,Comparison of Resistance-Based Walking Cardiorespiratory Test to the Bruce Protocol. Journal of Strength and Conditioning Research. 34:3569-3576.  2020  10.1519/JSC.0000000000002263,
2,2020.0,"A graded exposure, locomotion-enabled virtual reality app during walking and reaching for individuals with chronic low back pain: Cohort gaming design. JMIR Serious Games. 8.  2020  10.2196/17799",
3,2019.0,Fore-aft resistance applied at the center of mass using a novel robotic interface proportionately increases propulsive force generation in healthy nonimpaired individuals walking at a constant speed. Journal of NeuroEngineering and Rehabilitation. 16.  2019  10.1186/s12984-019-0577-x,
4,2019.0,Dynamic stability during increased walking speeds is related to balance confidence of older adults: a pilot study. Gait and Posture. 73:86-92.  2019  10.1016/j.gaitpost.2019.06.018,
5,2018.0,Walking and balance outcomes for stroke survivors: A randomized clinical trial comparing body-weight-supported treadmill training with versus without challenging mobility skills. Journal of NeuroEngineering and Rehabilitation. 15.  2018  10.1186/s12984-018-0442-3,
6,2018.0,Effect of forward-directed aiding force on gait mechanics in healthy young adults while walking faster. Gait and Posture. 64:12-17.  2018  10.1016/j.gaitpost.2018.05.018,
7,2018.0,Visual feedback during pedaling allows individuals poststroke to alter inappropriately prolonged paretic vastus medialis activity. Journal of Neurophysiology. 119:2334-2346.  2018  10.1152/JN.00256.2017,
8,2018.0,A challenge-based approach to body weight-supported treadmill training poststroke: Protocol for a randomized controlled trial. Journal of Medical Internet Research. 20.  2018  10.2196/resprot.9308,
9,2018.0,Minimizing postural demands of walking while still emphasizing locomotor force generation for nonimpaired individuals. IEEE Transactions on Neural Systems and Rehabilitation Engineering. 26:1003-1010.  2018  10.1109/TNSRE.2018.2810701,
10,2018.0,White Paper: Movement System Diagnoses in Neurologic Physical Therapy. Journal of Neurologic Physical Therapy. 42:110-117.  2018  10.1097/NPT.0000000000000215,
11,2018.0,Step-by-step variability of swing phase trajectory area during steady state walking at a range of speeds. PLoS ONE. 13.  2018  10.1371/journal.pone.0191247,
12,2016.0,"Collaborative robotic biomechanical interactions and gait adjustments in young, non-impaired individuals. Journal of NeuroEngineering and Rehabilitation. 13.  2016  10.1186/s12984-016-0166-1",
13,2016.0,"Speed and Incline-Based Vs Resistance-Based Treadmill Walking Tests for Determining Cardiorespiratory Fitness: 2451 June 3, 10: 45 AM - 11: 00 AM.. Medicine and Science in Sports and Exercise. 48:673.  2016  10.1249/01.mss.0000487020.84069.9f",
