,Teaching Activities
0,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2020)  2020
1,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2020)  2020
2,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2019)  2019
3,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2019)  2019
4,NAH692L - Residency: Adult/Gero NP (Summer Term 2018)  2018
5,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2018)  2018
6,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2017)  2017
7,NAH692L - Residency: Adult/Gero NP (Summer Term 2017)  2017
8,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2017)  2017
9,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2016)  2016
10,NAH692L - Residency: Adult/Gero NP (Summer Term 2016)  2016
11,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2016)  2016
12,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2016)  2016
13,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2015)  2015
14,NAH692L - Residency: Adult/Gero NP (Summer Term 2015)  2015
15,NAH692L - Residency: Adult/Gero NP (Summer Term 2015)  2015
16,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2015)  2015
17,NAH686L - Practicum II: Adult/Gero NP (Spring Term 2015)  2015
18,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2015)  2015
19,NAH692L - Residency: Adult/Gero NP (Fall Term 2014)  2014
20,NAH686L - Practicum II: Adult/Gero NP (Summer Term 2014)  2014
21,NAH685L - Prac I: Adult/Gero Nurse Pract (Spring Term 2014)  2014
22,NAH692L - Residency: Adult/Gero NP (Fall Term 2013)  2013
23,NAH686L - Practicum II Adult Nurse Pract (Summer Term 2013)  2013
24,NGN686L - Practicum II: Gero Nurse Pract (Summer Term 2013)  2013
25,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
26,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2013)  2013
27,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
28,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
29,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
30,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
31,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
32,NGN630 - Adv Prac Gerontology Nur (Spring Term 2013)  2013
33,NGN685L - Practicum I: Gero Nurse Pract (Spring Term 2013)  2013
34,NAH692L - Residency:Adult Nurse Pract (Fall Term 2012)  2012
35,NUR436L - Nurs of the Adult Practicum (Fall Term 2012)  2012
36,NAH686L - Practicum II Adult Nurse Pract (Summer Term 2012)  2012
37,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2012)  2012
38,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2012)  2012
39,NAH692L - Residency:Adult Nurse Pract (Fall Term 2011)  2011
40,NAH686L - Practicum II Adult Nurse Pract (Summer Term 2011)  2011
41,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2011)  2011
42,NAH685L - Practicum I Adult Nurse Pract (Spring Term 2011)  2011
43,NAH692L - Residency:Adult Nurse Pract (Fall Term 2010)  2010
44,NAH692L - Residency:Adult Nurse Pract (Fall Term 2010)  2010
45,NAH692L - Residency:Adult Nurse Pract (Fall Term 2010)  2010
