,Year,Title,Altmetric
0,2018,Survival After an ICU Hospitalization for Pulmonary Hypertension. Chest. 154:229-231.  2018  10.1016/j.chest.2018.03.028,
1,2018,Distal airway microbiome is associated with immunoregulatory myeloid cell responses in lung transplant recipients  2018  10.1016/j.healun.2017.07.007,
2,2016,Use of a novel pulmonary artery cannula to provide extracorporeal membrane oxygenation as a bridge to lung transplantation  2016  10.1016/j.healun.2016.05.016,
3,2016,Flexible bronchoscopy is safe and effective in adult subjects supported with extracorporeal membrane oxygenation  2016  10.4187/respcare.04456,
4,2016,Automated rotational percussion bed and bronchoscopy improves respiratory mechanics and oxygenation in ARDS patients supported with extracorporeal membrane oxygenation. ASAIO Journal. 62:e27-e29.  2016  10.1097/MAT.0000000000000341,
5,2016,Discussion. Journal of Trauma and Acute Care Surgery. 81:241-243.  2016  10.1097/TA.0000000000001068,
6,2016,Extracorporeal membrane oxygenation in adults: A practical guide for internists. Cleveland Clinic Journal of Medicine. 83:373-384.  2016  10.3949/ccjm.83a.15021,
7,2015,Use of ECMO in the management of severe acute respiratory distress syndrome: A survey of academic medical centers in the United States. ASAIO Journal. 61:556-563.  2015  10.1097/MAT.0000000000000245,
8,2015,Unexplained hemolysis in patients undergoing ECMO: Beware of hypertriglyceridemia. Perfusion. 30:465-468.  2015  10.1177/0267659114557693,
9,2015,Modern use of extracorporeal life support in pregnancy and postpartum. ASAIO Journal. 61:110-114.  2015  10.1097/MAT.0000000000000154,
10,2015,Successful treatment of severe carbon monoxide poisoning and refractory shock using extracorporeal membrane oxygenation  2015  10.4187/respcare.03990,
11,2014,Extracorporeal membrane oxygenation for acute respiratory failure in adults: The need for pulmonary INTERMACS. American Journal of Respiratory and Critical Care Medicine. 190:1321-1322.  2014  10.1164/rccm.201408-1569LE,
12,2014,Characteristics of patients with pulmonary venoocclusive disease awaiting transplantation. Annals of the American Thoracic Society. 11:1411-1418.  2014  10.1513/AnnalsATS.201408-354OC,
13,2014,Influence of sex on chronic obstructive pulmonary disease risk and treatment outcomes  2014  10.2147/COPD.S54476,
14,2014,Epidemiology and prevalence of chronic obstructive pulmonary disease. Clinics in Chest Medicine. 35:7-16.  2014  10.1016/j.ccm.2013.10.002,
15,2014,Prolonged extracorporeal membrane oxygenation use as a bridge to lung transplantation: It is time for a national registry. Chest. 145:184-185.  2014  10.1378/chest.13-1851,
16,2013,How to interpret surveys in medical research: A practical approach. Cleveland Clinic Journal of Medicine. 80:423-435.  2013  10.3949/ccjm.80a.12122,
