,Teaching Activities
0,NUR737 - Interprof Ldrship Role Dev (Summer Term 2021)  2021
1,NUR738L - DNP Project Development (Summer Term 2021)  2021
2,NUR731 - Foundations for Adv Prac Nurs (Spring Term 2021)  2021
3,NUR738L - DNP Project Development (Spring Term 2021)  2021
4,NUR737 - Interprof Ldrship Role Dev (Fall Term 2020)  2020
5,NUR737 - Interprof Ldrship Role Dev (Fall Term 2020)  2020
6,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2020)  2020
7,NUR731 - Foundations for Adv Prac Nurs (Spring Term 2020)  2020
8,NUR731 - Foundations for Adv Prac Nurs (Spring Term 2020)  2020
9,NUR731 - Foundations for Adv Prac Nurs (Spring Term 2020)  2020
10,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2019)  2019
11,NUR731 - Foundations for Adv Prac Nurs (Fall Term 2019)  2019
12,NUR731 - Foundations for Adv Prac Nurs (Summer Term 2019)  2019
13,NUR606 - Translating Evidence into Prac (Spring Term 2019)  2019
14,NUR731 - Foundations for Adv Prac Nurs (Spring Term 2019)  2019
15,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2018)  2018
16,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2018)  2018
17,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2018)  2018
18,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2018)  2018
19,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2018)  2018
20,NUR745 - Foundations Scholarly Writing (Spring Term 2018)  2018
21,NUR745 - Foundations Scholarly Writing (Spring Term 2018)  2018
22,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2017)  2017
23,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2017)  2017
24,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2017)  2017
25,NUR740 - Health Policy and Politics (Fall Term 2017)  2017
26,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2017)  2017
27,NUR737 - Interdscipln Ldrship Role Dev (Summer Term 2017)  2017
28,NUR729 - EBP Design and Translation (Spring Term 2017)  2017
29,NUR729 - EBP Design and Translation (Fall Term 2016)  2016
30,NUR737 - Interdscipln Ldrship Role Dev (Fall Term 2016)  2016
31,NUR743 - EBP strategies (Summer Term 2016)  2016
32,NUR729 - EBP Design and Translation (Spring Term 2016)  2016
33,NUR729 - EBP Design and Translation (Spring Term 2016)  2016
34,NUR700 - Clinical Data Mgmt & Analysis (Fall Term 2015)  2015
35,NUR729 - EBP Design and Translation (Fall Term 2015)  2015
36,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2015)  2015
37,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2015)  2015
38,NUR729 - EBP Design and Translation (Spring Term 2015)  2015
39,NUR729 - EBP Design and Translation (Fall Term 2014)  2014
40,NUR738L - Scholarly Project Development (Fall Term 2014)  2014
41,NUR738L - Scholarly Project Development (Summer Term 2014)  2014
42,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2014)  2014
43,NUR738L - Scholarly Project Development (Spring Term 2014)  2014
44,NUR738L - Scholarly Project Development (Fall Term 2013)  2013
45,NUR738L - Scholarly Project Development (Summer Term 2013)  2013
46,NUR356L - Foundations Prof Nur Practicum (Spring Term 2013)  2013
47,NUR738L - Scholarly Project Development (Spring Term 2013)  2013
48,NUR738L - Scholarly Project Development (Spring Term 2013)  2013
49,NUR356L - Foundations Prof Nur Practicum (Fall Term 2012)  2012
50,NUR356L - Foundations Prof Nur Practicum (Spring Term 2012)  2012
51,NUR356L - Foundations Prof Nur Practicum (Fall Term 2011)  2011
52,NUR502L - Foundations Clinical Practice (Summer Term 2011)  2011
53,NUR356L - Foundations Prof Nur Practicum (Spring Term 2011)  2011
54,NUR356L - Foundations Prof Nur Practicum (Fall Term 2010)  2010
55,NUR356L - Foundations Prof Nur Practicum (Fall Term 2010)  2010
