,Teaching Activities
0,NFH692L - Residency: Family Nurs Pract (Summer Term 2021)  2021
1,NFH692L - Residency: Family Nurs Pract (Summer Term 2021)  2021
2,NFH686L - Pract II: Family Nurse Pract (Spring Term 2021)  2021
3,NFH686L - Pract II: Family Nurse Pract (Spring Term 2021)  2021
4,NFH685L - Pract I: Family Nurse Pract (Fall Term 2020)  2020
5,NFH685L - Pract I: Family Nurse Pract (Fall Term 2020)  2020
6,NFH692L - Residency: Family Nurs Pract (Summer Term 2020)  2020
7,NFH686L - Pract II: Family Nurse Pract (Spring Term 2020)  2020
8,NFH621 - Family Nurse Practitioner I (Fall Term 2019)  2019
9,NFH623 - Advanced Family Nursing III (Summer Term 2019)  2019
10,NFH622 - Family Nurse Practitioner II (Spring Term 2019)  2019
11,NFH621 - Family Nurse Practitioner I (Fall Term 2018)  2018
12,NFH623 - Advanced Family Nursing III (Summer Term 2018)  2018
13,NFH622 - Family Nurse Practitioner II (Spring Term 2018)  2018
14,NFH621 - Family Nurse Practitioner I (Fall Term 2017)  2017
15,NFH685L - Pract I: Family Nurse Pract (Fall Term 2017)  2017
16,NFH692L - Residency: Family Nurs Pract (Summer Term 2017)  2017
17,NFH686L - Pract II: Family Nurse Pract (Spring Term 2017)  2017
18,NMD621 - Adv Management Diabetes I (Spring Term 2017)  2017
19,NMD622 - Adv Management Diabetes II (Spring Term 2017)  2017
20,NMD621 - Adv Management Diabetes I (Fall Term 2016)  2016
21,NMD621 - Adv Management Diabetes I (Summer Term 2016)  2016
22,NMD622 - Adv Management Diabetes II (Summer Term 2016)  2016
23,NMD621 - Adv Management Diabetes I (Spring Term 2016)  2016
24,NMD622 - Adv Management Diabetes II (Spring Term 2016)  2016
25,NMD621 - Adv Management Diabetes I (Fall Term 2015)  2015
26,NMD622 - Adv Management Diabetes II (Summer Term 2015)  2015
27,NMD621 - Adv Management Diabetes I (Spring Term 2015)  2015
28,NMD622 - Adv Management Diabetes II (Spring Term 2015)  2015
