,Teaching Activities
0,AAS250 - Spec Topics African-Amer Stud (Spring Term 2013)  2013
1,PY220 - Special Topics (Spring Term 2013)  2013
2,PY420 - Special Topics (Spring Term 2013)  2013
3,AAS250 - Spec Topics African-Amer Stud (Fall Term 2012)  2012
4,HON325 - Seminar: Psychology (Fall Term 2012)  2012
5,PY220 - Special Topics (Fall Term 2012)  2012
6,PY420 - Special Topics (Fall Term 2012)  2012
7,PY420 - Special Topics (Fall Term 2012)  2012
8,AAS250 - Spec Topics African-Amer Stud (Spring Term 2012)  2012
9,PY220 - Special Topics (Spring Term 2012)  2012
10,PY413 - Psych of the African-Amer Chld (Spring Term 2012)  2012
11,PY420 - Special Topics (Spring Term 2012)  2012
12,AAS250 - Spec Topics African-Amer Stud (Fall Term 2011)  2011
13,PY220 - Contemporary Issues in Psych (Fall Term 2011)  2011
14,PY420 - Psychology of Strengths & Virt (Fall Term 2011)  2011
15,PY413 - Psych of the African-Amer Chld (Spring Term 2011)  2011
16,PY420 - Contemporary Issues in Psych (Fall Term 2010)  2010
17,PY413 - Psych of the African-Amer Chld (Spring Term 2010)  2010
