,Teaching Activities
0,DAT1110 - Intro to Dental Assisting (Fall Term 2020)  2020
1,DAT1111 - Pre-Clinical Procedures I (Fall Term 2020)  2020
2,DAT1112 - Basic Science for Dental Asst (Fall Term 2020)  2020
3,DAT1114 - Anatomy and Physiology (Fall Term 2020)  2020
4,DAT1115 - Dental Materials (Fall Term 2020)  2020
5,DAT1214 - Dental Health Education (Fall Term 2020)  2020
6,DENT1135 - Entry Level Clin Skills (ELCS) (Fall Term 2020)  2020
7,DAT1315 - Clinical Externship (Summer Term 2020)  2020
8,DAT1213 - Dental Radiology (Spring Term 2020)  2020
9,DAT1114 - Anatomy and Physiology (Fall Term 2019)  2019
10,DENT1135 - Entry Level Clin Skills (ELCS) (Fall Term 2019)  2019
11,DENT1135 - Entry Level Clin Skills (ELCS) (Fall Term 2018)  2018
12,DAT1311 - Clinical Practice II (Summer Term 2018)  2018
13,DAT1312 - OSHA (Summer Term 2018)  2018
14,DAT1313 - Dental Assisting Seminar (Summer Term 2018)  2018
15,DAT1318 - Dental Office Procedures (Summer Term 2018)  2018
16,DAT1211 - Clinical Practice I (Spring Term 2018)  2018
17,DAT1213 - Dental Radiology (Spring Term 2018)  2018
18,DAT1214 - Dental Health Education (Spring Term 2018)  2018
19,DAT1216 - Pre-Clinical Procedures II (Spring Term 2018)  2018
20,DAT1218 - Communications (Spring Term 2018)  2018
21,DAT1110 - Intro to Dental Assisting (Fall Term 2017)  2017
22,DAT1111 - Pre-Clinical Procedures I (Fall Term 2017)  2017
23,DAT1112 - Basic Science for Dental Asst (Fall Term 2017)  2017
24,DAT1114 - Anatomy and Physiology (Fall Term 2017)  2017
25,DAT1115 - Dental Materials (Fall Term 2017)  2017
26,DAT1118 - Applied Psychology in Dent (Fall Term 2017)  2017
27,DAT1311R - Clinical Practice II (Fall Term 2017)  2017
28,DAT1312R - OSHA (Fall Term 2017)  2017
29,DAT1313R - Dental Assisting Seminar (Fall Term 2017)  2017
30,DAT1318R - Dental Office Procedures (Fall Term 2017)  2017
31,DENT1135 - Entry Level Clin Skills (ELCS) (Fall Term 2017)  2017
32,DAT1311 - Clinical Practice II (Summer Term 2017)  2017
33,DAT1312 - OSHA (Summer Term 2017)  2017
34,DAT1313 - Dental Assisting Seminar (Summer Term 2017)  2017
35,DAT1318 - Dental Office Procedures (Summer Term 2017)  2017
36,DAT1211 - Clinical Practice I (Spring Term 2017)  2017
37,DAT1213 - Dental Radiology (Spring Term 2017)  2017
38,DAT1214 - Dental Health Education (Spring Term 2017)  2017
39,DAT1216 - Pre-Clinical Procedures II (Spring Term 2017)  2017
40,DAT1218 - Communications (Spring Term 2017)  2017
41,DAT1110 - Intro to Dental Assisting (Fall Term 2016)  2016
42,DAT1111 - Pre-Clinical Procedures I (Fall Term 2016)  2016
43,DAT1112 - Basic Science for Dental Asst (Fall Term 2016)  2016
44,DAT1114 - Anatomy and Physiology (Fall Term 2016)  2016
45,DAT1115 - Dental Materials (Fall Term 2016)  2016
46,DAT1118 - Applied Psychology in Dent (Fall Term 2016)  2016
47,DENT1135 - Entry Level Clin Skills (ELCS) (Fall Term 2016)  2016
48,DAT1311 - Clinical Practice II (Summer Term 2016)  2016
49,DAT1312 - OSHA (Summer Term 2016)  2016
50,DAT1313 - Dental Assisting Seminar (Summer Term 2016)  2016
51,DAT1318 - Dental Office Procedures (Summer Term 2016)  2016
52,DAT1211 - Clinical Practice I (Spring Term 2016)  2016
53,DAT1213 - Dental Radiology (Spring Term 2016)  2016
54,DAT1214 - Dental Health Education (Spring Term 2016)  2016
55,DAT1216 - Pre-Clinical Procedures II (Spring Term 2016)  2016
56,DAT1218 - Communications (Spring Term 2016)  2016
57,DENT1135 - Entry Level Clin Skills (ELCS) (Fall Term 2015)  2015
58,DAT1110 - Intro to Dental Assisting (Fall Term 2015)  2015
59,DAT1111 - Pre-Clinical Procedures I (Fall Term 2015)  2015
60,DAT1112 - Basic Science for Dental Asst (Fall Term 2015)  2015
61,DAT1114 - Anatomy and Physiology (Fall Term 2015)  2015
62,DAT1115 - Dental Materials (Fall Term 2015)  2015
63,DAT1118 - Applied Psychology in Dent (Fall Term 2015)  2015
64,DAT1311 - Clinical Practice II (Summer Term 2015)  2015
65,DAT1312 - OSHA (Summer Term 2015)  2015
66,DAT1313 - Dental Assisting Seminar (Summer Term 2015)  2015
67,DAT1318 - Dental Office Procedures (Summer Term 2015)  2015
68,DAT1211 - Clinical Practice I (Spring Term 2015)  2015
69,DAT1213 - Dental Radiology (Spring Term 2015)  2015
70,DAT1214 - Dental Health Education (Spring Term 2015)  2015
71,DAT1216 - Pre-Clinical Procedures II (Spring Term 2015)  2015
72,DAT1218 - Communications (Spring Term 2015)  2015
73,DENT1135 - Entry Level Clin Skills (ELCS) (Fall Term 2014)  2014
74,DAT1110 - Intro to Dental Assisting (Fall Term 2014)  2014
75,DAT1111 - Pre-Clinical Procedures I (Fall Term 2014)  2014
76,DAT1112 - Basic Science for Dental Asst (Fall Term 2014)  2014
77,DAT1114 - Anatomy and Physiology (Fall Term 2014)  2014
78,DAT1115 - Dental Materials (Fall Term 2014)  2014
79,DAT1118 - Applied Psychology in Dent (Fall Term 2014)  2014
80,DAT1311 - Clinical Practice II (Summer Term 2014)  2014
81,DAT1312 - OSHA (Summer Term 2014)  2014
82,DAT1313 - Dental Assisting Seminar (Summer Term 2014)  2014
83,DAT1318 - Dental Office Procedures (Summer Term 2014)  2014
84,DAT1211 - Clinical Practice I (Spring Term 2014)  2014
85,DAT1213 - Dental Radiology (Spring Term 2014)  2014
86,DAT1214 - Dental Health Education (Spring Term 2014)  2014
87,DAT1216 - Pre-Clinical Procedures II (Spring Term 2014)  2014
88,DAT1218 - Communications (Spring Term 2014)  2014
89,DAT1110 - Intro to Dental Assisting (Fall Term 2013)  2013
90,DAT1111 - Pre-Clinical Procedures I (Fall Term 2013)  2013
91,DAT1112 - Basic Science for Dental Asst (Fall Term 2013)  2013
92,DAT1114 - Anatomy and Physiology (Fall Term 2013)  2013
93,DAT1115 - Dental Materials (Fall Term 2013)  2013
94,DAT1118 - Applied Psychology in Dent (Fall Term 2013)  2013
95,DENT1135 - Entry Level Clin Skills (ELCS) (Fall Term 2013)  2013
96,DAT1311 - Clinical Practice II (Summer Term 2013)  2013
97,DAT1312 - OSHA (Summer Term 2013)  2013
98,DAT1313 - Dental Assisting Seminar (Summer Term 2013)  2013
99,DAT1318 - Dental Office Procedures (Summer Term 2013)  2013
100,DAT1211 - Clinical Practice I (Spring Term 2013)  2013
101,DAT1213 - Dental Radiology (Spring Term 2013)  2013
102,DAT1214 - Dental Health Education (Spring Term 2013)  2013
103,DAT1216 - Pre-Clinical Procedures II (Spring Term 2013)  2013
104,DAT1218 - Communications (Spring Term 2013)  2013
105,DAT1110 - Intro to Dental Assisting (Fall Term 2012)  2012
