,Year,Title,Altmetric
0,2016,Gravidas with class III obesity: evaluating the abdominal skin microbiota above and below the panniculus*  2016  10.3109/14767058.2015.1124081,
1,2016,The Bioenergetic Health Index is a sensitive measure of oxidative stress in human monocytes. Redox Biology. 8:43-50.  2016  10.1016/j.redox.2015.12.008,
2,2016,Genetically predicted longer telomere length is associated with increased risk of B-cell lymphoma subtypes. Human Molecular Genetics. 25:1663-1676.  2016  10.1093/hmg/ddw027,
3,2016,Oxidative modifications of protein tyrosyl residues are increased in plasma of human subjects with interstitial lung disease. American Journal of Respiratory and Critical Care Medicine. 193:861-866.  2016  10.1164/rccm.201505-0992OC,
4,2016,APOL1 nephropathy risk variants are associated with altered high-density lipoprotein profiles in African Americans. Nephrology Dialysis Transplantation. 31:602-608.  2016  10.1093/ndt/gfv229,
5,2016,Meta-analysis of genome-wide association studies discovers multiple loci for chronic lymphocytic leukemia. Nature Communications. 7.  2016  10.1038/ncomms10933,
6,2016,"Vaginal Microbiota in Pregnancy: Evaluation Based on Vaginal Flora, Birth Outcome, and Race  2016  10.1055/s-0035-1565919",
7,2016,Interaction of methylation-related genetic variants with circulating fatty acids on plasma lipids: A meta-analysis of 7 studies and methylation analysis of 3 studies in the Cohorts for Heart and Aging Research in Genomic Epidemiology consortium. American Journal of Clinical Nutrition. 103:567-578.  2016  10.3945/ajcn.115.112987,
8,2016,A genome-wide study of lipid response to fenofibrate in Caucasians: A combined analysis of the GOLDN and ACCORD studies  2016  10.1097/FPC.0000000000000219,
9,2016,Association of DNA methylation at CPT1A locus with metabolic syndrome in the genetics of lipid lowering drugs and diet network (GOLDN) study. PLoS ONE. 11.  2016  10.1371/journal.pone.0145789,
10,2015,Defining the effects of storage on platelet bioenergetics: The role of increased proton leak  2015  10.1016/j.bbadis.2015.08.026,
11,2015,Use of ECMO in the management of severe acute respiratory distress syndrome: A survey of academic medical centers in the United States. ASAIO Journal. 61:556-563.  2015  10.1097/MAT.0000000000000245,
12,2015,"Epigenome-wide association study (EWAS) of BMI, BMI change and waist circumference in African American adults identifies multiple replicated loci. Human Molecular Genetics. 24:4464-4479.  2015  10.1093/hmg/ddv161",
13,2015,Directional dominance on stature and cognition in diverse human populations. Nature. 523:459-462.  2015  10.1038/nature14618,
14,2015,Epigenome-wide study identifies novel methylation loci associated with body mass index and waist circumference  2015  10.1002/oby.21111,
