,Teaching Activities
0,BST676 - Genomic Data Analysis (Spring Term 2016)  2016
1,BST775 - Stat Meth Genetic Analysis I (Fall Term 2015)  2015
2,BST698 - Non Thesis Research (Summer Term 2015)  2015
3,BST675 - Intro. to Statistical Genetics (Spring Term 2015)  2015
4,BST698 - Non Thesis Research (Spring Term 2015)  2015
5,BST799 - Dissertation Research (Spring Term 2014)  2014
6,BST775 - Stat Meth Genetic Analysis I (Fall Term 2013)  2013
7,BST799 - Dissertation Research (Fall Term 2013)  2013
8,BST799 - Dissertation Research (Summer Term 2013)  2013
9,BST798 - Non-Dissertation Research (Spring Term 2013)  2013
10,BST798 - Non-Dissertation Research (Fall Term 2012)  2012
11,BST612 - Inter Statistical Analysis II (Summer Term 2012)  2012
12,BST798 - Non-Dissertation Research (Spring Term 2012)  2012
13,BST798 - Non-Dissertation Research (Fall Term 2011)  2011
14,BST695 - Spc Tpc Statis Genom (Spring Term 2011)  2011
15,BST798 - Non-Dissertation Research (Spring Term 2011)  2011
16,BST698 - Non Thesis Research (Fall Term 2010)  2010
17,BST698 - Non Thesis Research (Spring Term 2010)  2010
