,Teaching Activities
0,GHS611 - International NGO Management (Spring Term 2020)  2020
1,GHS610 - Refugee Health Care (Fall Term 2019)  2019
2,GHS611 - International NGO Management (Spring Term 2019)  2019
3,GHS610 - Refugee Health Care (Fall Term 2018)  2018
4,GHS611 - International NGO Management (Spring Term 2018)  2018
5,GHS610 - Refugee Health Care (Fall Term 2017)  2017
6,GHS611 - International NGO Management (Spring Term 2017)  2017
7,GHS610 - Refugee Health Care (Fall Term 2016)  2016
8,GHS611 - International NGO Management (Spring Term 2016)  2016
9,GHS610 - Refugee Health Care (Fall Term 2015)  2015
10,GHS611 - International NGO Management (Spring Term 2015)  2015
11,GHS610 - Refugee Health Care (Fall Term 2014)  2014
12,GHS611 - International NGO Management (Spring Term 2014)  2014
13,GHS610 - Refugee Health Care (Fall Term 2013)  2013
