,Teaching Activities
0,BUS110 - Essentials of Financial Lit (Spring Term 2020)  2020
1,EDU200 - Education as a Profession (Fall Term 2018)  2018
2,EDU200 - Education as a Profession (Fall Term 2018)  2018
3,EDU500 - Education as a Profession (Fall Term 2018)  2018
4,EDU500 - Education as a Profession (Fall Term 2018)  2018
5,IS416 - Web Analytics (Spring Term 2016)  2016
6,MBA616 - Web Analytics (Spring Term 2015)  2015
7,MK303 - Basic Marketing (Spring Term 2012)  2012
8,EDL792 - Directed Study Educ Leadership (Spring Term 2011)  2011
9,BUS350 - Business Communications (Spring Term 2010)  2010
