,Year,Title,Altmetric
0,2021,Authors’ response. Journal of the American Dental Association. 152:424.  2021  10.1016/j.adaj.2021.04.011,
1,2021,The association between professional stratification and use of online sources: Evidence from the National Dental Practice-Based Research Network. Journal of Information Science. 47:373-386.  2021  10.1177/0165551519890519,
2,2021,Baseline characteristics as 3-year predictors of tooth fracture and crack progression: Findings from The National Dental Practice-Based Research Network. Journal of the American Dental Association. 152:146-156.  2021  10.1016/j.adaj.2020.09.023,
3,2021,Outcomes of treatment and monitoring of posterior teeth with cracks: three-year results from the National Dental Practice-Based Research Network. Clinical Oral Investigations. 2021  10.1007/s00784-021-04211-0,
4,2020,The National Dental Practice-Based Research Network Adult Anterior Open Bite Study: Patient satisfaction with treatment. American Journal of Orthodontics and Dentofacial Orthopedics. 158:e121-e136.  2020  10.1016/j.ajodo.2020.04.019,
5,2020,The National Dental Practice-Based Research Network Adult Anterior Open Bite Study: Treatment success. American Journal of Orthodontics and Dentofacial Orthopedics. 158:e137-e150.  2020  10.1016/j.ajodo.2020.07.033,
6,2020,Practitioner engagement in activities of the national dental practice-based Research Network (PBRN): 7-Year Results. Journal of the American Board of Family Medicine. 33:687-697.  2020  10.3122/JABFM.2020.05.190339,
7,2020,Cardiometabolic comorbidities and epithelial ovarian cancer risk among African-American women in the African-American Cancer Epidemiology Study (AACES). Gynecologic Oncology. 158:123-129.  2020  10.1016/j.ygyno.2020.04.700,
8,2020,Identification of novel epithelial ovarian cancer loci in women of African ancestry. International Journal of Cancer. 146:2987-2998.  2020  10.1002/ijc.32653,
9,2020,Symptom changes and crack progression in untreated cracked teeth: One-year findings from the National Dental Practice-Based Research Network. Journal of Dentistry. 93.  2020  10.1016/j.jdent.2019.103269,
10,2020,Recommended treatment of cracked teeth: Results from the National Dental Practice-Based Research Network. Journal of Prosthetic Dentistry. 123:71-78.  2020  10.1016/j.prosdent.2018.12.005,
11,2019,"Perceived discrimination, trust in physicians, and prolonged symptom duration before ovarian cancer diagnosis in the African American Cancer Epidemiology Study. Cancer. 125:4442-4451.  2019  10.1002/cncr.32451",
12,2019,Prediagnostic proinflammatory dietary potential is associated with all-cause mortality among african-American women with high-grade serous ovarian carcinoma  2019  10.1093/jn/nxz098,
13,2019,The National Dental Practice-Based Research Network Adult Anterior Open Bite Study: Treatment recommendations and their association with patient and practitioner characteristics. American Journal of Orthodontics and Dentofacial Orthopedics. 156:312-325.  2019  10.1016/j.ajodo.2019.05.005,
14,2019,High health care costs in minority groups of older US Medicare beneficiaries with epilepsy. Epilepsia. 60:1462-1471.  2019  10.1111/epi.16051,
15,2019,Evaluation of vitamin D biosynthesis and pathway target genes reveals UGT2A1/2 and EGFR polymorphisms associated with epithelial ovarian cancer in African American Women. Cancer Medicine. 8:2503-2513.  2019  10.1002/cam4.1996,
16,2019,"Effect of cultural, folk, and religious beliefs and practices on delays in diagnosis of ovarian cancer in African American women. Journal of Women's Health. 28:444-451.  2019  10.1089/jwh.2018.7031",
17,2019,Targetable Immune Regulatory Molecule Expression in High-Grade Serous Ovarian Carcinomas in African American Women: A Study of PD-L1 and IDO in 112 Cases from the African American Cancer Epidemiology Study (AACES)  2019  10.1097/PGP.0000000000000494,
18,2019,Feasibility and acceptance of oral human papillomavirus detection in the dental office: Results from The National Dental Practice-Based Research Network. Journal of the American Dental Association. 150:130-139.e4.  2019  10.1016/j.adaj.2018.10.022,
19,2019,"Individual, social, and societal correlates of health-related quality of life among African American survivors of ovarian cancer: Results from the African American cancer epidemiology study. Journal of Women's Health. 28:284-293.  2019  10.1089/jwh.2018.7025",
20,2018,Benign gynecologic conditions are associated with ovarian cancer risk in African-American women: a case–control study. Cancer Causes and Control. 29:1081-1091.  2018  10.1007/s10552-018-1082-4,
21,2018,Practitioner participation in national dental practice-based research network (PBRN) studies: 12-year results. Journal of the American Board of Family Medicine. 31:844-856.  2018  10.3122/jabfm.2018.06.180019,
22,2018,The National Dental Practice-Based Research Network adult anterior open bite study: A description of the practitioners and patients. Angle Orthodontist. 88:675-683.  2018  10.2319/070118-491.1,
23,2018,Observable characteristics coincident with internal cracks in teeth: Findings from The National Dental Practice-Based Research Network. Journal of the American Dental Association. 149:885-892.e6.  2018  10.1016/j.adaj.2018.06.013,
24,2018,Erratum: Racial/ethnic differences in the epidemiology of ovarian cancer: a pooled analysis of 12 case-control studies (International journal of epidemiology (2018) 47 2 (460-472)). International Journal of Epidemiology. 47:1011.  2018  10.1093/ije/dyy054,
25,2018,Racial/ethnic differences in the epidemiology of ovarian cancer: A pooled analysis of 12 case-control studies. International Journal of Epidemiology. 47:460-472.  2018  10.1093/IJE/DYX252,
26,2018,"Associations of types of pain with crack-level, tooth-level and patient-level characteristics in posterior teeth with visible cracks: Findings from the National Dental Practice-Based Research Network. Journal of Dentistry. 70:67-73.  2018  10.1016/j.jdent.2017.12.014",
27,2018,Risk of pharmacokinetic interactions between antiepileptic and other drugs in older persons and factors associated with risk. Epilepsia. 59:715-723.  2018  10.1111/epi.14010,
28,2018,Where are they now? Retention strategies over 25 years in the Coronary Artery Risk Development in Young Adults (CARDIA) Study. Contemporary Clinical Trials Communications. 9:64-70.  2018  10.1016/j.conctc.2017.12.003,
29,2018,Recreational physical activity and survival in African-American women with ovarian cancer. Cancer Causes and Control. 29:77-86.  2018  10.1007/s10552-017-0986-8,
30,2017,Values and worries of ovarian cancer patients. Gynecologic Oncology. 147:433-438.  2017  10.1016/j.ygyno.2017.08.028,
31,2017,Tubal ligation and ovarian cancer risk in African American women. Cancer Causes and Control. 28:1033-1041.  2017  10.1007/s10552-017-0943-6,
32,2017,Survey Methods to Optimize Response Rate in the National Dental Practice–Based Research Network. Evaluation and the Health Professions. 40:332-358.  2017  10.1177/0163278715625738,
33,2017,Cigarette smoking and the association with serous ovarian cancer in African American women: African American Cancer Epidemiology Study (AACES). Cancer Causes and Control. 28:699-708.  2017  10.1007/s10552-017-0899-6,
34,2017,Premenopausal Hysterectomy and Risk of Ovarian Cancer in African-American Women. American Journal of Epidemiology. 186:46-53.  2017  10.1093/aje/kwx055,
35,2017,Dietary Quality and Ovarian Cancer Risk in African-American Women. American Journal of Epidemiology. 185:1281-1289.  2017  10.1093/aje/kwx022,
36,2017,Lifetime number of ovulatory cycles and epithelial ovarian cancer risk in African American women. Cancer Causes and Control. 28:405-414.  2017  10.1007/s10552-017-0853-7,
37,2017,Quality Indicator for Epilepsy Treatment 15 (QUIET-15): Intervening after recurrent seizures in the elderly. Epilepsy and Behavior. 70:253-258.  2017  10.1016/j.yebeh.2017.03.007,
38,2017,Correlation between symptoms and external characteristics of cracked teeth: Findings from The National Dental Practice-Based Research Network. Journal of the American Dental Association. 148:246-256.e1.  2017  10.1016/j.adaj.2016.12.023,
39,2017,What does the U.S. Medicare administrative claims database tell us about initial antiepileptic drug treatment for older adults with new-onset epilepsy?. Epilepsia. 58:548-557.  2017  10.1111/epi.13675,
40,2017,Satisfaction with dental care among patients who receive invasive or non-invasive treatment for non-cavitated early dental caries: Findings from one region of the National Dental PBRN. BMC Oral Health. 17.  2017  10.1186/s12903-017-0363-8,
41,2017,Dietary inflammatory index and risk of epithelial ovarian cancer in African American women. International Journal of Cancer. 140:535-543.  2017  10.1002/ijc.30467,
42,2017,Adherence to antiepileptic drugs among diverse older Americans on Part D Medicare. Epilepsy and Behavior. 66:68-73.  2017  10.1016/j.yebeh.2016.10.017,
43,2017,Quality of Antiepileptic Treatment Among Older Medicare Beneficiaries With Epilepsy: A Retrospective Claims Data Analysis. Medical Care. 55:677-683.  2017  10.1097/MLR.0000000000000724,
44,2017,Supplemental selenium may decrease ovarian cancer risk in African-American women  2017  10.3945/jn.116.243279,
45,2016,"Dairy, calcium, Vitamin D and ovarian cancer risk in African-American women. British Journal of Cancer. 115:1122-1130.  2016  10.1038/bjc.2016.289",
46,2016,"Association between body powder use and ovarian cancer: The African American Cancer Epidemiology Study (AACES). Cancer Epidemiology, Biomarkers and Prevention. 25:1411-1417.  2016  10.1158/1055-9965.EPI-15-1281",
47,2016,Reproductive factors and ovarian cancer risk in African-American women. Annals of Epidemiology. 26:654-662.  2016  10.1016/j.annepidem.2016.07.004,
48,2016,Socioeconomic Status in Relation to the Risk of Ovarian Cancer in African-American Women: A Population-Based Case-Control Study. American Journal of Epidemiology. 184:274-283.  2016  10.1093/aje/kwv450,
49,2016,"Obesity, weight gain, and ovarian cancer risk in African American women. International Journal of Cancer. 139:593-600.  2016  10.1002/ijc.30115",
50,2016,Recreational physical activity and ovarian cancer risk in African American women. Cancer Medicine. 5:1319-1327.  2016  10.1002/cam4.677,
51,2016,The association between body mass index and presenting symptoms in African American women with ovarian cancer. Journal of Women's Health. 25:571-578.  2016  10.1089/jwh.2015.5359,
52,2016,Authors' response. Journal of the American Dental Association. 147:317.  2016  10.1016/j.adaj.2016.03.011,
53,2016,Analgesic medication use and risk of epithelial ovarian cancer in African American women. British Journal of Cancer. 114:819-825.  2016  10.1038/bjc.2016.39,
54,2016,"Dietary carbohydrate intake, glycaemic load, glycaemic index and ovarian cancer risk in African-American women  2016  10.1017/S0007114515004882",
55,2016,Techniques and materials used by general dentists during endodontic treatment procedures Findings from the National Dental Practice-Based Research Network. Journal of the American Dental Association. 147:19-27.  2016  10.1016/j.adaj.2015.05.021,
56,2015,A Brief Inpatient Intervention Using a Short Video to Promote Reduction of Child Tobacco Smoke Exposure. Hospital pediatrics. 5:534-541.  2015  10.1542/hpeds.2015-0042,
57,2015,General Dentists' Use of Isolation Techniques during Root Canal Treatment: From the National Dental Practice-based Research Network. Journal of Endodontics. 41:1219-1225.  2015  10.1016/j.joen.2015.04.017,
58,2015,Gender Norms and Family Planning Practices Among Men in Western Jamaica. American Journal of Men's Health. 9:307-316.  2015  10.1177/1557988314543792,
59,2015,In response: Research using archival health care data: Let the buyer beware. Epilepsia. 56:322-323.  2015  10.1111/epi.12889,
60,2015,Discordance between presumed standard of care and actual clinical practice: The example of rubber dam use during root canal treatment in the national dental practice-Based research network. BMJ Open. 5.  2015  10.1136/bmjopen-2015-009779,
61,2014,Use of online sources of information by dental practitioners: Findings from the Dental Practice-Based Research Network. Journal of Public Health Dentistry. 74:71-79.  2014  10.1111/j.1752-7325.2012.00373.x,
62,2014,Twenty-month follow-up of occlusal caries lesions deemed questionable at baseline: Findings from the national dental practice-based research network. Journal of the American Dental Association. 145:1112-1118.  2014  10.14219/jada.2014.82,
63,2014,A multi-center population-based case-control study of ovarian cancer in African-American women: The African American Cancer Epidemiology Study (AACES). BMC Cancer. 14.  2014  10.1186/1471-2407-14-688,
64,2014,Supplementing online surveys with a mailed option to reduce bias and improve response rate: The National Dental Practice-Based Research Network. Journal of Public Health Dentistry. 74:276-282.  2014  10.1111/jphd.12054,
65,2014,Smoking-cessation e-referrals: A national dental practice-based research network randomized controlled trial. American Journal of Preventive Medicine. 46:158-165.  2014  10.1016/j.amepre.2013.10.018,
66,2014,"Characteristics, detection methods and treatment of questionable occlusal carious lesions: Findings from the National Dental Practice-Based Research Network. Caries Research. 48:200-207.  2014  10.1159/000354841",
67,2014,Concordance between clinical practice and published evidence Findings from the National Dental Practice-Based Research Network. Journal of the American Dental Association. 145:22-31.  2014  10.14219/jada.2013.21,
68,2014,Concordance between clinical practice and published evidence: Findings from the national dental practice-based research network. Journal of the American Dental Association. 145:22-31.  2014,
69,2014,Gender norms and sexual behaviours among men in western jamaica. Sexual Health. 11:42-51.  2014  10.1071/SH13099,
70,2014,Inpatient hospitalizations for croup. Hospital pediatrics. 4:88-92.  2014  10.1542/hpeds.2013-0066,
71,2014,"Nutritional risk and body mass index predict hospitalization, nursing home admissions, and mortality in community-dwelling older adults: Results from the UAB study of aging with 8.5 years of follow-up  2014  10.1093/gerona/glu024",
72,2014,Psychiatric and neurologic risk factors for incident cases of new-onset epilepsy in older adults: Data from U.S. Medicare beneficiaries. Epilepsia. 55:1120-1127.  2014  10.1111/epi.12649,
73,2013,Seizure occurrence following nonoptimal anticonvulsant medication management during the transition into the hospital. Journal of Child Neurology. 28:1250-1258.  2013  10.1177/0883073812460095,
74,2013,Factors Associated with the Acceptability of Male Circumcision among Men in Jamaica. PLoS ONE. 8.  2013  10.1371/journal.pone.0075074,
75,2013,Information-seeking behaviors of dental practitioners in three practice-based research networks. Journal of Dental Education. 77:152-160.  2013,
76,2013,Disparities in use of gynecologic oncologists for women with ovarian cancer in the United States. Health Services Research. 48:1135-1153.  2013  10.1111/1475-6773.12012,
77,2013,Random plasma glucose values measured in community dental practices: Findings from The Dental Practice-Based Research Network. Clinical Oral Investigations. 17:1383-1388.  2013  10.1007/s00784-012-0825-y,
78,2013,Caries treatment in a dental practice-based research network: Movement toward stated evidence-based treatment. Community Dentistry and Oral Epidemiology. 41:143-153.  2013  10.1111/cdoe.12008,
79,2013,Anticonvulsant medication errors in children with epilepsy during the home-to-hospital transition. Journal of Child Neurology. 28:314-320.  2013  10.1177/0883073812446632,
80,2013,A 24-month evaluation of amalgam and resin-based composite restorations Findings from The National Dental Practice-Based Research Network. Journal of the American Dental Association. 144:583-593.  2013  10.14219/jada.archive.2013.0169,
81,2013,Electronic dental record use and clinical information management patterns among practitioner-investigators in The Dental Practice-Based Research Network. Journal of the American Dental Association. 144:49-58.  2013  10.14219/jada.archive.2013.0013,
82,2012,Geographic variation of epilepsy for older Americans: How close to the geographic variation of stroke?. Epilepsia. 53:2186-2193.  2012  10.1111/j.1528-1167.2012.03640.x,
83,2012,Diagnostic tests and neurology care for medicare beneficiaries with seizures: Differences across racial groups. Medical Care. 50:730-736.  2012  10.1097/MLR.0b013e31824ebdc4,
84,2012,Incidence and prevalence of epilepsy among older US Medicare beneficiaries. Neurology. 78:448-453.  2012  10.1212/WNL.0b013e3182477edc,
85,2012,Dental practice implementation of a point of care electronic referral system for patients who smoke: a dental PBRN study.. Journal of Dental Hygiene. 86:34.  2012,
86,2012,"Socio-demographic determinants of aflatoxin B1-lysine adduct levels among pregnant women in Kumasi, Ghana.. Ghana Medical Journal. 46:179-188.  2012",
87,2012,The prevalence of questionable occlusal caries: Findings from the Dental Practice-Based Research Network. Journal of the American Dental Association. 143:1343-1350.  2012  10.14219/jada.archive.2012.0097,
88,2011,Improving care after myocardial infarction using a 2-year internet-delivered intervention: The department of veterans affairs myocardial infarction-plus cluster-randomized trial. Archives of Internal Medicine. 171:1910-1917.  2011  10.1001/archinternmed.2011.492,
89,2011,"Recruitment activities for a nationwide, population-based, group-randomized trial: The VA MI-Plus study. Implementation Science. 6.  2011  10.1186/1748-5908-6-105",
90,2011,Physician and patient influences on provider performance -blockers in postmyocardial infarction management in the mi-plus study. Circulation: Cardiovascular Quality and Outcomes. 4:99-106.  2011  10.1161/CIRCOUTCOMES.110.942318,
91,2010,"Association between anemia and aflatoxin B 1 biomarker levels among pregnant women in Kumasi, Ghana. American Journal of Tropical Medicine and Hygiene. 83:1077-1083.  2010  10.4269/ajtmh.2010.09-0772",
92,2010,Medication assistance programs: Do all in need benefit equally?. Ethnicity and Disease. 20:339-345.  2010,
93,2010,Multiple uncontrolled conditions and blood pressure medication intensification: An observational study. Implementation Science. 5.  2010  10.1186/1748-5908-5-55,
94,2010,Using single-item health literacy screening questions to identify patients who read written nonsteroidal anti-inflammatory medicine information provided at pharmacies  2010  10.1080/10810731003753091,
95,2010,"Malaria, intestinal helminths and other risk factors for stillbirth in Ghana  2010  10.1155/2010/350763",
96,2010,Factor Analysis of Metabolic Syndrome Components in the Coronary Artery Risk Development in Young Adults (CARDIA) Study: Examination of Factors by Race-Sex Groups and Across Time. Annals of Epidemiology. 20:194-200.  2010  10.1016/j.annepidem.2009.11.002,
97,2010,Vaginal douching among Latina immigrants. Maternal and Child Health Journal. 14:274-282.  2010  10.1007/s10995-008-0438-x,
98,2010,"Knowledge, attitudes, and environment: What primary care providers say about pre-school vision screening. Optometry and Vision Science. 87:104-111.  2010  10.1097/OPX.0b013e3181cc8d7c",
99,2010,"Association between birth outcomes and aflatoxin B1 biomarker blood levels in pregnant women in Kumasi, Ghana. Tropical Medicine and International Health. 15:160-167.  2010  10.1111/j.1365-3156.2009.02435.x",
100,2010,Cardiovascular outcome ascertainment was similar using blinded and unblinded adjudicators in a national prospective study. Journal of Clinical Epidemiology. 63:1159-1163.  2010  10.1016/j.jclinepi.2009.12.017,
101,2010,"The effect of malaria and intestinal helminth coinfection on birth outcomes in Kumasi, Ghana. American Journal of Tropical Medicine and Hygiene. 82:28-34.  2010  10.4269/ajtmh.2010.09-0165",
102,2009,Effect of comorbidity and body mass index on the survival of African-American and Caucasian patients with colon cancer. Cancer. 115:5798-5806.  2009  10.1002/cncr.24598,
103,2009,Characteristics that predict physician participation in a Web-Based CME activity: The MI-Plus study. Journal of Continuing Education in the Health Professions. 29:246-253.  2009  10.1002/chp.20043,
104,2009,Predictive capacity of three comorbidity indices in estimating mortality after surgery for colon cancer. Journal of Clinical Oncology. 27:4339-4345.  2009  10.1200/JCO.2009.22.4758,
105,2009,Malaria and intestinal helminth co-infection among pregnant women in Ghana: Prevalence and risk factors. American Journal of Tropical Medicine and Hygiene. 80:896-901.  2009  10.4269/ajtmh.2009.80.896,
106,2009,"Patient-reported communications with pharmacy staff at community pharmacies: The Alabama NSAID Patient Safety Study, 2005-2007  2009  10.1331/JAPhA.2009.09005",
107,2008,Receipt of standard breast cancer treatment by African American and white women. International Journal of Medical Sciences. 5:181-188.  2008  10.7150/ijms.5.181,
