,Teaching Activities
0,EPI625 - Quant Methods in Epidemiology (Spring Term 2014)  2014
1,EPI625 - Quant Methods in Epidemiology (Spring Term 2013)  2013
2,EPI627 - Data Anal in Epi Studies (Fall Term 2012)  2012
3,EPI625 - Quant Methods in Epidemiology (Summer Term 2012)  2012
4,EPI698 - Directed Research (Spring Term 2012)  2012
5,EPI627 - Data Anal in Epi Studies (Fall Term 2011)  2011
6,EPI625 - Quant Methods in Epidemiology (Summer Term 2011)  2011
7,EPI625 - Quant Methods in Epidemiology (Summer Term 2010)  2010
8,EPI625 - Quant Methods in Epidemiology (Summer Term 2009)  2009
9,EPI625 - Quant Methods in Epidemiology (Summer Term 2008)  2008
