,Teaching Activities
0,NFA622 - Adv Perioperative Nur I: Pract (Summer Term 2021)  2021
1,NFA622 - Adv Perioperative Nur I: Pract (Summer Term 2021)  2021
2,NUR405 - Concepts of Perioperative Nsg (Summer Term 2021)  2021
3,NFA622 - Adv Perioperative Nur I: Pract (Spring Term 2021)  2021
4,NUR405 - Concepts of Perioperative Nsg (Spring Term 2021)  2021
5,NFA622 - Adv Perioperative Nur I: Pract (Fall Term 2020)  2020
6,NFA622 - Adv Perioperative Nur I: Pract (Summer Term 2020)  2020
7,NUR405 - Concepts of Perioperative Nsg (Summer Term 2020)  2020
8,NFA621 - Advanced Perioperative Nurs I (Spring Term 2020)  2020
9,NUR405 - Concepts of Perioperative Nsg (Spring Term 2020)  2020
10,NFA620 - Surgical Techniques (Fall Term 2019)  2019
11,NFA622 - Adv Perioperative Nur I: Pract (Summer Term 2019)  2019
12,NUR490 - Independent Study in Nursing (Summer Term 2019)  2019
13,NFA621 - Advanced Perioperative Nurs I (Spring Term 2019)  2019
14,NUR490 - Independent Study in Nursing (Spring Term 2019)  2019
15,NFA620 - Surgical Techniques (Fall Term 2018)  2018
16,NFA622 - Adv Perioperative Nur I: Pract (Summer Term 2018)  2018
17,NFA621 - Advanced Perioperative Nurs I (Spring Term 2018)  2018
18,NFA620 - Surgical Techniques (Fall Term 2017)  2017
19,NFA622 - Adv Perioperative Nur I: Pract (Summer Term 2017)  2017
20,NFA621 - Advanced Perioperative Nurs I (Spring Term 2017)  2017
