,Teaching Activities
0,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2021)  2021
1,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2021)  2021
2,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2021)  2021
3,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2020)  2020
4,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2020)  2020
5,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
6,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
7,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2019)  2019
8,NUR491 - Independent Study in Nursing (Spring Term 2019)  2019
9,NUR491 - Independent Study in Nursing (Spring Term 2019)  2019
10,NUR313L - Concepts Professional Nur Prac (Fall Term 2018)  2018
11,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2018)  2018
12,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2017)  2017
13,NUR327L - Concepts Adult Hlth Nur I Prac (Summer Term 2017)  2017
14,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2017)  2017
15,NUR313L - Concepts Professional Nur Prac (Spring Term 2017)  2017
16,NUR313L - Concepts Professional Nur Prac (Fall Term 2016)  2016
17,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2016)  2016
18,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2016)  2016
19,NUR313L - Concepts Professional Nur Prac (Spring Term 2016)  2016
