,Teaching Activities
0,CLN231 - Primary Eye Care Clinic I (Summer Term 2014)  2014
1,CLN231 - Primary Eye Care Clinic I (Summer Term 2014)  2014
2,CLN231 - Primary Eye Care Clinic I (Summer Term 2014)  2014
3,CLN231 - Primary Eye Care Clinic I (Summer Term 2014)  2014
4,CLN231 - Primary Eye Care Clinic I (Summer Term 2014)  2014
5,CLN232 - Clinic Rotation I Op Serv/VT (Summer Term 2014)  2014
6,CLN232 - Clinic Rotation I Op Serv/VT (Summer Term 2014)  2014
7,CLN232 - Clinic Rotation I Op Serv/VT (Summer Term 2014)  2014
8,CLN232 - Clinic Rotation I Op Serv/VT (Summer Term 2014)  2014
9,CLN232 - Clinic Rotation I Op Serv/VT (Summer Term 2014)  2014
10,CLN232 - Clinic Rotation I Op Serv/VT (Summer Term 2014)  2014
11,CLN232 - Clinic Rotation I Op Serv/VT (Summer Term 2014)  2014
12,CLN233 - Community Eye Care II (Summer Term 2014)  2014
13,CLN233 - Community Eye Care II (Summer Term 2014)  2014
14,CLN233 - Community Eye Care II (Summer Term 2014)  2014
15,CLN233 - Community Eye Care II (Summer Term 2014)  2014
16,CLN233 - Community Eye Care II (Summer Term 2014)  2014
17,CLN322 - Clinical Rotation III (Summer Term 2014)  2014
18,CLN331 - Primary Eye Care Clinic IV (Summer Term 2014)  2014
19,CLN331 - Primary Eye Care Clinic IV (Summer Term 2014)  2014
20,CLN331 - Primary Eye Care Clinic IV (Summer Term 2014)  2014
21,CLN331 - Primary Eye Care Clinic IV (Summer Term 2014)  2014
22,CLN332 - Pediatric Optometry Clinic I (Summer Term 2014)  2014
23,CLN332 - Pediatric Optometry Clinic I (Summer Term 2014)  2014
24,CLN332 - Pediatric Optometry Clinic I (Summer Term 2014)  2014
25,CLN333 - Cornea & Contact Lens Clinic I (Summer Term 2014)  2014
26,CLN333 - Cornea & Contact Lens Clinic I (Summer Term 2014)  2014
27,CLN333 - Cornea & Contact Lens Clinic I (Summer Term 2014)  2014
28,CLN333 - Cornea & Contact Lens Clinic I (Summer Term 2014)  2014
29,CLN334 - Oc Disease/Low Vision Clinic I (Summer Term 2014)  2014
30,CLN334 - Oc Disease/Low Vision Clinic I (Summer Term 2014)  2014
31,CLN334 - Oc Disease/Low Vision Clinic I (Summer Term 2014)  2014
32,CLN335 - Special Clinical Rotation I (Summer Term 2014)  2014
33,CLN335 - Special Clinical Rotation I (Summer Term 2014)  2014
34,CLN335 - Special Clinical Rotation I (Summer Term 2014)  2014
35,CLN335 - Special Clinical Rotation I (Summer Term 2014)  2014
36,CLN335 - Special Clinical Rotation I (Summer Term 2014)  2014
37,CLN331 - Primary Eye Care Clinic IV (Summer Term 2014)  2014
38,CLN332 - Pediatric Optometry Clinic I (Summer Term 2014)  2014
39,CLN333 - Cornea & Contact Lens Clinic I (Summer Term 2014)  2014
40,CLN321 - Primary Eye Care Clinic III (Spring Term 2014)  2014
41,CLN321 - Primary Eye Care Clinic III (Spring Term 2014)  2014
42,CLN321 - Primary Eye Care Clinic III (Spring Term 2014)  2014
43,CLN321 - Primary Eye Care Clinic III (Spring Term 2014)  2014
44,CLN321 - Primary Eye Care Clinic III (Spring Term 2014)  2014
45,CLN420 - Primary Care Clinic VI (Spring Term 2014)  2014
46,CLN420 - Primary Care Clinic VI (Spring Term 2014)  2014
47,CLN420 - Primary Care Clinic VI (Spring Term 2014)  2014
48,CLN420 - Primary Care Clinic VI (Spring Term 2014)  2014
49,CLN420 - Primary Care Clinic VI (Spring Term 2014)  2014
50,CLN410 - Primary Care Clinic V (Fall Term 2013)  2013
51,CLN410 - Primary Care Clinic V (Fall Term 2013)  2013
52,CLN410 - Primary Care Clinic V (Fall Term 2013)  2013
53,CLN410 - Primary Care Clinic V (Fall Term 2013)  2013
54,CLN410 - Primary Care Clinic V (Fall Term 2013)  2013
55,CLN331 - Primary Eye Care Clinic IV (Summer Term 2013)  2013
56,CLN440 - Primary Eye Care Clinic VIII (Spring Term 2013)  2013
57,CLN440 - Primary Eye Care Clinic VIII (Spring Term 2013)  2013
58,CLN440 - Primary Eye Care Clinic VIII (Spring Term 2013)  2013
59,CLN440 - Primary Eye Care Clinic VIII (Spring Term 2013)  2013
60,CLN440 - Primary Eye Care Clinic VIII (Spring Term 2013)  2013
61,CLN430 - Primary Eye Care Clinic VII (Spring Term 2013)  2013
62,CLN430 - Primary Eye Care Clinic VII (Spring Term 2013)  2013
63,CLN430 - Primary Eye Care Clinic VII (Spring Term 2013)  2013
64,CLN430 - Primary Eye Care Clinic VII (Spring Term 2013)  2013
65,CLN430 - Primary Eye Care Clinic VII (Spring Term 2013)  2013
66,CLN420 - Primary Care Clinic VI (Fall Term 2012)  2012
67,CLN420 - Primary Care Clinic VI (Fall Term 2012)  2012
68,CLN420 - Primary Care Clinic VI (Fall Term 2012)  2012
69,CLN420 - Primary Care Clinic VI (Fall Term 2012)  2012
70,CLN420 - Primary Care Clinic VI (Fall Term 2012)  2012
71,CLN211 - Primary Eye Care Rotation I (Fall Term 2012)  2012
72,CLN211 - Primary Eye Care Rotation I (Fall Term 2012)  2012
73,CLN211 - Primary Eye Care Rotation I (Fall Term 2012)  2012
74,CLN211 - Primary Eye Care Rotation I (Fall Term 2012)  2012
75,CLN410 - Primary Care Clinic V (Fall Term 2012)  2012
76,CLN410 - Primary Care Clinic V (Fall Term 2012)  2012
77,CLN410 - Primary Care Clinic V (Fall Term 2012)  2012
