,Teaching Activities
0,NHSA681L - Adv Qual/Patient Safety Pract (Summer Term 2021)  2021
1,NUR737 - Interprof Ldrship Role Dev (Summer Term 2021)  2021
2,NHSA617L - Nursing Financial Mgt Pract (Spring Term 2021)  2021
3,NUR418 - Men's Health Across Lifespan (Spring Term 2021)  2021
4,NUR614 - Assess Diag Reasoning APN Prac (Summer Term 2020)  2020
5,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2019)  2019
6,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2019)  2019
7,NUR610 - Hlth Care Sys for Adv Nur Prac (Spring Term 2019)  2019
8,NUR604 - Ldrship in Adv Nur Prac Roles (Fall Term 2018)  2018
9,NUR604 - Ldrship in Adv Nur Prac Roles (Summer Term 2018)  2018
