,Year,Title,Altmetric
0,2021,Pyrazolyl Thioureas and Carbothioamides with an NNSN Motif against MSSA and MRSA. ACS Omega. 6:6088-6099.  2021  10.1021/acsomega.0c04513,
1,2020,A copper-dependent compound restores ampicillin sensitivity in multidrug-resistant Staphylococcus aureus. Scientific Reports. 10.  2020  10.1038/s41598-020-65978-y,
2,2020,Reduced bacterial contamination rates detected on silicone tourniquets compared to conventional tourniquets in clinical routine. BMC Infectious Diseases. 20.  2020  10.1186/s12879-020-04975-y,
3,2019,Efficacy of Intraoperative Antiseptic Techniques in the Prevention of Periprosthetic Joint Infection: Superiority of Betadine. Journal of Arthroplasty. 34:S312-S318.  2019  10.1016/j.arth.2019.02.002,
4,2019,"Pyrazolopyrimidinones, a novel class of copper-dependent bactericidal antibiotics against multi-drug resistant: S. aureus  2019  10.1039/c8mt00316e",
5,2019,High-throughput screening and Bayesian machine learning for copper-dependent inhibitors of: Staphylococcus aureus  2019  10.1039/c8mt00342d,
6,2019,Assaying for inorganic polyphosphate in bacteria. Journal of Visualized Experiments. 2019.  2019  10.3791/58818,
7,2019,Differential susceptibility of Mycoplasma and Ureaplasma species to compound-enhanced copper toxicity. Frontiers in Microbiology. 10.  2019  10.3389/fmicb.2019.01720,
8,2017,Mycobacterium tuberculosis exploits the PPM1A signaling pathway to block host macrophage apoptosis. Scientific Reports. 7.  2017  10.1038/srep42101,
9,2017,"Copper and Antibiotics: Discovery, Modes of Action, and Opportunities for Medicinal Applications. Advances in Microbial Physiology. 70:193-260.  2017  10.1016/bs.ampbs.2017.01.007",
10,2016,8-Hydroxyquinolines are boosting agents of copper-related toxicity in Mycobacterium tuberculosis. Antimicrobial Agents and Chemotherapy. 60:5765-5776.  2016  10.1128/AAC.00325-16,
11,2016,A Macrophage Infection Model to Predict Drug Efficacy Against Mycobacterium Tuberculosis. ASSAY and Drug Development Technologies. 14:345-354.  2016  10.1089/adt.2016.717,
12,2016,Development of a web-based tool for automated processing and cataloging of a unique combinatorial drug screen. Journal of Microbiological Methods. 126:30-34.  2016  10.1016/j.mimet.2016.04.013,
13,2016,Targeting biofilm associated Staphylococcus aureus using resazurin based drug-susceptibility assay. Journal of Visualized Experiments. 2016.  2016  10.3791/53925,
14,2016,Combinatorial phenotypic screen uncovers unrecognized family of extended thiourea inhibitors with copper-dependent anti-staphylococcal activity  2016  10.1039/c6mt00003g,
15,2016,"Protein phosphatase, Mg2+/Mn2+-dependent 1A controls the innate antiviral and antibacterial response of macrophages during HIV-1 and Mycobacterium tuberculosis infection. Oncotarget. 7:15394-15409.  2016  10.18632/oncotarget.8190",
16,2015,RNAP II processivity is a limiting step for HIV-1 transcription independent of orientation to and activity of endogenous neighboring promoters. Virology. 486:7-14.  2015  10.1016/j.virol.2015.08.027,
17,2015,Disulfiram and copper ions kill Mycobacterium tuberculosis in a synergistic manner. Antimicrobial Agents and Chemotherapy. 59:4835-4844.  2015  10.1128/AAC.00692-15,
18,2015,"Mycobacteria, metals, and the macrophage. Immunological Reviews. 264:249-263.  2015  10.1111/imr.12265",
19,2015,Stable phenotypic changes of the host T cells are essential to the long-term stability of latent HIV-1 infection. Journal of Virology. 89:6656-6672.  2015  10.1128/JVI.00571-15,
20,2014,Copper complexation screen reveals compounds with potent antibiotic properties against methicillin-resistant Staphylococcus aureus. Antimicrobial Agents and Chemotherapy. 58:3727-3736.  2014  10.1128/AAC.02316-13,
21,2014,Kinase control of latent HIV-1 infection: PIM-1 kinase as a major contributor to HIV-1 reactivation. Journal of Virology. 88:364-376.  2014  10.1128/JVI.02682-13,
22,2013,Porins increase copper susceptibility of Mycobacterium tuberculosis. Journal of Bacteriology. 195:5133-5140.  2013  10.1128/JB.00763-13,
23,2013,An AP-1 binding site in the enhancer/core element of the HIV-1 promoter controls the ability of HIV-1 to establish latent infection. Journal of Virology. 87:2264-2277.  2013  10.1128/JVI.01594-12,
24,2013,Copper-boosting compounds: A novel concept for antimycobacterial drug discovery. Antimicrobial Agents and Chemotherapy. 57:1089-1091.  2013  10.1128/AAC.01781-12,
25,2012,Selected drugs with reported secondary cell-differentiating capacity prime latent HIV-1 infection for reactivation. Journal of Virology. 86:9055-9069.  2012  10.1128/JVI.00793-12,
26,2012,Kinase control prevents HIV-1 reactivation in spite of high levels of induced NF-κB activity. Journal of Virology. 86:4548-4558.  2012  10.1128/JVI.06726-11,
