,Year,Title,Altmetric
0,2021,Neurodegenerative VPS41 variants inhibit HOPS function and mTORC1-dependent TFEB/TFE3 regulation. EMBO Molecular Medicine. 13.  2021  10.15252/emmm.202013258,
1,2021,A conformational switch driven by phosphorylation regulates the activity of the evolutionarily conserved SNARE Ykt6  2021  10.1073/pnas.2016730118,
2,2021,Conserved nicotine-activated neuroprotective pathways involve mitochondrial stress. iScience. 24.  2021  10.1016/j.isci.2021.102140,
3,2020,Therapeutic genetic variation revealed in diverse Hsp104 homologs. eLife. 9:1-52.  2020  10.7554/ELIFE.57457,
4,2020,Modeling neurodegeneration in Caenorhabditis elegans  2020  10.1242/dmm.046110,
5,2019,Cyclized NDGA modifies dynamic α-synuclein monomers preventing aggregation and toxicity. Scientific Reports. 9.  2019  10.1038/s41598-019-39480-z,
6,2019,Genetic defects in mitochondrial dynamics in caenorhabditis elegans impact ultraviolet c radiation- and 6-hydroxydopamine-induced neurodegeneration. International Journal of Molecular Sciences. 20.  2019  10.3390/ijms20133202,
7,2019,Vacuolar protein sorting protein 41 (VPS41) at an intersection of endosomal traffic in neurodegenerative disease. Neural Regeneration Research. 14:1210-1212.  2019  10.4103/1673-5374.251329,
8,2019,Found in translation: The utility of C. elegans Alpha-Synuclein models of Parkinson’s disease. Brain Sciences. 9.  2019  10.3390/brainsci9040073,
9,2019,ApoE-associated modulation of neuroprotection from Aβ-mediated neurodegeneration in transgenic Caenorhabditis elegans  2019  10.1242/dmm.037218,
10,2018,Distinct functional roles of Vps41-mediated neuroprotection in Alzheimer's and Parkinson's disease models of neurodegeneration. Human Molecular Genetics. 27:4176-4193.  2018  10.1093/hmg/ddy308,
11,2018,No country for old worms: A systematic review of the application of C. elegans to investigate a bacterial source of environmental neurotoxicity in parkinson’s disease. Metabolites. 8.  2018  10.3390/metabo8040070,
12,2018,"Correction to: The Small GTPase RAC1/CED-10 Is Essential in Maintaining Dopaminergic Neuron Function and Survival Against α-Synuclein-Induced Toxicity (Molecular Neurobiology, (2018), 55, 9, (7533-7552), 10.1007/s12035-018-0881-7). Molecular Neurobiology. 55:7553-7554.  2018  10.1007/s12035-018-1010-3",
13,2018,The Small GTPase RAC1/CED-10 Is Essential in Maintaining Dopaminergic Neuron Function and Survival Against α-Synuclein-Induced Toxicity. Molecular Neurobiology. 55:7533-7552.  2018  10.1007/s12035-018-0881-7,
14,2018,Alpha-synuclein inhibits Snx3-retromer-mediated retrograde recycling of iron transporters in S. cerevisiae and C. elegans models of Parkinson's disease. Human Molecular Genetics. 27:1514-1532.  2018  10.1093/hmg/ddy059,
15,2018,Gene-by-environment interactions that disrupt mitochondrial homeostasis cause neurodegeneration in C. elegans Parkinson's models. Cell Death and Disease. 9.  2018  10.1038/s41419-018-0619-5,
16,2017,Genetic and Pharmacological Discovery for Alzheimer's Disease Using Caenorhabditis elegans. ACS Chemical Neuroscience. 8:2596-2606.  2017  10.1021/acschemneuro.7b00361,
17,2017,Dysregulation of the mitochondrial unfolded protein response induces non-apoptotic dopaminergic neurodegeneration in C. Elegans models of parkinson’s disease  2017  10.1523/JNEUROSCI.1294-17.2017,
18,2017,NCEH-1 modulates cholesterol metabolism and protects against α-synuclein toxicity in a C. elegans model of Parkinson's disease. Human Molecular Genetics. 26:3823-3836.  2017  10.1093/hmg/ddx269,
19,2017,Dihydropyrimidine-Thiones and Clioquinol Synergize to Target β-Amyloid Cellular Pathologies through a Metal-Dependent Mechanism. ACS Chemical Neuroscience. 8:2039-2055.  2017  10.1021/acschemneuro.7b00187,
20,2017,C. elegans as a model system to accelerate discovery for Parkinson disease. Current Opinion in Genetics and Development. 44:102-109.  2017  10.1016/j.gde.2017.02.011,
21,2017,Meet our editorial board member. Current Neuropharmacology. 15:195.  2017  10.2174/1570159X1502170104204144,
22,2017,Dopamine induces soluble α-synuclein oligomers and nigrostriatal degeneration. Nature Neuroscience. 20:1560-1568.  2017  10.1038/nn.4641,
23,2016,Chemical compensation of mitochondrial phospholipid depletion in yeast and animal models of Parkinson's disease. PLoS ONE. 11.  2016  10.1371/journal.pone.0164465,
24,2015,"A bacterial metabolite induces glutathione-tractable proteostatic damage, proteasomal disturbances, and PINK1-dependent autophagy in C. elegans. Cell Death and Disease. 6.  2015  10.1038/cddis.2015.270",
25,2015,Glutaredoxin deficiency exacerbates neurodegeneration in C. Elegans models of Parkinson's disease. Human Molecular Genetics. 24:1322-1335.  2015  10.1093/hmg/ddu542,
26,2015,Phenazine derivatives cause proteotoxicity and stress in C. elegans. Neuroscience Letters. 584:23-27.  2015  10.1016/j.neulet.2014.09.055,
27,2014,RTCB-1 mediates neuroprotection via XBP-1 mRNA splicing in the unfolded protein response pathway  2014  10.1523/JNEUROSCI.1945-14.2014,
28,2014,Phosphatidylethanolamine deficiency disrupts α-synuclein homeostasis in yeast and worm models of Parkinson disease  2014  10.1073/pnas.1411694111,
29,2014,Calcineurin determines toxic versus beneficial responses to α-synuclein  2014  10.1073/pnas.1413201111,
