,Year,Title,Altmetric
0,2021,Biomechanical effects of foot placement during pitching  2021  10.1080/14763141.2021.1898668,
1,2021,Clinical Outcomes and Return to Play in Youth Overhead Athletes After Medial Epicondyle Fractures Treated With Open Reduction and Internal Fixation. Orthopaedic Journal of Sports Medicine. 9.  2021  10.1177/2325967120976573,
2,2021,Early Complications of Ulnar Collateral Ligament Repair With Collagen-Coated Suture Tape Augmentation. Orthopaedic Journal of Sports Medicine. 9.  2021  10.1177/23259671211038320,
3,2021,"Short-Term Trends in Elbow Ulnar Collateral Ligament Surgery in Collegiate Baseball Players: An Analysis of 25,587 Player-Years. Orthopaedic Journal of Sports Medicine. 9.  2021  10.1177/23259671211016846",
4,2021,The relationship between variability in baseball pitching kinematics and consistency in pitch location  2021  10.1080/14763141.2019.1642378,
5,2021,Ultrasound-guided microinvasive trigger finger release technique using an 18-gauge needle with a blade at the tip: A prospective study  2021  10.1002/pmrj.12665,
6,2020,Kinematic and kinetic comparison between American and Japanese collegiate pitchers. Journal of Science and Medicine in Sport. 23:1202-1207.  2020  10.1016/j.jsams.2020.04.013,
7,2020,Ultrasound-Guided Microinvasive Trigger Finger Release Technique Combined with Three Tests to Confirm a Complete Release. American Journal of Physical Medicine and Rehabilitation. 99:1150-1156.  2020  10.1097/PHM.0000000000001510,
8,2020,Outcomes After Ulnar Collateral Ligament Revision Reconstruction in Baseball Players. American Journal of Sports Medicine. 48:3359-3364.  2020  10.1177/0363546520951529,
9,2020,Acute Effects of Weighted Baseball Throwing Programs on Shoulder Range of Motion  2020  10.1177/1941738120925728,
10,2020,"The influence of baseball pitching distance on pitching biomechanics, pitch velocity, and ball movement. Journal of Science and Medicine in Sport. 23:879-882.  2020  10.1016/j.jsams.2020.02.005",
11,2020,Short-term outcomes after pure bone marrow aspirate injection for severe knee osteoarthritis: A case series  2020  10.2217/rme-2019-0113,
12,2020,Clinical Outcomes of Percutaneous Plantar Fasciotomy Using Microdebrider Coblation Wand. Foot and Ankle International. 41:187-192.  2020  10.1177/1071100719883266,
13,2020,Biomechanical comparison of plantar-to-dorsal and dorsal-to-plantar screw fixation strength for subtalar arthrodesis. Einstein. 18.  2020  10.31744/einstein_journal/2020AO5052,
14,2019,Variability in Baseball Throwing Metrics During a Structured Long-Toss Program: Does One Size Fit All or Should Programs Be Individualized?  2019  10.1177/1941738119869945,
15,2019,Portal Placement and Biomechanical Performance of Endoscopic Proximal Hamstring Repair. American Journal of Sports Medicine. 47:2985-2992.  2019  10.1177/0363546519866453,
16,2019,"Epidemiology of Shoulder and Elbow Injuries Among US High School Softball Players, 2005-2006 Through 2016-2017. Orthopaedic Journal of Sports Medicine. 7.  2019  10.1177/2325967119867428",
17,2019,Longevity among Major League Baseball Players - Play Ball!. JAMA Internal Medicine. 179:1301-1302.  2019  10.1001/jamainternmed.2019.1195,
18,2019,Baseball Pitching Biomechanics Shortly After Ulnar Collateral Ligament Repair. Orthopaedic Journal of Sports Medicine. 7.  2019  10.1177/2325967119866199,
19,2019,Kinematic and kinetic differences between left-and right-handed professional baseball pitchers  2019  10.1080/14763141.2018.1429489,
20,2019,Baseball Pitchers’ Perceived Effort Does Not Match Actual Measured Effort During a Structured Long-Toss Throwing Program. American Journal of Sports Medicine. 47:1949-1954.  2019  10.1177/0363546519850560,
21,2019,The influence of mound height on baseball movement and pitching biomechanics. Journal of Science and Medicine in Sport. 22:858-861.  2019  10.1016/j.jsams.2019.01.012,
22,2019,Ulnar Collateral Ligament Repair. Orthopedic Clinics of North America. 50:383-389.  2019  10.1016/j.ocl.2019.03.005,
23,2019,Ulnar Collateral Ligament Repair With Collagen-Dipped FiberTape Augmentation in Overhead-Throwing Athletes. American Journal of Sports Medicine. 47:1096-1102.  2019  10.1177/0363546519833684,
24,2019,Fastball velocity and elbow-varus torque in professional baseball pitchers. Journal of Athletic Training. 54:296-301.  2019  10.4085/1062-6050-558-17,
25,2019,Biomechanical Differences Between Japanese and American Professional Baseball Pitchers. Orthopaedic Journal of Sports Medicine. 7.  2019  10.1177/2325967119825625,
26,2019,The Relationship of Throwing Arm Mechanics and Elbow Varus Torque: Response. American Journal of Sports Medicine. 47:NP4-NP5.  2019  10.1177/0363546518809064,
27,2018,"Differences among overhand, 3-quarter, and sidearm pitching biomechanics in professional baseball players. Journal of Applied Biomechanics. 34:377-385.  2018  10.1123/jab.2017-0211",
28,2018,Do Mound Height and Pitching Distance Affect Youth Baseball Pitching Biomechanics?. American Journal of Sports Medicine. 46:2996-3001.  2018  10.1177/0363546518795890,
29,2018,Do baseball pitchers improve mechanics after biomechanical evaluations?  2018  10.1080/14763141.2017.1340508,
30,2018,"Effect of a 6-Week Weighted Baseball Throwing Program on Pitch Velocity, Pitching Arm Biomechanics, Passive Range of Motion, and Injury Rates  2018  10.1177/1941738118779909",
31,2018,Incidence of Elbow Ulnar Collateral Ligament Surgery in Collegiate Baseball Players. Orthopaedic Journal of Sports Medicine. 6.  2018  10.1177/2325967118764657,
32,2018,Editorial Commentary: Changing Times in Sports Biomechanics: Baseball Pitching Injuries and Emerging Wearable Technology. Arthroscopy: The Journal of Arthroscopy and Related Surgery. 34:823-824.  2018  10.1016/j.arthro.2017.11.004,
33,2018,Changes in Youth Baseball Pitching Biomechanics: A 7-Year Longitudinal Study. American Journal of Sports Medicine. 46:44-51.  2018  10.1177/0363546517732034,
34,2018,Return to Play and Outcomes in Baseball Players After Superior Labral Anterior-Posterior Repairs. American Journal of Sports Medicine. 46:109-115.  2018  10.1177/0363546517728256,
35,2017,"Biomechanical Comparisons Among Fastball, Slider, Curveball, and Changeup Pitch Types and Between Balls and Strikes in Professional Baseball Pitchers. American Journal of Sports Medicine. 45:3358-3367.  2017  10.1177/0363546517730052",
36,2017,"The Relationship of Throwing Arm Mechanics and Elbow Varus Torque: Within-Subject Variation for Professional Baseball Pitchers Across 82,000 Throws. American Journal of Sports Medicine. 45:3030-3035.  2017  10.1177/0363546517719047",
37,2017,Variables Associated with Chondral and Meniscal Injuries in Anterior Cruciate Ligament Surgery. Journal of Knee Surgery. 30:659-667.  2017  10.1055/s-0036-1593875,
38,2017,Finger forces in fastball baseball pitching. Human Movement Science. 54:172-181.  2017  10.1016/j.humov.2017.04.007,
39,2017,Return to play and decreased performance after anterior cruciate ligament reconstruction in national football league defensive players. American Journal of Sports Medicine. 45:1815-1821.  2017  10.1177/0363546517703361,
40,2017,Biomechanical Analysis of Weighted-Ball Exercises for Baseball Pitchers  2017  10.1177/1941738116679816,
41,2016,Anterior Cruciate Ligament Injuries in Baseball Players. Arthroscopy: The Journal of Arthroscopy and Related Surgery. 32:2278-2284.  2016  10.1016/j.arthro.2016.02.023,
42,2016,Kinematic comparison of baseball batting off of a tee among various competition levels  2016  10.1080/14763141.2016.1159320,
43,2016,Risk Factors for Revision Anterior Cruciate Ligament Reconstruction. Journal of Knee Surgery. 29:329-336.  2016  10.1055/s-0035-1554925,
44,2016,"Differences among fastball, curveball, and change-up pitching biomechanics across various levels of baseball  2016  10.1080/14763141.2016.1159319",
45,2016,Biomechanical Comparison of Ulnar Collateral Ligament Repair with Internal Bracing Versus Modified Jobe Reconstruction. American Journal of Sports Medicine. 44:735-741.  2016  10.1177/0363546515620390,
46,2016,"The effects of baseball bat mass properties on swing mechanics, ground reaction forces, and swing timing  2016  10.1080/14763141.2015.1123762",
47,2015,Prevalence of ulnar collateral ligament surgery in professional baseball players. American Journal of Sports Medicine. 43:1764-1769.  2015  10.1177/0363546515580792,
48,2015,Biomechanical Performance of Baseball Pitchers with a History of Ulnar Collateral Ligament Reconstruction. American Journal of Sports Medicine. 43:1045-1050.  2015  10.1177/0363546515570464,
49,2015,Return to play after chondroplasty of the knee in national football league athletes. American Journal of Sports Medicine. 43:663-668.  2015  10.1177/0363546514562752,
