,Investigator On
0,A Randomized Controlled Trial of Pravastatin for the Prevention of Preeclampsia in High Risk Women (“Pravastatin”).  awarded by  George Washington University
1,"Chronic Hypertension and Pregnancy-CHAP Clinical Coordinating Center  awarded by  National Heart, Lung, and Blood Institute/NIH/DHHS"
2,Intergenerational Transmission of Obesity  awarded by  American Heart Association
3,Intergenerational Transmission of Obesity - Intergenerational Transmission of Obesity in a Cohort of Mother-Child Dyads  awarded by  American Heart Association
4,Intergenerational Transmission of Obesity - Intergenerational Transmission of Obesity: Antental Mother and Beyond Birth Offspring  awarded by  American Heart Association
5,OB/GYN Faculty Research Career Development Program  awarded by  National Institute of Child Health and Human Development/NIH/DHHS
6,"Private Grant  awarded by  HOLOGIC, INC."
7,Private Grant  awarded by  REVO DE
8,Private Grant  awarded by  GlaxoSmithKline
9,"Private Grant  awarded by  PROGENITY, INC."
10,Private Grant  awarded by  ALYDIA HEALTH
11,Private Grant  awarded by  Pfizer Pharmaceuticals
12,"Private Grant  awarded by  SEQUENOM, INC."
13,Private Grant  awarded by  MIRUM PHARMACEUTICALS INC
14,Prophylactic Negative Pressure Wound Therapy in Obese Women at Cesarean: A Multicenter RCT  awarded by  Washington University
