,Teaching Activities
0,NWH685L - Pract I:  Women's Hlth Care NP (Fall Term 2017)  2017
1,NWH692L - Resid: Women's Health Care NP (Fall Term 2016)  2016
2,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2016)  2016
3,NWH685L - Pract I:  Women's Hlth Care NP (Spring Term 2016)  2016
4,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2015)  2015
5,NWH692L - Resid: Women's Health Care NP (Fall Term 2015)  2015
6,NWH692L - Resid: Women's Health Care NP (Spring Term 2015)  2015
7,NAH685L - Prac I: Adult/Gero Nurse Pract (Fall Term 2014)  2014
8,NCA685L - Adult Gero Acute Care: Pract I (Spring Term 2014)  2014
9,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2013)  2013
10,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2013)  2013
11,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2013)  2013
12,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2012)  2012
13,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2012)  2012
14,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2012)  2012
15,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2011)  2011
16,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2011)  2011
17,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2011)  2011
18,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2010)  2010
19,NUR366L - Maternal-Newborn Women's Pract (Summer Term 2010)  2010
20,NUR366L - Maternal-Newborn Women's Pract (Spring Term 2010)  2010
