,Teaching Activities
0,NUR737 - Interprof Ldrship Role Dev (Fall Term 2020)  2020
1,NRN401 - Professional Nursing Concepts (Spring Term 2020)  2020
2,NUR458L - Leadership Develop Practicum (Spring Term 2020)  2020
3,NUR475 - Health Assessment for RNs (Spring Term 2019)  2019
4,NUR612 - Advanced Pathophysiology (Fall Term 2017)  2017
5,NUR612 - Advanced Pathophysiology (Fall Term 2017)  2017
6,NFH618L - Focus Adv Nur Prac Specializat (Summer Term 2017)  2017
7,NFH618L - Focus Adv Nur Prac Specializat (Summer Term 2017)  2017
8,NFH623 - Advanced Family Nursing III (Summer Term 2017)  2017
9,NFH623 - Advanced Family Nursing III (Summer Term 2017)  2017
10,NFH623 - Advanced Family Nursing III (Summer Term 2017)  2017
11,NFH623 - Advanced Family Nursing III (Summer Term 2017)  2017
12,NUR004 - UAB Hospital Orientation- CRNA (Summer Term 2017)  2017
13,NFH618L - Focus Adv Nur Prac Specializat (Spring Term 2017)  2017
14,NUR004 - UAB Hospital Orientation- CRNA (Spring Term 2017)  2017
15,NFH621 - Family Nurse Practitioner I (Fall Term 2016)  2016
16,NFH621 - Family Nurse Practitioner I (Fall Term 2016)  2016
17,NFH621 - Family Nurse Practitioner I (Fall Term 2016)  2016
18,NFH621 - Family Nurse Practitioner I (Fall Term 2016)  2016
19,NFH621 - Family Nurse Practitioner I (Fall Term 2016)  2016
20,NUR004 - UAB Hospital Orientation- CRNA (Fall Term 2016)  2016
21,NFH623 - Advanced Family Nursing III (Summer Term 2016)  2016
22,NFH623 - Advanced Family Nursing III (Summer Term 2016)  2016
23,NFH623 - Advanced Family Nursing III (Summer Term 2016)  2016
24,NFH623 - Advanced Family Nursing III (Summer Term 2016)  2016
25,NUR004 - UAB Hospital Orientation (Summer Term 2016)  2016
26,NUR616L - Focus Adv Nur Prac Specializat (Summer Term 2016)  2016
27,NFH622 - Family Nurse Practitioner II (Spring Term 2016)  2016
28,NFH622 - Family Nurse Practitioner II (Spring Term 2016)  2016
29,NFH622 - Family Nurse Practitioner II (Spring Term 2016)  2016
30,NFH622 - Family Nurse Practitioner II (Spring Term 2016)  2016
31,NFH686L - Pract II: Family Nurse Pract (Spring Term 2016)  2016
32,NUR004 - UAB Hospital Orientation (Spring Term 2016)  2016
33,NUR616L - Focus Adv Nur Prac Specializat (Spring Term 2016)  2016
34,NFH621 - Family Nurse Practitioner I (Fall Term 2015)  2015
35,NFH621 - Family Nurse Practitioner I (Fall Term 2015)  2015
36,NFH621 - Family Nurse Practitioner I (Fall Term 2015)  2015
37,NFH621 - Family Nurse Practitioner I (Fall Term 2015)  2015
38,NUR002 - DNP Orientation (Fall Term 2015)  2015
39,NUR691 - Indep Study Clinical Nursing (Fall Term 2015)  2015
40,NUR691 - Indep Study Clinical Nursing (Fall Term 2015)  2015
41,NFH623 - Advanced Family Nursing III (Summer Term 2015)  2015
42,NFH623 - Advanced Family Nursing III (Summer Term 2015)  2015
43,NFH623 - Advanced Family Nursing III (Summer Term 2015)  2015
44,NFH623 - Advanced Family Nursing III (Summer Term 2015)  2015
45,NUR616L - Focus Adv Nur Prac Specializat (Summer Term 2015)  2015
46,NFH622 - Family Nurse Practitioner II (Spring Term 2015)  2015
