,Teaching Activities
0,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
1,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
2,NUR553L - Nursing Practicum Women/Child (Summer Term 2019)  2019
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2019)  2019
4,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2018)  2018
5,NUR553L - Nursing Practicum Women/Child (Summer Term 2018)  2018
6,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2018)  2018
7,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2017)  2017
8,NUR508L - Clin Prac Chldbear/Chldrea Fam (Summer Term 2017)  2017
9,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2016)  2016
10,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2016)  2016
11,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2015)  2015
12,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2015)  2015
13,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2015)  2015
14,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2014)  2014
15,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2014)  2014
16,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2014)  2014
17,NUR446L - Child Adolescent Practicum (Spring Term 2014)  2014
18,NUR446L - Child Adolescent Practicum (Fall Term 2013)  2013
19,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2013)  2013
20,NUR446L - Child Adolescent Practicum (Spring Term 2013)  2013
21,NUR446L - Child Adolescent Practicum (Fall Term 2012)  2012
